77764d00577c7c8e09b2291c0a891db8675d57e000433859d8f3619e7290035c,7dde82b8e470c420bb438c08b5c5644d83b7a4f17568c4a9797a6efd5ed60376,192e10665820666e1cb2cc1e7b65c6874e4e191fa5f136b7bdca06f97c5f8e67,9bb7138835ce42a596d86702f66ff05f051dea2aad6dbebdf3041506ac6af5a8,c7860c8f922e360bc1fa6265a4391b11cebf6d8525cf41c196f54746fc66156b,0078dc0613d7b61213d36a443e4a26a785cda9041bff78a14ffa4c8293b1878a,d634aba226c12dbf3827d7b0651f6f6e302a5e3d5f91ce00bb9995a0025151db,cea56815fa9b251786149731bf02d9ff1b3f776230db5eef3385c715ac6c8784,089895d3cc3d0576c4f2ddfdacff0779f4076dbc2d9c60ad7f2401ecab419a5a,023d1d12a8da0eec350ce8ac27c7bc0f2d8d0ad6b60c785be7076be85b9797ba,393f3f8468e0a9e1419695340311e1fad1f1d4c472f9f74ea8713e85febeb40a
"100","-300","1007001","svd_idle_normal","0","2","113511","5","-750","2.08","1007001001"
"100","-300","1007001","svd_idle_normal","1","1","113411","5","750","2.08","1007001002"
"0","0","1007001","svd_white_loop","0","3","333","5","0","1","1007001003"
"1","0","1007001","","0","333","1","6","1","0","1007001004"
"0","","1007001","","","113511","2","7","0","","1007001005"
"-300","0","1007001","","","113511","-750","2","0.5","","1007001006"
"1","0","1007001","","0","113411","1","6","1","0","1007001007"
"-140","0.8","1007001","","","1","11","31","-40","0","1007001008"
"0","","1007001","","","11","2","34","0","","1007001009"
"0","","1007001","","","113411","6","7","0","","1007001010"
"-300","0","1007001","","","113411","750","2","0.5","","1007001011"
"-250","1","1007001","","","4","14","31","-40","0","1007001012"
"250","1","1007001","","","5","15","31","-40","0","1007001013"
"","","1007001","","","1","","93","","","1007001014"
"1","0.4","1007001","","0","333","1","6","1","0.8","1007001015"
"0","1","1007001","","0","113511","svd_idle_see_pre","3","svd_idle_see","0.2","1007001016"
"-300","0","1007001","","","113411","640","2","1.1","","1007001017"
"-300","0","1007001","","","113511","-600","2","1.1","","1007001018"
"","","1007001","","","1","","93","","","1007001019"
"","","1007001","","","11","1","32","","","1007001020"
"","","1007001","","","0","","91","","","1007001021"
"260","80","1007001","","","113511","240","94","0","","1007001022"
"","","1007001","","","11","0","32","","","1007001023"
"1","","1007001","","","113511","svd_run","3","","0.2","1007001024"
"1.2","","1007001","","","113511","0","7","0","","1007001025"
"-300","0","1007001","","","113511","-250","2","1.2","","1007001026"
"1","","1007001","","","113411","svd_run","3","","0.2","1007001027"
"1.2","","1007001","","","113411","0","7","0","","1007001028"
"-300","0","1007001","","","113411","250","2","1.2","","1007001029"
"1","1","1007001","","0","113411","1","6","1","0.2","1007001030"
"","","1007001","","","1.2","","93","","","1007001031"
"","","1007001","","","0","","91","","","1007001032"
"0","","1007001","","","113511","svd_kime_eriko","3","","0.2","1007001033"
"0","","1007001","","","113411","svd_kime_shizuru","3","","0.2","1007001034"
"","","1007001","","","1.4","","93","","","1007001035"
"","","1007001","","","14","1","32","","","1007001036"
"","","1007001","","","15","1","32","","","1007001037"
"","","1007001","","","0.6","","93","","","1007001038"
"1","","1007001","","","113411","svd_idle_joy1","3","","0.2","1007001039"
"1","","1007001","","","113511","svd_talk_wish","3","","0.2","1007001040"
"0","","1007001","","","vo_svd","vo_svd_0121","21","0","","1007001041"
"6","0","1007001","1","0","113511","我一定會為大人\n獻上永生難忘的\n最棒的暑假……","11","0","0","1007001042"
"","","1007001","","","0","","91","","","1007001043"
"1","","1007001","","","113511","svd_idle_wish","3","","0.2","1007001044"
"1","","1007001","","","113411","svd_talk_joy1","3","","0.2","1007001045"
"0","","1007001","","","vo_svd","vo_svd_0122","21","0","","1007001046"
"8","0","1007001","1","0","113411","來制定一個每到夏天\n都能回味無窮的\n夏日計畫吧！","11","0","0","1007001047"
"","","1007001","","","0","","91","","","1007001048"
"1","","1007001","","","113411","svd_idle_joy1","3","","0.2","1007001049"
"1","","1007001","","","113511","svd_talk_thinking","3","","0.2","1007001050"
"0","","1007001","","","vo_svd","vo_svd_0123","21","0","","1007001051"
"6","0","1007001","1","0","113511","咦……？但我明年夏天\n也會和大人一起過。\n不需要特別留下回憶呢……","11","0","0","1007001052"
"","","1007001","","","0","","91","","","1007001053"
"1","","1007001","","","113511","svd_idle_thinking","3","","0.2","1007001054"
"0","1","1007001","","0.2","113411","svd_surprise","3","svd_talk_anger","0.2","1007001055"
"0","","1007001","","","vo_svd","vo_svd_0124","21","0","","1007001056"
"8","0","1007001","1","0","113411","啊！惠理子妳太狡猾了！\n姐姐我也要永遠永遠\n和弟弟在一起！","11","0","0","1007001057"
"","","1007001","","","3","","93","","","1007001058"
"0","1","1007001","","0.4","113411","svd_jump","3","svd_talk_joy1","0.2","1007001059"
"","","1007001","","","1007001057","","91","","","1007001060"
"1","","1007001","","","113411","svd_idle_joy1","3","","0.2","1007001061"
"","","1007001","","","","","102","","","1007001062"
"","","1007001","","","14","0","32","","","1007001063"
"","","1007001","","","15","0","32","","","1007001064"
"","","1007001","","","1","","93","","","1007001065"
"1","","1007001","","0","113511","7","12","","0","1007001066"
"1","","1007001","","","113511","svd_talk_normal","3","","0.2","1007001067"
"","","1007001","","","3","","93","","","1007001068"
"1","","1007001","","","113511","svd_idle_normal","3","","0.2","1007001069"
"1","","1007001","","0","113411","10","12","","0","1007001070"
"1","1","1007001","","","113411","svd_talk_normal","3","","0.2","1007001071"
"","","1007001","","","3","","93","","","1007001072"
"1","1","1007001","","","113411","svd_idle_normal","3","","0.2","1007001073"
"1","","1007001","","0","113511","7","12","","0","1007001074"
"1","","1007001","","","113511","svd_talk_memory","3","","0.2","1007001075"
"","","1007001","","","3","","93","","","1007001076"
"1","","1007001","","","113511","svd_idle_memory","3","","0.2","1007001077"
"1","","1007001","","0","113411","10","12","","0","1007001078"
"1","1","1007001","","","113411","svd_talk_memory","3","","0.2","1007001079"
"","","1007001","","","3","","93","","","1007001080"
"1","1","1007001","","","113411","svd_idle_memory","3","","0.2","1007001081"
"","","1007001","","","1007001066","","101","","","1007001082"
"1","0","1007001","","0","333","1","6","1","1","1007001083"
"","","1007001","","","113511","1","4","","","1007001084"
"1","","1007001","","","113511","svd_run","3","","0.2","1007001085"
"-300","0","1007001","","","113511","-750","2","0.8","","1007001086"
"","","1007001","","","113411","0","4","","","1007001087"
"1","","1007001","","","113411","svd_run","3","","0.2","1007001088"
"-300","0","1007001","","","113411","750","2","0.8","","1007001089"
"","","1007001","","","0.6","","93","","","1007001090"
"1","0","1007001","","0","113511","1","6","1","0.2","1007001091"
"1","0","1007001","","0","113411","1","6","1","0.2","1007001092"
"","","1007001","","","0","","91","","","1007001093"
"100","-300","1007002","svd_idle_normal","0","2","113511","5","-650","2.08","1007002001"
"100","-300","1007002","svd_idle_normal","1","1","113411","5","650","2.08","1007002002"
"0","0","1007002","svd_white_loop","0","3","333","5","0","1","1007002003"
"1","0","1007002","","0","333","1","6","1","0","1007002004"
"1","0","1007002","","0","113511","1","6","1","0","1007002005"
"1","0","1007002","","0","113411","1","6","1","0","1007002006"
"","","1007002","","","1","","93","","","1007002007"
"1","0.4","1007002","","0","333","1","6","1","0.8","1007002008"
"1","","1007002","","","113511","svd_run","3","","0.2","1007002009"
"-300","0","1007002","","","113511","-250","2","1.2","","1007002010"
"1","1","1007002","","0","113511","1","6","1","0.4","1007002011"
"","","1007002","","","1.2","","93","","","1007002012"
"","","1007002","","","0","","91","","","1007002013"
"1","","1007002","","","113511","svd_idle_normal","3","","0.1","1007002014"
"","","1007002","","","0.6","","93","","","1007002015"
"1","","1007002","","","113511","svd_talk_memory","3","","0.2","1007002016"
"0","","1007002","","","vo_svd","vo_svd_0221","21","0","","1007002017"
"6","0","1007002","1","0","113511","大人游泳時的英姿……\n已經被我深深地\n烙印在腦海裡了。","11","0","0","1007002018"
"","","1007002","","","0","","91","","","1007002019"
"1","","1007002","","","113511","svd_idle_memory","3","","0.2","1007002020"
"1","","1007002","","","113411","svd_run","3","","0.2","1007002021"
"-300","0","1007002","","","113411","250","2","1.2","","1007002022"
"1","1","1007002","","0","113411","1","6","1","0.4","1007002023"
"","","1007002","","","1.2","","93","","","1007002024"
"1","","1007002","","","113411","svd_idle_joy1","3","","0.1","1007002025"
"","","1007002","","","0.3","","93","","","1007002026"
"1","","1007002","","","113411","svd_talk_memory","3","","0.2","1007002027"
"0","","1007002","","","vo_svd","vo_svd_0222","21","0","","1007002028"
"6","0","1007002","1","0","113411","弟弟賣力滑動手腳的樣子……\n真可愛呀……","11","0","0","1007002029"
"","","1007002","","","0","","91","","","1007002030"
"1","","1007002","","","113411","svd_idle_memory","3","","0.2","1007002031"
"1","","1007002","","","113511","svd_talk_memory","3","","0.2","1007002032"
"0","","1007002","","","vo_svd","vo_svd_0223","21","0","","1007002033"
