d6811ee74a9f95564bddd28b51bddd0c52c558387a824b35ac48765220230cee,591929073e6926034507ab71710a8a56c6e18b29ed429cc8bddcf7bdac5a5534,248a69ca0463dd14a0304d0c6c09a86b1f1432e8eb0b5e65604b61a1fbe3ad8c,1d9997f1e906e1efe563908dd28622a8c32f63eeb4801aed72c84c48a7c34bb0,852ec075baa7748c22a44826c5bd80948443801b0dfb96b10afd07e7bb443281,95518a7b3a361cfcf026e242d8f01aa7b4e17510060b06b48cc64fa3425fc8f2,ea5963b4b2a7a10f37bc42603cb0a318e56f8f068ddb3d5feafc39c77487406c,0bd487962a9544bae1b9334cafd862361e9cde9eda86c6771e1a56e1191d3a0f,88100cbab6d4587dd4697f4728f1d4bb00a7d91c60f52b207206c4be4e0c8a15,7fe6e3fce5cd940fdded32d8319277ac82a0e7e543e19481b94b7b0dfd7962d2,816a40f8cd980cf630e66eb28af552815129ffe9111150a6e0e1318ac602559a,551a2df4c5d27d8260ce32e37220a009bdf9a56fc13e5122d5135251655366e5,3176112c1b35f417087032666cc6612e00e6eff07c8de195a31c86e506244b0f,a93e3e096f5908a2c8924c41e70b5e91dd968281fab0e998644037bd3aa4e478,49c7e906994a8152b8dcbf8cda246539b564db28a5634ee3c99dd20d013c5fad,6a5b224de777448d89c473c1f7134d67d5677f3c671c990217a9a5c5329b983f,5bf5bad86337c918b621a1c90fe755eb9305035f3f3d338f384f480a5a8e4946,9a0289d26f64df8b992be167ce12006053101ce997408b3ea7001019b48743a8
"0","0","12","用空花大旋轉飛行共2000ｍ吧","0","0","0","0","0","1","94002","0","5000","0","0","0","0","2000"
"0","0","12","用空花大旋轉飛行共4000ｍ吧","0","0","0","0","0","2","94002","0","10000","0","0","0","0","4000"
"0","0","12","用空花大旋轉飛行共6000ｍ吧","0","0","0","0","0","3","94002","0","15000","0","0","0","0","6000"
"0","0","12","用空花大旋轉飛行共8000ｍ吧","0","0","0","0","0","4","94002","0","20000","0","0","0","0","8000"
"2","5","8","用空花大旋轉飛行共10000ｍ吧","0","0","0","0","0","5","91002","0","50","0","23001","0","0","10000"
"0","0","12","用空花大旋轉飛行共12000ｍ吧","0","0","0","0","0","6","94002","0","25000","0","0","0","0","12000"
"0","0","12","用空花大旋轉飛行共14000ｍ吧","0","0","0","0","0","7","94002","0","30000","0","0","0","0","14000"
"0","0","12","用空花大旋轉飛行共16000ｍ吧","0","0","0","0","0","8","94002","0","35000","0","0","0","0","16000"
"0","0","12","用空花大旋轉飛行共18000ｍ吧","0","0","0","0","0","9","94002","0","40000","0","0","0","0","18000"
"2","5","8","用空花大旋轉飛行共20000ｍ吧","0","0","0","0","0","10","91002","0","50","0","23001","0","0","20000"
"0","0","12","用空花大旋轉飛行共22000ｍ吧","0","0","0","0","0","11","94002","0","55000","0","0","0","0","22000"
"0","0","12","用空花大旋轉飛行共24000ｍ吧","0","0","0","0","0","12","94002","0","35000","0","0","0","0","24000"
"0","0","12","用空花大旋轉飛行共26000ｍ吧","0","0","0","0","0","13","94002","0","40000","0","0","0","0","26000"
"0","0","12","用空花大旋轉飛行共28000ｍ吧","0","0","0","0","0","14","94002","0","45000","0","0","0","0","28000"
"8","150","7","用空花大旋轉飛行共30000ｍ吧","0","10","0","2","0","15","1405","0","1","0","91002","0","23001","30000"
