0cbadd0df627039deea19b3d8439ea6da8c981c5971929c77ba87ba799dd4688,9338ad3c71c8608391dd0375d76fed936efeda14998d4532ca2efe05b4bd46f7,c167d910826308e3e4ea53e3d0562199d1842304e0de40a9228a2397b2f5eab9,e5b307a051be2aa30f0daa516d8d3b9493a58c50947c7849319ad2d07dafdf87,cca25e0a4da918ad4baf1482caf01985c3960fe51097159180cf4bd203c9865b,a950f41a60bd64091db5965a5f12575b5e98b7aebb11c9d89a13ddb5a4607a7a,a817160b106987e3bfbf0c1cb2c9999f568578a7f166eedc29fe3b722d52f6be,8aa156bf2d32d5f8a1c979f10a5f3d33e5d88b2045dfa7b4f0b7908683d77127,e9d1482b148774bbab007e371b20ce230691f81841661aa000529a57d8645c71,52bc67926cd931094c7a989c967b6a3710354ffba4a6f2da9e51a0d102a77b49,540dad2cc6d862e4f7f20d9a326988e8ef74abdf1faa09adc99b9722a86fdc57,d52db0053f3b8bef6e866b43255f310d0ce19c9e68414647cb4c10498d786864
"260312001","1","26031","3","2026/08/01 04:59:59","2026/07/02 05:00:00","43","1","200","1","0","登入遊戲1次"
"260312002","1","26031","3","2026/08/01 04:59:59","2026/07/02 05:00:00","45","2","200","500","0","消耗500體力"
"260312003","1","26031","3","2026/08/01 04:59:59","2026/07/02 05:00:00","47","3","200","4","0","完成合計4次經驗值冒險或瑪那冒險"
"260312004","1","26031","3","2026/08/01 04:59:59","2026/07/02 05:00:00","48","4","200","10","0","完成10次主線、活動或支線冒險"
"260312005","1","26031","3","2026/08/01 04:59:59","2026/07/02 05:00:00","49","5","200","10","0","完成10次深域冒險"
"260312006","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","44","11","500","5","0","登入遊戲合計5次"
"260312007","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","46","12","200","1000","0","消耗合計1000體力"
"260312008","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","46","13","400","3000","0","消耗合計3000體力"
"260312009","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","46","14","600","5000","0","消耗合計5000體力"
"260312010","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","53","18","200","5","0","在戰鬥競技場或公主競技場合計戰鬥5次"
"260312011","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","53","19","400","10","0","在戰鬥競技場或公主競技場合計戰鬥10次"
"260312012","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","53","20","600","20","0","在戰鬥競技場或公主競技場合計戰鬥20次"
"260312013","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","50","21","200","50","0","完成50次深域冒險"
"260312014","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","50","22","400","100","0","完成100次深域冒險"
"260312015","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","50","23","600","250","0","完成250次深域冒險"
"260312016","2","26031","4","2026/07/29 04:59:59","2026/07/02 05:00:00","54","24","500","1","0","不使用掃蕩，通過1次黎明界迷宮"
"260312017","3","26041","5","2026/08/06 15:59:59","2026/08/01 16:00:00","66","201","100","1","0","在次元斷層中勝利1次（不包含尋寶冒險）"
"260312018","3","26041","5","2026/08/06 15:59:59","2026/08/01 16:00:00","66","202","100","5","0","在次元斷層中勝利5次（不包含尋寶冒險）"
"260312019","3","26041","5","2026/08/06 15:59:59","2026/08/01 16:00:00","66","203","200","10","0","在次元斷層中勝利10次（不包含尋寶冒險）"
"260312020","3","26041","5","2026/08/06 15:59:59","2026/08/01 16:00:00","66","204","300","15","0","在次元斷層中勝利15次（不包含尋寶冒險）"
"260312021","3","26041","5","2026/08/06 15:59:59","2026/08/01 16:00:00","66","205","400","20","0","在次元斷層中勝利20次（不包含尋寶冒險）"
"260312022","3","26041","5","2026/08/06 15:59:59","2026/08/01 16:00:00","66","206","500","25","0","在次元斷層中勝利25次（不包含尋寶冒險）"
"260312023","3","26031","5","2026/07/31 23:59:59","2026/07/27 05:00:00","58","501","500","3","0","合計挑戰3次戰隊競賽"
"260312024","3","26031","5","2026/07/31 23:59:59","2026/07/27 05:00:00","58","502","500","6","0","合計挑戰6次戰隊競賽"
"260312025","3","26031","5","2026/07/31 23:59:59","2026/07/27 05:00:00","58","503","500","9","0","合計挑戰9次戰隊競賽"
"260312026","3","26031","5","2026/07/31 23:59:59","2026/07/27 05:00:00","58","504","500","12","0","合計挑戰12次戰隊競賽"
"260312027","3","26031","5","2026/07/31 23:59:59","2026/07/27 05:00:00","58","505","1000","15","0","合計挑戰15次戰隊競賽"
"260312028","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","59","101","100","10","0","在深淵討伐戰挑戰10次Boss"
"260312029","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","59","102","200","20","0","在深淵討伐戰挑戰20次Boss"
"260312030","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","59","103","300","30","0","在深淵討伐戰挑戰30次Boss"
"260312031","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","59","104","400","40","0","在深淵討伐戰挑戰40次Boss"
"260312032","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","59","105","500","50","0","在深淵討伐戰挑戰50次Boss"
"260312033","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","59","106","1000","60","0","在深淵討伐戰挑戰60次Boss"
"260312034","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","60","107","100","1","1000000000","在深淵討伐戰獲得10億Pt"
"260312035","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","60","108","200","1","5000000000","在深淵討伐戰獲得50億Pt"
"260312036","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","60","109","300","1","10000000000","在深淵討伐戰獲得100億Pt"
"260312037","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","60","110","400","1","15000000000","在深淵討伐戰獲得150億Pt"
"260312038","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","60","111","500","1","20000000000","在深淵討伐戰獲得200億Pt"
"260312039","3","26031","5","2026/07/10 04:59:59","2026/07/05 16:00:00","60","112","1000","1","50000000000","在深淵討伐戰獲得500億Pt"
"260312040","3","26031","5","2026/07/24 04:59:59","2026/07/01 16:00:00","61","401","100","10","0","完成合計10次活動冒險（不包含復刻）"
"260312041","3","26031","5","2026/07/24 04:59:59","2026/07/01 16:00:00","61","402","200","30","0","完成合計30次活動冒險（不包含復刻）"
"260312042","3","26031","5","2026/07/24 04:59:59","2026/07/01 16:00:00","61","403","300","50","0","完成合計50次活動冒險（不包含復刻）"
"260312043","3","26031","5","2026/07/24 04:59:59","2026/07/01 16:00:00","61","404","400","100","0","完成合計100次活動冒險（不包含復刻）"
"260312044","3","26031","5","2026/07/24 04:59:59","2026/07/01 16:00:00","61","405","1000","150","0","完成合計150次活動冒險（不包含復刻）"
"260312045","3","26031","5","2026/07/24 04:59:59","2026/07/01 16:00:00","62","406","1000","1","0","完成劇情活動的Boss戰(SCENARIO)（不包含復刻）"
"260312046","3","26031","5","2026/07/24 04:59:59","2026/07/01 16:00:00","63","407","1000","1","0","完成劇情活動的Boss戰(SPECIAL)（不包含復刻）"
"260312047","3","26031","5","2026/07/24 04:59:59","2026/07/01 16:00:00","64","408","1000","1","5214007","閱覽劇情活動最終話（不包含復刻）"
"260312048","3","26031","5","2026/07/15 04:59:59","2026/07/10 16:00:00","70","301","1000","30","0","在艾爾皮斯討魔戰線通關Boss戰30次"
"260312049","3","26031","5","2026/07/15 04:59:59","2026/07/10 16:00:00","70","302","2000","75","0","在艾爾皮斯討魔戰線通關Boss戰75次"
"260312050","3","26031","5","2026/08/01 04:59:59","2026/07/06 16:00:00","71","601","500","3","0","完成3次追憶之戰域 追憶戰‧霸"
"260312051","3","26031","5","2026/08/01 04:59:59","2026/07/06 16:00:00","71","602","750","6","0","完成6次追憶之戰域 追憶戰‧霸"
"260312052","3","26031","5","2026/08/01 04:59:59","2026/07/06 16:00:00","71","603","1000","9","0","完成9次追憶之戰域 追憶戰‧霸"
"260312053","3","26031","5","2026/08/01 04:59:59","2026/07/06 16:00:00","71","604","1250","12","0","完成12次追憶之戰域 追憶戰‧霸"
"260312054","3","26031","5","2026/08/01 04:59:59","2026/07/06 16:00:00","71","605","1500","18","0","完成18次追憶之戰域 追憶戰‧霸"
"260312055","3","26031","5","2026/08/01 04:59:59","2026/07/06 16:00:00","71","606","2000","27","0","完成27次追憶之戰域 追憶戰‧霸"
"260412001","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","44","11","500","5","0","登入遊戲合計5次"
"260412002","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","46","12","200","1000","0","消耗合計1000體力"
"260412003","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","46","13","400","3000","0","消耗合計3000體力"
"260412004","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","46","14","600","5000","0","消耗合計5000體力"
"260412005","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","53","18","200","5","0","在戰鬥競技場或公主競技場合計戰鬥5次"
"260412006","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","53","19","400","10","0","在戰鬥競技場或公主競技場合計戰鬥10次"
"260412007","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","53","20","600","20","0","在戰鬥競技場或公主競技場合計戰鬥20次"
"260412008","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","50","21","200","50","0","完成50次深域冒險"
"260412009","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","50","22","400","100","0","完成100次深域冒險"
"260412010","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","50","23","600","250","0","完成250次深域冒險"
"260412011","2","26041","4","2026/08/29 04:59:59","2026/08/01 05:00:00","54","24","500","1","0","不使用掃蕩，通過1次黎明界迷宮"
"260412012","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","59","101","100","10","0","在深淵討伐戰挑戰10次Boss"
"260412013","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","59","102","200","20","0","在深淵討伐戰挑戰20次Boss"
"260412014","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","59","103","300","30","0","在深淵討伐戰挑戰30次Boss"
"260412015","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","59","104","400","40","0","在深淵討伐戰挑戰40次Boss"
"260412016","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","59","105","500","50","0","在深淵討伐戰挑戰50次Boss"
"260412017","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","59","106","1000","60","0","在深淵討伐戰挑戰60次Boss"
"260412018","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","60","107","100","1","1000000000","在深淵討伐戰獲得10億Pt"
"260412019","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","60","108","200","1","5000000000","在深淵討伐戰獲得50億Pt"
"260412020","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","60","109","300","1","10000000000","在深淵討伐戰獲得100億Pt"
"260412021","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","60","110","400","1","15000000000","在深淵討伐戰獲得150億Pt"
"260412022","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","60","111","500","1","20000000000","在深淵討伐戰獲得200億Pt"
"260412023","3","26041","5","2026/08/10 04:59:59","2026/08/05 16:00:00","60","112","1000","1","50000000000","在深淵討伐戰獲得500億Pt"
"260412030","3","26041","5","2026/08/15 04:59:59","2026/08/10 16:00:00","70","301","1000","30","0","在艾爾皮斯討魔戰線通關Boss戰30次"
"260412031","3","26041","5","2026/08/15 04:59:59","2026/08/10 16:00:00","70","302","2000","75","0","在艾爾皮斯討魔戰線通關Boss戰75次"
"260412032","3","26041","5","2026/08/24 04:59:59","2026/08/01 16:00:00","61","401","100","10","0","完成合計10次活動冒險（不包含復刻）"
"260412033","3","26041","5","2026/08/24 04:59:59","2026/08/01 16:00:00","61","402","200","30","0","完成合計30次活動冒險（不包含復刻）"
"260412034","3","26041","5","2026/08/24 04:59:59","2026/08/01 16:00:00","61","403","300","50","0","完成合計50次活動冒險（不包含復刻）"
"260412035","3","26041","5","2026/08/24 04:59:59","2026/08/01 16:00:00","61","404","400","100","0","完成合計100次活動冒險（不包含復刻）"
"260412036","3","26041","5","2026/08/24 04:59:59","2026/08/01 16:00:00","61","405","1000","150","0","完成合計150次活動冒險（不包含復刻）"
"260412037","3","26041","5","2026/08/24 04:59:59","2026/08/01 16:00:00","62","406","1000","1","0","完成劇情活動的Boss戰(SCENARIO)（不包含復刻）"
"260412038","3","26041","5","2026/08/24 04:59:59","2026/08/01 16:00:00","63","407","1000","1","0","完成劇情活動的Boss戰(SPECIAL)（不包含復刻）"
"260412039","3","26041","5","2026/08/24 04:59:59","2026/08/01 16:00:00","64","408","1000","1","5215007","閱覽劇情活動最終話（不包含復刻）"
"260412040","3","26041","5","2026/08/31 23:59:59","2026/08/27 05:00:00","58","501","500","3","0","合計挑戰3次戰隊競賽"
"260412041","3","26041","5","2026/08/31 23:59:59","2026/08/27 05:00:00","58","502","500","6","0","合計挑戰6次戰隊競賽"
"260412042","3","26041","5","2026/08/31 23:59:59","2026/08/27 05:00:00","58","503","500","9","0","合計挑戰9次戰隊競賽"
"260412043","3","26041","5","2026/08/31 23:59:59","2026/08/27 05:00:00","58","504","500","12","0","合計挑戰12次戰隊競賽"
"260412044","3","26041","5","2026/08/31 23:59:59","2026/08/27 05:00:00","58","505","1000","15","0","合計挑戰15次戰隊競賽"
"260412045","3","26041","5","2026/09/01 04:59:59","2026/08/03 16:00:00","71","601","500","3","0","完成3次追憶之戰域 追憶戰‧霸"
"260412046","3","26041","5","2026/09/01 04:59:59","2026/08/03 16:00:00","71","602","750","6","0","完成6次追憶之戰域 追憶戰‧霸"
"260412047","3","26041","5","2026/09/01 04:59:59","2026/08/03 16:00:00","71","603","1000","9","0","完成9次追憶之戰域 追憶戰‧霸"
"260412048","3","26041","5","2026/09/01 04:59:59","2026/08/03 16:00:00","71","604","1250","12","0","完成12次追憶之戰域 追憶戰‧霸"
"260412049","3","26041","5","2026/09/01 04:59:59","2026/08/03 16:00:00","71","605","1500","18","0","完成18次追憶之戰域 追憶戰‧霸"
"260412050","3","26041","5","2026/09/01 04:59:59","2026/08/03 16:00:00","71","606","2000","27","0","完成27次追憶之戰域 追憶戰‧霸"
