72625129ea11657994e8d11f16bdbd159e8a13eae70155dd769fe8fce144438d,b2ae4d7098119bfd4e36fc3255b69bcf664711e2b01247f9ab360ca2d969f5de,3dda1c71e5be1cf544b8e382147dff300fb1d06fff6fb53748f51a55f088110a,c9ac7843f52725fed3f178053f11fbcd56ef0510f6cbe998829836c34b3d8176,57c76ea00df9b8c79acfa73d85f54c5b074350f2ee579a14256750d329d25073
"100100101","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001001","12"
"100100102","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001001","11"
"100100103","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001001","17"
"100100104","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001001","boss_def_lower_limit"
"100100105","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001001","boss_magic_def_lower_limit"
"100100106","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001001","9"
"100100201","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001002","12"
"100100202","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001002","11"
"100100203","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001002","17"
"100100204","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001002","boss_def_lower_limit"
"100100205","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001002","boss_magic_def_lower_limit"
"100100206","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001002","9"
"100100301","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001003","12"
"100100302","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001003","11"
"100100303","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001003","17"
"100100304","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001003","boss_def_lower_limit"
"100100305","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001003","boss_magic_def_lower_limit"
"100100306","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001003","9"
"100100401","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001004","12"
"100100402","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001004","11"
"100100403","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001004","17"
"100100404","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001004","boss_def_lower_limit"
"100100405","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001004","boss_magic_def_lower_limit"
"100100406","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001004","9"
"100100501","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001005","12"
"100100502","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001005","11"
"100100503","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001005","17"
"100100504","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001005","boss_def_lower_limit"
"100100505","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001005","boss_magic_def_lower_limit"
"100100506","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001005","9"
"100100601","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001006","12"
"100100602","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001006","11"
"100100603","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001006","17"
