90c83341847fc5cc948b08e182d0dc0fdcc95679c6ea45fb0a63a84d2af623c7,23e7ae2182925f65369b7e2d5f52735e06751103bfae8dcde7b1863adf728a50,54d8508646b0befad55c73a83ed7fa510da0bb9f5c2250cad855139fedc35aca,d1fccc6e94890a5fde83b6b41f0a0e9957304f07011644012505c902efef536e,66e19d266201d9f9bfd68c55002bf39421ecd9ee1160fc4d1bd4001c22b56e47,86cd6fd996df28b3e9dd039e107be60ddfa4afc7df3ddd0d3162c7fa7d0f8b4f,88077d1a41aadde57bc15a574bbc198357bde4ec84cf12220079bd81f2d4b716
"11011","2","2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","11012","1101","0"
"11021","2","2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","11022","1102","0"
"11031","2","2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","11032","1103","0"
"11041","2","2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","11042","1104","0"
"11051","4","4","發現了魔物們聚集的競技場！","11052","1105","0"
"11073","7","7","發現不可思議的石板！要怎麼辦？","11072","1107","11071"
"11082","8","8","在地下城迷路了！要往哪邊前進？","11081","1108","0"
"11091","4","4","發現了魔物們聚集的競技場！","11092","1109","0"
"11101","3","3","剪刀、石頭……布！","11102","1110","11103"
"11111","10","10","能聽見箱子裡有聲音傳來……","11112","1111","0"
"11121","11","11","活動會場出現魔物了！","11122","1112","0"
"11131","4","4","發現了魔物們聚集的競技場！","11132","1113","0"
"11171","4","4","發現了魔物們聚集的競技場！","11172","1117","0"
"13141","5","5","發現釣魚景點！","0","1314","0"
"13151","9","9","是非常適合野餐的絕佳日子！","0","1315","0"
"13161","6","6","是拉霸機！要挑戰嗎？","0","1316","0"
"23141","5","5","Lucky！還可以再釣一次！","0","2314","0"
"23152","9","9","菜做好了！不過，還有材料喔！","23151","2315","0"
"23162","6","6","再來一局！","23161","2316","0"
"33141","5","5","再最後一次！","0","3314","0"
"33152","9","9","完美！不過，還有材料喔！","33151","3315","0"
"33162","6","6","最後一次！","33161","3316","0"
