aef2434af5e04883aee951e3f32f76784c72ca6d7fccbba1e37e3b5eb3f062bf,fb089b23f98a3b3dd805e9eafae38b63f64cb1234927135f4268bb8b07ea170c,5a0bed4c7e7a7a083682a475ed7973459a028a78d1f0fc281b9d7363b20f91cb,aa84c01dc579c1a59aa8d7db6e52e10d3004b41316fa06421f0448067fb96838,e262ef29f7c84055bc74d12a2f2d5a9150ec1da4a2fc6b92dab84f277b26bc41,4fc67f6b48780d04b4f043357c2e6a9b90916ef3fdc5c297663ce09e16fb0091,d69fab61c4db944d9610a7e5821f75ca5b0aba76c708e95b2e96312cce918046,a3ff71a3c61a9d743ab96d511730c7282af9310656e668ceaf60e4c3c04c8166,e5a5c1a04f6df9f378e0078ed7b8d146b79a09d69ac1de1077d9fd4eda5f0183,cf3cd2b35519c186ff7199656765b455006b136f2e861c29dd2a1bd4e2dc8984,4534c489e86227ebe6bf86b6cf49e339840f45447c09aa546bc1612af3fcc069
"0","11001010","通過主線冒險（NORMAL） 1-10","0","11","1","0","10101001","10101001","1","10101"
"0","105801","將貪吃佩可升到Lv10","0","1","1","0","10101002","10101002","10","10101"
"0","105801","將貪吃佩可升到RANK2","0","2","1","99017","10101003","10101003","2","10101"
"0","2001006","閱覽主線劇情第1章全部","0","16","1","0","10101004","10101004","1","10101"
"0","0","提升角色的技能等級共50次","0","9","1","0","10101005","10101005","50","10101"
"99010","11002006","通過主線冒險（NORMAL） 2-6","0","11","1","31059","10101006","10101006","1","10101"
"0","0","進行1次公主騎士強化","0","10","1","0","10101007","10101007","1","10101"
"0","21002","完成1次經驗值冒險","0","12","1","0","10101008","10101008","1","10101"
"0","21001","完成1次瑪那冒險","0","12","1","0","10101009","10101009","1","10101"
"0","11002012","通過主線冒險（NORMAL） 2-12","0","11","1","0","10101010","10101010","1","10101"
"0","105801","將貪吃佩可升到RANK3","0","2","1","99017","10101012","10101012","3","10101"
"0","105801","將貪吃佩可升到Lv20","0","1","1","0","10101013","10101013","20","10101"
"0","11003012","通過主線冒險（NORMAL） 3-12","0","11","1","0","10101014","10101014","1","10101"
