f83c23469e532573b9615fe71b76f051c35496756150a4d135d5012b7b104893,39c8b3ec853158fa73ce30873e1ad6a5bd360f2bb2587020a2a998d1cdcdd2f8,1aa53c5d6292b7ccacb9f716acf62ea758a183f730a00975dd25549dc8253895,a125dfc0d5a115d5179db60cf9bc99cc783b60119362f32da1979e238bd119a8,5c4c105bfa92ffbf664e1a2b0b6cc7e7657079d83ca997bc92206c470d189462,4b6adac4b3b4f8ccf4cf81e5034149f04905c0246db3bfdcb1e95a5971f6bec7,eddc4118eccc5ba4489e51bb9efcd4ac82a1945f7e66693855ceadfd11cba7cc,9eeb2c0f1cbcfa4652b686efcb9d1bb0867621ed86c0ea523c85ae493bcb40f8,c00585138b6667cca738b9366a79230476450c1171f699262c4424f8988b7b82,2338b8e1c83c6c29cea9d85c599efbfdb26ac972c243c0b02338d8a5252784b4,fe2a64aec20175087c7ccbec85b9f7126b65fbb8223b8642292e18c9c1c0bb1e,15dcbc45bab73e891ccb05e2a89ef6725eff50ec418f1aae39c3295f0e68725a
"vo_10011600","0","0","0","vo_10011600_1501","15","0","1150001","2","0","1","0"
"0","0.997402597402597","0","240","0","15","1","1150002","1","0","2","0"
"0","0","0","0","0","15","1","1150003","4","2.4974025974026","3","1"
"vo_10011600","0","0","0","vo_10011600_1502","15","0","1150004","2","0","4","0"
"0","0.748051948051948","0","118","0","15","2","1150005","1","0","5","0"
"0","0","0","0","0","15","2","1150006","4","0.848051948051948","6","1"
"vo_10011600","0","0","0","vo_10011600_1503","15","0","1150007","2","0","7","0"
"0","1.16363636363636","118","460","0","15","2","1150008","1","0","8","0"
"0","0","0","0","0","15","2","1150009","4","1.96363636363636","9","1"
"vo_10011600","0","0","0","vo_10011600_1504","15","0","1150010","2","0","10","0"
"0","2.07792207792208","0","500","0","15","3","1150011","1","0","11","0"
"0","0","0","0","0","15","3","1150012","4","3.47792207792208","12","1"
"vo_10011600","0","0","0","vo_10011600_1505","15","0","1150013","2","0","13","0"
"0","1.24675324675325","0","248","0","15","4","1150014","1","0","14","0"
"0","0","0","0","0","15","4","1150015","4","2.24675324675325","15","1"
"vo_10011600","0","0","0","vo_10011600_1506","15","0","1150016","2","0","16","0"
"0","1.95324675324675","248","770","0","15","4","1150017","1","0","17","0"
"0","0","0","0","0","15","4","1150018","4","1.95324675324675","18","1"
"vo_10011600","0","0","0","vo_10011600_1507","15","0","1150019","2","0","19","0"
"0","2.07792207792208","0","359","0","15","5","1150020","1","0","20","0"
"0","0","0","0","0","15","5","1150021","4","2.97792207792208","21","1"
"vo_10011600","0","0","0","vo_10011600_1508","15","0","1150022","2","0","22","0"
"0","1.12207792207792","359","770","0","15","5","1150023","1","0","23","0"
"0","0","0","0","0","15","5","1150024","4","2.02207792207792","24","1"
"vo_10011600","0","0","0","vo_10011600_1509","15","0","1150025","2","0","25","0"
"0","1.32987012987013","0","277","0","15","6","1150026","1","0","26","0"
"0","0","0","0","0","15","6","1150027","4","2.57987012987013","27","1"
"vo_10011600","0","0","0","vo_10011600_1510","15","0","1150028","2","0","28","0"
"0","1.87012987012987","277","770","0","15","6","1150029","1","0","29","0"
"0","0","0","0","0","15","6","1150030","4","2.87012987012987","30","1"
"vo_10011600","0","0","0","vo_10011600_1511","15","0","1150031","2","0","31","0"
"0","1.55844155844156","0","361","0","15","7","1150032","1","0","32","0"
"0","0","0","0","0","15","7","1150033","4","1.75844155844156","33","1"
"vo_10011600","0","0","0","vo_10011600_1512","15","0","1150034","2","0","34","0"
"0","1.26753246753247","361","726","0","15","7","1150035","1","0","35","0"
"0","0","0","0","0","15","7","1150036","4","2.51753246753247","36","1"
"vo_10011600","0","0","0","vo_10011600_1513","15","0","1150037","2","0","37","0"
"0","1.99480519480519","0","793","0","15","8","1150038","1","0","38","0"
"0","0","0","0","0","15","8","1150039","4","2.49480519480519","39","1"
"vo_10011600","0","0","0","vo_10011600_1514","15","0","1150040","2","0","40","0"
"0","1.03896103896104","793","793","0","15","8","1150041","1","0","41","0"
"0","0","0","0","0","15","8","1150042","4","2.53896103896104","42","1"
"0","0.01","0","400","0","15","9","1150043","1","0","43","0"
"0","0","0","0","0","15","9","1150044","4","0","44","1"
