045edfde31ad7df0e8725929c30c082d60327df9265129ace67a00af91d7c398,d8b6f0f49c935f5b80e696fc795337655c7670f603e053bd5c972d7aff93e4bf,7950e75b92c85104b674ada03f3a2d2510d64493dd14ba5c4b8ee5d9b513399b,ebe3debd956398f3643fadb9fd69ec6904c1c18dad670dcece97b5382b345069,18db5b63d540589bc4de5628c0452e236fab9eab921f128c0d00c0239f5b65c3,9d7d1cb0c86524c3865df96cc074e3abb4860f3692cfbc5540eb1dd1ea75095d,ee6d52cc3aa758c73d6b0351059e22092003e903f5da5b48d19d5adacbfca3cb,36566d04fc1ac6d71e646fcd927f1394d2b10af3d1329c6d222fd9eac324a6eb,c36d51669551a004f5ed7a06f013cfeebfa5b87152d8c5f9ab5d3cdae84cb105,aab904eba385a87a33f8704a3a8036b1591a2bf55e8c9576ab6e951dd8abcefd,00cfd856f445bbf8cac73ba729ee860f3d9dfb5209f6b33db06ac3f745c3f336,3e3767c527e235500070503ebaba5e5790f0e9f2e31c437156b192e8eda9aa9e,4a57c61b93b9ac24cbdbfd6c3b5ee2a0bdc06f6ef2aea5df86247461391aa563
"2","0","10000101","0","100001","提升攻擊力15％、\n提升攻擊速度10％。","小幅度提升攻擊力跟攻擊速度","130011","0","0","0","2210101","倭"
"2","0","10000201","0","100002","提升最大HP15％、\n提升攻擊速度10％。","小幅度提升最大HP跟攻擊速度","130111","0","0","0","2210201","若菜"
"2","0","0","0","100003","戰鬥開始３秒內，\n使敵人的移動速度與攻擊速度下降15％。","小幅度降低敵人的移動速度與攻擊速度","130211","0","0","0","2210301","布武機"
"2","0","10000401","0","100004","提升最大HP25％。","中幅度提升最大HP","105811","0","0","1","0","貪吃佩可"
"2","0","0","0","100005","戰鬥開始３秒內，\n使敵人的移動速度下降25％。","中幅度降低敵人的移動速度","106011","0","0","2","2210501","凱留"
"2","0","10000601","0","100006","提升COST上限50％。","大幅度提升COST","105911","0","0","3","0","可可蘿"
"3","0","0","0","100007","提升移動速度25％。","中幅度提升移動速度","106411","0","0","4","2210701","雪菲"
"2","0","10000801","0","100008","提升攻擊力15％、\n提升移動速度10％。","小幅度提升攻擊力跟移動速度","131311","0","0","5","2210801","莉莉"
"2","0","10000901","0","100009","提升最大HP15％、\n提升移動速度10％。","小幅度提升最大HP跟移動速度","131411","0","0","6","2210901","可璃亞"
"2","0","10001001","0","100010","提升COST上限25％、\n提升移動速度10％。","小幅度提升COST上限跟移動速度","131511","0","0","7","2211001","普蕾西亞"
"2","0","10001101","0","100011","提升攻擊力10％，\n戰鬥開始３秒內，提升攻擊速度15％。","小幅度提升攻擊力跟攻擊速度","126411","0","0","8","2211101","克蘿茜"
"3","0","0","0","100012","戰鬥開始３秒內，\n提升攻擊力25％。","中幅度提升攻擊力","126511","0","0","9","2211201","萊拉耶爾"
"2","0","0","0","100013","戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力25％。","提升攻擊速度跟攻擊力","127711","0","0","10","2211301","琳德"
"2","0","0","0","100014","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。","降低自身的攻擊速度與敵人的攻擊力","127811","0","0","11","2211401","烏爾姆"
"3","10001502","10001501","0","100015","提升COST上限25％、\n提升HP15％。","小幅度提升COST上限跟HP","130911","0","0","12","0","庫露露"
"2","0","0","0","100016","降低敵人的攻擊力跟攻擊速度10％。","小幅度降低對方的攻擊力跟攻擊速度","129611","0","0","13","2211601","安涅默涅"
"3","0","0","0","100017","戰鬥開始1.5秒內，\n使敵人的移動速度下降50％。","大幅度降低對方的移動速度","129711","0","0","14","2211701","涅妃‧涅羅"
"1","0","0","1","101001","剩餘HP在50％以下時發動。\n在３秒間射出斬擊，造成大幅度傷害。","射出斬擊攻擊敵人","130011","0","0","0","3110101","倭"
"1","0","0","1","101002","剩餘HP在70％以下時發動。\n尖刺兄弟會出現，要是撞到敵人\n會造成小幅度傷害，將其擊飛。","尖刺兄弟撞飛敵人","130111","0","0","0","3110201","若菜"
"1","0","0","1","101003","戰鬥開始３秒後發動。\n封鎖敵人的移動與攻擊１秒。","封鎖敵人的移動與攻擊１秒","130211","0","0","0","2110301","布武機"
"2","0","20101001","1","201010","提升最大HP15％。","提升最大HP","105811","0","0","0","0","貪吃佩可"
"2","0","0","1","201020","戰鬥開始３秒內，\n使敵人的移動速度下降15％。","降低敵方的移動速度","106011","0","0","0","2220201","凱留"
"2","0","20103001","1","201030","提升COST上限50％。","提升COST上限","105911","0","0","0","0","可可蘿"
"3","0","0","1","201040","提升移動速度15％。","提升移動速度","106411","0","0","0","2220401","雪菲"
"2","0","20105001","1","201050","提升攻擊力25％、\n提升移動速度10％。","提升攻擊力跟移動速度","131311","0","0","0","2220501","莉莉"
"2","0","20106001","1","201060","提升最大HP25％、\n提升移動速度10％。","提升最大HP跟移動速度","131411","0","0","0","2220601","可璃亞"
"2","0","20107001","1","201070","提升COST上限25％、\n提升移動速度10％。","提升COST上限跟移動速度","131511","0","0","0","2220701","普蕾西亞"
"2","0","20108001","1","201080","提升攻擊力25％，\n戰鬥開始３秒內，提升攻擊速度15％。","提升攻擊力跟攻擊速度","126411","0","0","0","2220801","克蘿茜"
"3","0","0","1","201090","戰鬥開始３秒內，\n提升攻擊力25％。","提升攻擊力","126511","0","0","0","2220901","萊拉耶爾"
"2","0","0","1","201100","戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力15％。","提升攻擊速度跟攻擊力","127711","0","0","0","2221001","琳德"
"2","0","0","1","201110","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降15％。","降低自身的攻擊速度與敵人的攻擊力","127811","0","0","0","2221101","烏爾姆"
"3","20112002","20112001","1","201120","提升COST上限25％、\n提升HP50％。","提升COST上限跟HP","130911","0","0","0","0","庫露露"
"2","0","0","1","201130","降低敵人的攻擊力跟攻擊速度10％。","降低對方的攻擊力跟攻擊速度","129611","0","0","0","2221301","安涅默涅"
"3","0","0","1","201140","戰鬥開始1.5秒內，\n使敵人的移動速度下降25％。","降低對方的移動速度","129711","0","0","0","2221401","涅妃‧涅羅"
"2","0","20115001","1","201150","提升最大HP３0％。","提升最大HP","105811","0","0","0","0","貪吃佩可"
"2","0","0","1","201160","戰鬥開始３秒內，\n使敵人的移動速度下降20％。","降低敵方的移動速度","106011","0","0","0","2221601","凱留"
"2","0","20117001","1","201170","提升COST上限75％。","提升COST上限","105911","0","0","0","0","可可蘿"
"3","0","0","1","201180","提升移動速度20％。","提升移動速度","106411","0","0","0","2221801","雪菲"
"2","0","20119001","1","201190","提升攻擊力50％、\n提升移動速度15％。","提升攻擊力跟移動速度","131311","0","0","0","2221901","莉莉"
"2","0","20120001","1","201200","提升最大HP50％、\n提升移動速度15％。","提升最大HP跟移動速度","131411","0","0","0","2222001","可璃亞"
"2","0","20121001","1","201210","提升COST上限３0％、\n提升移動速度15％。","提升COST上限跟移動速度","131511","0","0","0","2222101","普蕾西亞"
"2","0","20122001","1","201220","提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度20％。","提升攻擊力跟攻擊速度","126411","0","0","0","2222201","克蘿茜"
"3","0","0","1","201230","戰鬥開始３秒內，\n提升攻擊力３0％。","提升攻擊力","126511","0","0","0","2222301","萊拉耶爾"
"2","0","0","1","201240","戰鬥開始３秒內，提升攻擊速度15％，\n然後提升攻擊力20％。","提升攻擊速度跟攻擊力","127711","0","0","0","2222401","琳德"
