9a84057254cd7e9125cd6dd110ae497225df66aaff791dbaa9afa4ac648caf00,7f33f940de920471b27fdd2725820d731a486e349e15bec2740f689dfd336f3e,7a962f0e56f4145cc30d3318917a474e77042cc0a99bbfcf60f0497bda1d1a89,dda397cd22e646eeea919f64c2a3c4b8062ee4ed82e6ef14a6c897c1a7f591e8,06abe773a93a93472450b8e51e6b2561276d2b97e7f62bfa9f4004f0a79aa7ce,e19fdeea521f0cc2e8e99e8cfa5123457a37d676a46114029ddc4dca93e3ddf4,5ccaebe5009fb19306f6d852e1374975206cae0ede97eacba78013ab62d78844,af5220ed985ffb7468f8570ec0f81e205818e67011e016d343596f73521ac5aa,0f14d8d45267295bfec6146b7fd08467b1c7095b92718f8910a0e3531116c322,fa61913c234527eeb761ab37dee0c6518883d40d95d592eb0ba80b072b22fa2a,c700acb8f2de4cb72a4be3b3b6b8baac84cba56cf0cd94efe5e09161e39bf66f
"2","25021","31","285001001","2","1","91002","8","8","10","25015"
"2","25021","31","285001002","2","2","91002","8","8","10","25015"
"2","25021","32","285001003","2","3","91002","8","8","10","25015"
"2","25021","32","285001004","2","4","91002","8","8","10","25015"
"2","25021","33","285001005","2","5","91002","8","8","10","25015"
"2","25021","33","285001006","2","6","91002","8","9","10","25015"
"2","25021","34","285001007","2","7","91002","8","9","10","25015"
"2","25021","35","285001008","2","8","91002","8","9","10","25015"
"2","25021","35","285001009","2","9","91002","8","9","10","25015"
"2","25021","37","285001010","2","10","91002","8","10","30","25015"
"2","25021","41","285001011","2","11","91002","8","10","10","25015"
"2","25021","43","285001012","2","12","91002","8","11","10","25015"
"2","25021","46","285001013","2","13","91002","8","11","10","25015"
"2","25021","48","285001014","2","14","91002","8","12","10","25015"
"2","25021","50","285001015","2","15","91002","8","12","10","25015"
"2","25021","53","285001016","2","16","91002","8","13","10","25015"
"2","25021","55","285001017","2","17","91002","8","14","10","25015"
"2","25021","58","285001018","2","18","91002","8","14","10","25015"
"2","25021","60","285001019","2","19","91002","8","15","10","25015"
"2","25021","62","285001020","2","20","91002","8","15","30","25015"
"2","25021","68","285001021","2","21","91002","8","16","10","25015"
"2","25021","70","285001022","2","22","91002","8","16","10","25015"
"2","25021","72","285001023","2","23","91002","8","16","10","25015"
"2","25021","75","285001024","2","24","91002","8","17","10","25015"
"2","25021","77","285001025","2","25","91002","8","18","10","25015"
"2","25021","79","285001026","2","26","91002","8","18","10","25015"
"2","25021","82","285001027","2","27","91002","8","19","10","25015"
"2","25021","84","285001028","2","28","91002","8","19","10","25015"
"2","25021","86","285001029","2","29","91002","8","19","10","25015"
"2","25021","89","285001030","2","30","91002","8","20","30","25015"
"2","25021","94","285001031","2","31","91002","8","20","10","25015"
"2","25021","96","285001032","2","32","91002","8","21","10","25015"
"2","25021","99","285001033","2","33","91002","8","21","10","25015"
"2","25021","101","285001034","2","34","91002","8","22","10","25015"
"2","25021","103","285001035","2","35","91002","8","22","10","25015"
"2","25021","106","285001036","2","36","91002","8","23","10","25015"
"2","25021","108","285001037","2","37","91002","8","23","10","25015"
"2","25021","111","285001038","2","38","91002","8","24","10","25015"
"2","25021","113","285001039","2","39","91002","8","25","10","25015"
"2","25021","115","285001040","2","40","91002","8","25","30","25015"
"2","25021","121","285001041","2","41","91002","8","26","10","25015"
"2","25021","123","285001042","2","42","91002","8","27","10","25015"
"2","25021","125","285001043","2","43","91002","8","28","10","25015"
"2","25021","128","285001044","2","44","91002","8","28","10","25015"
"2","25021","130","285001045","2","45","91002","8","29","10","25015"
"2","25021","132","285001046","2","46","91002","8","30","10","25015"
"2","25021","135","285001047","2","47","91002","8","30","10","25015"
"2","25021","137","285001048","2","48","91002","8","31","10","25015"
"2","25021","139","285001049","2","49","91002","8","31","10","25015"
"2","25021","142","285001050","2","50","91002","8","31","30","25015"
"2","25021","144","285001051","2","51","91002","8","32","10","25015"
"2","25021","146","285001052","2","52","91002","8","32","10","25015"
"2","25021","149","285001053","2","53","91002","8","32","10","25015"
"2","25021","152","285001054","2","54","91002","8","33","10","25015"
"2","25021","155","285001055","2","55","91002","8","33","10","25015"
"2","25021","157","285001056","2","56","91002","8","33","10","25015"
"2","25021","160","285001057","2","57","91002","8","34","10","25015"
"2","25021","163","285001058","2","58","91002","8","34","10","25015"
"2","25021","166","285001059","2","59","91002","8","34","10","25015"
"2","25021","169","285001060","2","60","91002","8","35","30","25015"
"2","25021","171","285001061","2","61","91002","8","35","10","25015"
"2","25021","174","285001062","2","62","91002","8","35","10","25015"
"2","25021","177","285001063","2","63","91002","8","36","10","25015"
"2","25021","180","285001064","2","64","91002","8","36","10","25015"
"2","25021","182","285001065","2","65","91002","8","36","10","25015"
"2","25021","185","285001066","2","66","91002","8","37","10","25015"
"2","25021","187","285001067","2","67","91002","8","37","10","25015"
"2","25021","190","285001068","2","68","91002","8","37","10","25015"
"2","25021","193","285001069","2","69","91002","8","38","10","25015"
"2","25021","196","285001070","2","70","91002","8","38","30","25015"
