c8144ae0641f3719f121cb421ead3ecc5e0a993685df1abfea9e6b9cbdbc2ba1,5103cb1de4b2cfad5489d8c9f1b133f3f8add1dfdf0a79b7361d15132257432f,a79400b98ce43ef73247a1a1f19695c8d2341f6e1de0ede5130fc301af34330b,67bac522b252991b122585b6f7526792a730dae2a28ea4fea37f5377c4937856,673ff79f296c5c2b99affbf50f7b5900b39e7f664a4558f52bd409dafcb55893,01476d909d2f072b869189232a03f3e3847c92f909061db4b7498cb4508f38c0,faf1b0ba6e30b3ba12e50217e668610948a2e6ab9a2a6a7513934988862cd9b3,6dce1b015e2f86c8e33c3e20b403cd69dd80682b867e86faf277f53d40487bf5,c6beac2df0c029d5e37e0c15af005bdcc1202e5d1afd0bf35df7111f226a5d5b,17c63fb48efc95bb193d5020d2af545ff7c88a45bceb8da8031570ac80885479,a142e31b8f938612026fac4e181329e698eefbe77783d991aa87261d0a788961,1e552ecda4e1fae28d30495174be866adf4759439c5dc243dbe873460be74446,6b825142989b2db306caa0ea6906181bba1dc939a9283cf2dd2c2d077027fe22,851c491dc798372511338137f69f0ce3a72a751ad7f69a0ef899232b73df6e1e,699187d537fabcadffc6b2b4efe822335534c6c2cc40856a422bc5664efed5b1,5410a727a908e484e6671b690b3e8d0ec2e9e5da7e1f072d9d39410d5e756cd9,24d2df120a8f3da5ef1d82df99b58bc339a1bad23a00992d428ab3195a0c23bb,e0a8eb6a7660ad6d976b87700a5d932c768961096e57f1ebf1d1b9d63f80bd75,8fddbdedcdefe312b1d6329856f3a4a36adc2b2f0388a8ce6702b26756190e26,013e61ffb39de601fd6bc1c4d5cdd5ea94dd3b81505a6002f34402a058b703bd
"21938","這個的名稱是什麼？","1","6","1001","24067","把你變成布丁喲","6","6","6","1001","19969","變成布丁喲","把你變成布丁喲","35722","1","6","25104","1","「宮子」的口頭禪，同時也是其必殺技名稱的詞語。"
"30403","這個的名稱是什麼？","1","6","1008","32034","","6","6","6","0","29246","蘭德索爾盃","蘭德索爾盃","34349","1","6","24503","1","每半年舉行一次的障礙物賽跑。來猜猜四名跑者中哪一名角色會跑第一吧！"
"38632","這個的名稱是什麼？","1","6","1010","26292","","6","6","6","0","39080","斬擊暴風雨","斬擊暴風雨","26028","1","6","25802","1","「怜（★6）」的必殺技。"
"32191","這個的名稱是什麼？","1","6","1011","36575","歡樂軟綿綿突擊","6","6","6","0","32191","歡樂軟綿綿","歡樂軟綿綿突擊","27489","1","6","27138","1","「莉瑪（★6）」的必殺技。"
"36208","這個的名稱是什麼？","1","6","1012","22823","喵咪喵咪幻影大暴走","6","6","6","0","26292","幻影大暴走","喵咪喵咪幻影大暴走","24187","2","6","24433","1","「珠希（★6）」的必殺技。"
"20142","這個的名稱是什麼？","1","6","1013","39321","","6","6","6","0","38275","七七香閃亮","七七香‧∞‧閃亮","19971","2","6","19971","1","「七七香（★6）」的必殺技。"
"24615","這個的名稱是什麼？","1","6","1014","30332","認知與發展性的哲學","6","6","6","0","23637","認知發展性","認知與發展性的哲學","35469","2","6","30693","1","「優妮」的必殺技。"
"101","這個的名稱是什麼？","1","6","1015","111","心型Love颶風","3","3","3","0","118","心Love","心型Love颶風","24515","2","2","76","1","「伊緒（★6）」的必殺技。"
"26059","這個的名稱是什麼？","1","6","1016","20808","","6","6","6","0","29983","兔子先生旋","兔子先生旋風","20820","2","6","23376","1","「美美（★6）」的必殺技。"
"34030","這個的名稱是什麼？","1","6","1017","20043","忍法‧烈火之紅蓮旋風","6","6","6","0","32005","烈火之紅蓮","忍法‧烈火之紅蓮旋風","28872","2","6","28779","1","「妮諾（★6）」的必殺技。"
