5f7346fef7563e16aa41411a82e728a2c44993ed0a116b086af91ed3afd4044d,032d2b7088ffcdfcc889ec2939f69f4a54b64f4ccf040dfce67d34275563214d,325b5f6186a23dde6628d987974e33c956f54172b955fd29ca7cf54a9396d08f,dfd67f8d690397097ab7df6467a88289c88cf34ec143a34b14a93b1a969d6256,f8a41c82fc1244c9192bbdc1fb76c844045637630f84b1f1432f2a0d3e03c9dc,75809871733378a4314b6915259519b20561ac7cfd74cd62084eea87abdd86ba,26c6dd1bbab83c1171a174d034d081464f3d1715a50a47942e06af2708d75a4b,a96a24e6287fbad7e9d1a7a706896c25b28392b453107866f2a3f0e35cd1c0f8,e69d3a42607a3d38ba989cad9c6fed9f25df545256f8102e137179a087003b00,50bd957323f3b881eba220b3f8244fecef1fa0ec31289476c5bd01f3c0fc5216,3e96a1587c95a695b280869df044af53f6a054f5b25e7ec76d10de0f58633530
"31","2","2","8","25011","91002","8","281001001","1","25021","10"
"31","2","2","8","25011","91002","8","281001002","2","25021","10"
"32","2","2","8","25011","91002","8","281001003","3","25021","10"
"32","2","2","8","25011","91002","8","281001004","4","25021","10"
"33","2","2","8","25011","91002","8","281001005","5","25021","10"
"33","2","2","9","25011","91002","8","281001006","6","25021","10"
"34","2","2","9","25011","91002","8","281001007","7","25021","10"
"35","2","2","9","25011","91002","8","281001008","8","25021","10"
"35","2","2","9","25011","91002","8","281001009","9","25021","10"
"37","2","2","10","25011","91002","8","281001010","10","25021","30"
"41","2","2","10","25011","91002","8","281001011","11","25021","10"
"43","2","2","11","25011","91002","8","281001012","12","25021","10"
"46","2","2","11","25011","91002","8","281001013","13","25021","10"
"48","2","2","12","25011","91002","8","281001014","14","25021","10"
"50","2","2","12","25011","91002","8","281001015","15","25021","10"
"53","2","2","13","25011","91002","8","281001016","16","25021","10"
"55","2","2","14","25011","91002","8","281001017","17","25021","10"
"58","2","2","14","25011","91002","8","281001018","18","25021","10"
"60","2","2","15","25011","91002","8","281001019","19","25021","10"
"62","2","2","15","25011","91002","8","281001020","20","25021","30"
"68","2","2","16","25011","91002","8","281001021","21","25021","10"
"70","2","2","16","25011","91002","8","281001022","22","25021","10"
"72","2","2","16","25011","91002","8","281001023","23","25021","10"
