e54aa3b490dc97c7c2ca72aed9300f8563202a802befaa5a0e0ad75585dc6b8a,736575b0f6f1db93e0eb53beb736a443844a350b4dc6503e3117daf06655ff8d,bffc5ef0f64c55bc3061f6316fd3be7dfa5c43ae799aadbe5183f437ffe46b3d,8be4bb878504eef008a765c2dbfe394d0adb29a33d514939756d58c530209ec2,8d5dd319dcf87e5e0032e7faebb9ad934838db567803469a926c432c5be11550,686431d72b0ee65c3530f8b4046fd2dfd7c6b71e2709fd58575a26cae8c56dcf,20c6ca02357b85262f331b543d73bc6c53e0745a70b148566530890fa9705cdf,d3d896903e2e326eb265a0d0116624096da0357aa4f19aa870bf08c20d9a20c3,d00589b3b09983d553feebca45e4c279ced5d7c19bd7ffc60059617bb6c61db8,dffbc0c7609b7f0008d77e6eac421a7b0d30520fe3ab541992f591da84ce95f0,644d3d049dc7d692b7c686ae9f00d646832228f31896a96470594ce52a46d57f,9ba8541a89d993cad3f5acb952e01e4d6036863c77004d336507e48ea0e2ed95
"-1","1","3","100","-1","1","1","100101","1","1","1","13"
"-1","1","4","130","-1","1","1","100201","1","1","1","15"
"-1","1","4","160","-1","1","1","100301","1","1","1","17"
"120","1","4","180","-1","1","1","100401","1","1","1","19"
"-1","1","4","180","-1","1","1","100402","1","1","1","19"
"150","1","4","200","-1","1","1","100501","1","1","1","21"
"-1","1","4","200","-1","1","1","100502","1","1","1","21"
"180","1","5","220","-1","1","1","100601","1","1","1","23"
"-1","1","5","220","-1","1","1","100602","1","1","1","23"
"210","1","5","240","-1","1","1","100701","1","1","1","25"
"-1","1","5","240","-1","1","1","100702","1","1","1","25"
"240","1","5","260","-1","1","1","100801","1","1","1","27"
"-1","1","5","260","-1","1","1","100802","1","1","1","27"
"270","1","5","280","-1","1","1","100901","1","1","1","29"
"-1","1","5","280","-1","1","1","100902","1","1","1","29"
"300","1","6","300","1","1","1","101001","1","1","1","32"
"300","1","6","300","-1","1","1","101002","1","1","1","32"
"-1","1","6","300","-1","1","1","101003","1","1","1","32"
"300","1","5","300","1","1","1","101004","1","1","1","32"
"300","1","5","300","-1","1","1","101005","1","1","1","32"
"-1","1","5","300","-1","1","1","101006","1","1","1","32"
"300","1","6","310","1","1","1","101101","1","1","1","32"
"300","1","6","310","-1","1","1","101102","1","1","1","32"
"-1","1","6","310","-1","1","1","101103","1","1","1","32"
"300","1","5","310","1","1","1","101104","1","1","1","32"
"300","1","5","310","-1","1","1","101105","1","1","1","32"
"-1","1","5","310","-1","1","1","101106","1","1","1","32"
"300","1","6","320","1","1","1","101201","1","1","1","32"
"300","1","6","320","-1","1","1","101202","1","1","1","32"
"-1","1","6","320","-1","1","1","101203","1","1","1","32"
"300","1","5","320","1","1","1","101204","1","1","1","32"
"300","1","5","320","-1","1","1","101205","1","1","1","32"
"-1","1","5","320","-1","1","1","101206","1","1","1","32"
"300","1","6","330","3","1","1","101301","1","1","1","32"
"300","1","6","330","-1","1","1","101302","1","1","1","32"
"-1","1","6","330","-1","1","1","101303","1","1","1","32"
"300","1","5","330","3","1","1","101304","1","1","1","32"
"300","1","5","330","-1","1","1","101305","1","1","1","32"
"-1","1","5","330","-1","1","1","101306","1","1","1","32"
"300","1","6","340","3","1","1","101401","1","1","1","32"
"300","1","6","340","-1","1","1","101402","1","1","1","32"
"-1","1","6","340","-1","1","1","101403","1","1","1","32"
"300","1","5","340","3","1","1","101404","1","1","1","32"
"300","1","5","340","-1","1","1","101405","1","1","1","32"
"-1","1","5","340","-1","1","1","101406","1","1","1","32"
"300","1","6","350","3","1","1","101501","1","1","1","32"
"300","1","6","350","-1","1","1","101502","1","1","1","32"
"-1","1","6","350","-1","1","1","101503","1","1","1","32"
"300","1","5","350","3","1","1","101504","1","1","1","32"
"300","1","5","350","-1","1","1","101505","1","1","1","32"
"-1","1","5","350","-1","1","1","101506","1","1","1","32"
"310","1","6","360","5","1","1","101601","1","1","1","32"
"310","1","6","360","-1","1","1","101602","1","1","1","32"
"-1","1","6","360","-1","1","1","101603","1","1","1","32"
"310","1","5","360","5","1","1","101604","1","1","1","32"
"310","1","5","360","-1","1","1","101605","1","1","1","32"
"-1","1","5","360","-1","1","1","101606","1","1","1","32"
"310","1","6","380","5","1","1","101701","1","1","1","32"
"310","1","6","380","-1","1","1","101702","1","1","1","32"
"-1","1","6","380","-1","1","1","101703","1","1","1","32"
"310","1","5","380","5","1","1","101704","1","1","1","32"
"310","1","5","380","-1","1","1","101705","1","1","1","32"
"-1","1","5","380","-1","1","1","101706","1","1","1","32"
"310","1","6","400","5","1","1","101801","1","1","1","32"
"310","1","6","400","-1","1","1","101802","1","1","1","32"
"-1","1","6","400","-1","1","1","101803","1","1","1","32"
"310","1","5","400","5","1","1","101804","1","1","1","32"
"310","1","5","400","-1","1","1","101805","1","1","1","32"
"-1","1","5","400","-1","1","1","101806","1","1","1","32"
"310","1","6","400","5","1","1","111601","1","1","1","33"
"310","1","6","400","-1","1","1","111602","1","1","1","33"
"-1","1","6","400","-1","1","1","111603","1","1","1","33"
"310","1","5","400","5","1","1","111604","1","1","1","33"
"310","1","5","400","-1","1","1","111605","1","1","1","33"
"-1","1","5","400","-1","1","1","111606","1","1","1","33"
"310","1","6","450","5","1","1","111701","1","1","1","33"
"310","1","6","450","-1","1","1","111702","1","1","1","33"
"-1","1","6","450","-1","1","1","111703","1","1","1","33"
"310","1","5","450","5","1","1","111704","1","1","1","33"
"310","1","5","450","-1","1","1","111705","1","1","1","33"
"-1","1","5","450","-1","1","1","111706","1","1","1","33"
"310","1","6","500","5","1","1","111801","1","1","1","33"
"310","1","6","500","-1","1","1","111802","1","1","1","33"
"-1","1","6","500","-1","1","1","111803","1","1","1","33"
"310","1","5","500","5","1","1","111804","1","1","1","33"
"310","1","5","500","-1","1","1","111805","1","1","1","33"
"-1","1","5","500","-1","1","1","111806","1","1","1","33"
