6ea4eb7e70e53a336a43c5270720021a56ef2089f1fb416b57c8c3351401f434,5bc2ab4803f09f9ea2c64ba69de20be4a0a04f4c92fcbfbd0855c9fc749d0a29,a2e3d67e11700243af32f304e42b4c12a0399a8500f5d848d5d8bf15534ae672,39f9ab8934d942374a72b2cf316d06a4bf2da0c980ba7d3eb12678965e50f001,92bd108e504389afa73bb18decfc66a2662eca3b5ab9955631d9847f31048546,63ef53ebbfb8d89f6005e0bbc84940c7567e7c3be0be4015615978d2b7c2a6b9,7096343bf98ba8a5a4897d5a0c7fb05244266d58bc3c3edd6a568547128eebe2,c6c3584b33cefb441aa6e99404a2f5828a6cac38f4aa0ac71fb664a531a34d4c,9e7eacdf358ae6b7656ee189baa73582d25de2a36a0eaebe2f0283d7e038defe,cca78c78140c090a2c64d4aae9fe989487fe2e89302f25be2820efc17abbea07,07e511ea15be0db1234213e86fb015e0b533e9addb64d56f99568866b27a3b1e
"1","281001001","8","91002","10","2","25021","8","2","25011","31"
"2","281001002","8","91002","10","2","25021","8","2","25011","31"
"3","281001003","8","91002","10","2","25021","8","2","25011","32"
"4","281001004","8","91002","10","2","25021","8","2","25011","32"
"5","281001005","8","91002","10","2","25021","8","2","25011","33"
"6","281001006","8","91002","10","2","25021","9","2","25011","33"
"7","281001007","8","91002","10","2","25021","9","2","25011","34"
"8","281001008","8","91002","10","2","25021","9","2","25011","35"
"9","281001009","8","91002","10","2","25021","9","2","25011","35"
"10","281001010","8","91002","30","2","25021","10","2","25011","37"
"11","281001011","8","91002","10","2","25021","10","2","25011","41"
"12","281001012","8","91002","10","2","25021","11","2","25011","43"
"13","281001013","8","91002","10","2","25021","11","2","25011","46"
"14","281001014","8","91002","10","2","25021","12","2","25011","48"
"15","281001015","8","91002","10","2","25021","12","2","25011","50"
"16","281001016","8","91002","10","2","25021","13","2","25011","53"
"17","281001017","8","91002","10","2","25021","14","2","25011","55"
"18","281001018","8","91002","10","2","25021","14","2","25011","58"
"19","281001019","8","91002","10","2","25021","15","2","25011","60"
"20","281001020","8","91002","30","2","25021","15","2","25011","62"
"21","281001021","8","91002","10","2","25021","16","2","25011","68"
"22","281001022","8","91002","10","2","25021","16","2","25011","70"
"23","281001023","8","91002","10","2","25021","16","2","25011","72"
"24","281001024","8","91002","10","2","25021","17","2","25011","75"
"25","281001025","8","91002","10","2","25021","18","2","25011","77"
"26","281001026","8","91002","10","2","25021","18","2","25011","79"
"27","281001027","8","91002","10","2","25021","19","2","25011","82"
"28","281001028","8","91002","10","2","25021","19","2","25011","84"
"29","281001029","8","91002","10","2","25021","19","2","25011","86"
"30","281001030","8","91002","30","2","25021","20","2","25011","89"
