0f1c642b8798567162d7d70fe523f75c0536b46e76c9d2c5669d6f213cb9b8d6,975ef51cbed4c50e26b19fb44fb1da9d5de5fb6dbfc416436e756d15d36bb411,06df67bcc71ac5a13dc9f4c992aababe6b407b10330cf80d07890f952ec61981,2ec5c624df895792414ed2bc35ca84d15e5da47309598dfbabe81e3db8fc03e9,5a5d0f402401322dd2f270010326736637687d9935889831776b4995faae5192,60235cdf584a3af688364945f9252c565423626d4ca452391d91ab74ca9043d7,289c65ee0d46c0ebdb6812badafdd5f0eeee2e7eafd717dddc36db5f87458509,08b0fe39c4e9bae9bc71edbaeeba90b575ac9b72bb063bfb48ebd9a4fcbbb21a,c428d7e18e43f2a19be1e837353dcf46aedbf796bf94ae8556f0e61a5917aacb,14370d2b75df300c74216a17926512d31ebede61ffe5065f3519dc830a107160,606893d5c56cd9bb11e1597b8879f15f1140a1d22f44fc267957f462226011d3,ebb7f3371ad1ab46a8ac226425a18486bf9d920d789589eb9861d403a43a3aea
"進行1場戰鬥","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7003","31000101","10","31000101","1","0","1000","0"
"進行5場戰鬥","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7003","31000102","10","31000102","5","0","1000","0"
"進行10場戰鬥","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7003","31000103","10","31000103","10","0","1000","0"
"進行15場戰鬥","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7003","31000104","10","31000104","15","0","1000","0"
"進行20場戰鬥","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7003","31000105","10","31000105","20","0","1000","0"
"進行25場戰鬥","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7003","31000106","10","31000106","25","0","1000","0"
"進行30場戰鬥","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7003","31000107","10","31000107","30","0","1000","0"
"進行35場戰鬥","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7003","31000108","10","31000108","35","0","1000","0"
"進行40場戰鬥","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7003","31000109","10","31000109","40","0","1000","0"
"對黑之王賈巴沃克造成500萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001101","10","31001101","5000000","0","1001","3001"
"對黑之王賈巴沃克造成750萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001102","10","31001102","7500000","0","1001","3001"
"對黑之王賈巴沃克造成1000萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001103","10","31001103","10000000","0","1001","3001"
"在1場戰鬥中對黑之王賈巴沃克造成250萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31001111","11","31001111","1","2500000","1001","3001"
"在1場戰鬥中對黑之王賈巴沃克造成500萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31001112","11","31001112","1","5000000","1001","3001"
"對失控的純潔之弓造成500萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001201","20","31001201","5000000","0","1001","3002"
"對失控的純潔之弓造成750萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001202","20","31001202","7500000","0","1001","3002"
"對失控的純潔之弓造成1000萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001203","20","31001203","10000000","0","1001","3002"
"在1場戰鬥中對失控的純潔之弓造成250萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31001211","21","31001211","1","2500000","1001","3002"
"在1場戰鬥中對失控的純潔之弓造成500萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31001212","21","31001212","1","5000000","1001","3002"
"對幻影男爵造成500萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001301","30","31001301","5000000","0","1001","3003"
"對幻影男爵造成750萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001302","30","31001302","7500000","0","1001","3003"
"對幻影男爵造成1000萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001303","30","31001303","10000000","0","1001","3003"
"在1場戰鬥中對幻影男爵造成250萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31001311","31","31001311","1","2500000","1001","3003"
"在1場戰鬥中對幻影男爵造成500萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31001312","31","31001312","1","5000000","1001","3003"
"對天塔帕斯造成500萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001401","40","31001401","5000000","0","1001","3004"
"對天塔帕斯造成750萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001402","40","31001402","7500000","0","1001","3004"
"對天塔帕斯造成1000萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31001403","40","31001403","10000000","0","1001","3004"
"在1場戰鬥中對天塔帕斯造成250萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31001411","41","31001411","1","2500000","1001","3004"
"在1場戰鬥中對天塔帕斯造成500萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31001412","41","31001412","1","5000000","1001","3004"
"對豪紳造成500萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31002101","10","31002101","5000000","0","1002","3005"
"對豪紳造成750萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31002102","10","31002102","7500000","0","1002","3005"
"對豪紳造成1000萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31002103","10","31002103","10000000","0","1002","3005"
"對豪紳造成1億1000萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31002104","10","31002104","110000000","0","1002","3005"
"在1場戰鬥中對豪紳造成250萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31002111","11","31002111","1","2500000","1002","3005"
"在1場戰鬥中對豪紳造成500萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31002112","11","31002112","1","5000000","1002","3005"
"在1場戰鬥中對豪紳造成2200萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31002113","11","31002113","1","22000000","1002","3005"
"對阿爾瑪＆奧拉姆造成500萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31003101","10","31003101","5000000","0","1003","3006"
"對阿爾瑪＆奧拉姆造成750萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31003102","10","31003102","7500000","0","1003","3006"
"對阿爾瑪＆奧拉姆造成1000萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31003103","10","31003103","10000000","0","1003","3006"
"對阿爾瑪＆奧拉姆造成1億累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31003104","10","31003104","100000000","0","1003","3006"
"在1場戰鬥中對阿爾瑪＆奧拉姆造成250萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31003111","11","31003111","1","2500000","1003","3006"
"在1場戰鬥中對阿爾瑪＆奧拉姆造成500萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31003112","11","31003112","1","5000000","1003","3006"
"在1場戰鬥中對阿爾瑪＆奧拉姆造成2000萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31003113","11","31003113","1","20000000","1003","3006"
"對好朋友X＆無名的藝術造成500萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31003201","20","31003201","5000000","0","1003","3007"
"對好朋友X＆無名的藝術造成750萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31003202","20","31003202","7500000","0","1003","3007"
"對好朋友X＆無名的藝術造成1000萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31003203","20","31003203","10000000","0","1003","3007"
"對好朋友X＆無名的藝術造成1億2000萬累積傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7004","31003204","20","31003204","120000000","0","1003","3007"
"在1場戰鬥中對好朋友X＆無名的藝術造成250萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31003211","21","31003211","1","2500000","1003","3007"
"在1場戰鬥中對好朋友X＆無名的藝術造成500萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31003212","21","31003212","1","5000000","1003","3007"
"在1場戰鬥中對好朋友X＆無名的藝術造成2400萬傷害","2023/04/17 16:00:00","2023/04/24 15:59:59","3","7005","31003213","21","31003213","1","24000000","1003","3007"
