609bd08e48606615eb08a715d94a8a785bfb653ecd1271f2992cab7ba04c8b19,40f2250e1db89c45d6a7ffc4a26e7f74ce0139006a43e15fd445261d4145b4b8,96a19f111fba67775d71d7bd02abe58e385065a4f11da96266b75b72aae84102,ba6d9141a61c23923fb8a721afdb7670869897224a686ff42719c8e487402727,02204e54381cd9c708ca432cbe51fb088a4c6c728299e4fe8a05390561a0dab5,bc532e62c545d25ffbd00606aea06a5faf0f3eb1d724c7f6e332eca800abe876,f3948fadf6a3773c4fc58f4c2f0d8147642e4ed2c3d8bbf59fc5155e0f5994a7,6fe3baf99d223957c10c11ea701aca94e566dadd67802f8f0c65209c78facc36
"完成石像鬼（EASY）","111","110001","1","0","70000","90110001","110001"
"完成石像鬼（NORMAL）","112","110001","1","0","70000","90110002","110002"
"完成石像鬼（HARD）","113","110001","1","0","70000","90110003","110003"
"完成石像鬼（VERY HARD）","114","110001","1","0","70000","90110004","110004"
"完成石像鬼（EXTREME）","115","110001","1","0","70000","90110005","110005"
"完成法師石像鬼（EASY）","121","110001","1","0","70000","90120001","120001"
"完成法師石像鬼（NORMAL）","122","110001","1","0","70000","90120002","120002"
"完成法師石像鬼（HARD）","123","110001","1","0","70000","90120003","120003"
"完成法師石像鬼（VERY HARD）","124","110001","1","0","70000","90120004","120004"
"完成法師石像鬼（EXTREME）","125","110001","1","0","70000","90120005","120005"
"完成守衛石像鬼（EASY）","131","110001","1","0","70000","90130001","130001"
"完成守衛石像鬼（NORMAL）","132","110001","1","0","70000","90130002","130002"
"完成守衛石像鬼（HARD）","133","110001","1","0","70000","90130003","130003"
"完成守衛石像鬼（VERY HARD）","134","110001","1","0","70000","90130004","130004"
"完成守衛石像鬼（EXTREME）","135","110001","1","0","70000","90130005","130005"
"完成石像鬼‧炸裂（EASY）","141","110001","1","0","70000","90140001","140001"
"完成石像鬼‧炸裂（NORMAL）","142","110001","1","0","70000","90140002","140002"
"完成石像鬼‧炸裂（HARD）","143","110001","1","0","70000","90140003","140003"
"完成石像鬼‧炸裂（VERY HARD）","144","110001","1","0","70000","90140004","140004"
"完成石像鬼‧炸裂（EXTREME）","145","110001","1","0","70000","90140005","140005"
"完成石像鬼‧魔幻（EASY）","151","110001","1","0","70000","90150001","150001"
"完成石像鬼‧魔幻（NORMAL）","152","110001","1","0","70000","90150002","150002"
"完成石像鬼‧魔幻（HARD）","153","110001","1","0","70000","90150003","150003"
"完成石像鬼‧魔幻（VERY HARD）","154","110001","1","0","70000","90150004","150004"
"完成石像鬼‧魔幻（EXTREME）","155","110001","1","0","70000","90150005","150005"
