b5eadaf7519d65d804aa8368cfae88487bd5702d598887da449e77e895b3e76e,e692f76cb7b15dd4406e1dd23c01814b4b4d3672e330da47ea8b89c7a26ec61c,8344b430313ea8ac4c5a97138b6f2b868f76f71949242a297e940314a0f85641,e5a584762968af2dd221cfa86c1ce4e6e4fca312cf0b418db10a6c242a595fb4,04cf9062018655e06c095d17435fa7b549e0ac714abc73fb57bfad480fc1d365,f5b425288a32772bbcc3b94db4a718f8b5828624abead22b36947a4d099a9309,5cd683a99c6bb385df6b31d5375d4fac629f2fd494dc9da45611c8e20386a1fd,6b552235f0f968f974a9f3380b3c08583763320ace94e5661c4aefe706f6660a,6157183e4bbbc3b506ec026df219718830e7571887a70269d0edec70555562c4,c6006664e2aa7fbf2bfd4c5ca673ab977156f7acfff4d41d7ab6c91f0bba8219,ae185f5214f1de847953d5bcdec3a3e6613c228341b5ddeedb2175042a39a417,61170c47d345bd96c74c227c18a050bb0cb86676ecc4e867a05b41b33dc09c3b
"3","1","1","13","1","1","1","-1","100101","-1","1","100"
"4","1","1","15","1","1","1","-1","100201","-1","1","130"
"4","1","1","17","1","1","1","-1","100301","-1","1","160"
"4","1","1","19","1","1","1","120","100401","-1","1","180"
"4","1","1","19","1","1","1","-1","100402","-1","1","180"
"4","1","1","21","1","1","1","150","100501","-1","1","200"
"4","1","1","21","1","1","1","-1","100502","-1","1","200"
"5","1","1","23","1","1","1","180","100601","-1","1","220"
"5","1","1","23","1","1","1","-1","100602","-1","1","220"
"5","1","1","25","1","1","1","210","100701","-1","1","240"
"5","1","1","25","1","1","1","-1","100702","-1","1","240"
"5","1","1","27","1","1","1","240","100801","-1","1","260"
"5","1","1","27","1","1","1","-1","100802","-1","1","260"
"5","1","1","29","1","1","1","270","100901","-1","1","280"
"5","1","1","29","1","1","1","-1","100902","-1","1","280"
"6","1","1","32","1","1","1","300","101001","1","1","300"
"6","1","1","32","1","1","1","300","101002","-1","1","300"
"6","1","1","32","1","1","1","-1","101003","-1","1","300"
"5","1","1","32","1","1","1","300","101004","1","1","300"
"5","1","1","32","1","1","1","300","101005","-1","1","300"
"5","1","1","32","1","1","1","-1","101006","-1","1","300"
"6","1","1","32","1","1","1","300","101101","1","1","310"
"6","1","1","32","1","1","1","300","101102","-1","1","310"
"6","1","1","32","1","1","1","-1","101103","-1","1","310"
"5","1","1","32","1","1","1","300","101104","1","1","310"
"5","1","1","32","1","1","1","300","101105","-1","1","310"
"5","1","1","32","1","1","1","-1","101106","-1","1","310"
