4d9620729ec5df76aa4be95c3e126ebdb325d7315311d461b746b6d9fe9bcb32,a7034998a644ca224cd5d54c58cbb597029e8f5b32d4fe276cab1051221b4072,b32ba7ecd9c5cbf59daf0a7e6e8c4d21c0e3aec5f91f707af12116113dfd8f84,e452d68251d252a689a234f2206775a7191a6f73ddb1becb051bb2b5a3a67382
"100101","1001","21002","1000"
"100102","1001","21004","2000"
"100103","1001","21012","3500"
"100104","1001","20001","4500"
"100105","1001","21010","5000"
"100106","1001","20009","6300"
"100107","1001","21014","7000"
"100108","1001","20001","8500"
"100109","1001","20003","9550"
"100201","1002","20001","1700"
"100202","1002","20003","2650"
"100203","1002","21002","3150"
"100204","1002","20001","4600"
"100205","1002","21004","5200"
"100206","1002","21014","6150"
"100207","1002","21012","7700"
"100208","1002","20009","8500"
"100209","1002","21010","9200"
"100301","1003","21010","1150"
"100302","1003","21004","2200"
"100303","1003","20009","3500"
"100304","1003","20001","4650"
"100305","1003","20001","5650"
"100306","1003","21012","6600"
"100307","1003","21002","7150"
"100308","1003","21014","8150"
"100309","1003","20003","9650"
"100401","1004","21006","1000"
"100402","1004","21016","2000"
"100403","1004","21017","3000"
"100404","1004","21003","4000"
"100405","1004","21010","5000"
"100406","1004","21003","6000"
"100407","1004","21007","7000"
"100408","1004","21014","8000"
"100409","1004","21015","9000"
"100501","1005","21010","850"
"100502","1005","21016","1900"
"100503","1005","21015","2850"
"100504","1005","21007","3900"
"100505","1005","21003","4800"
"100506","1005","21014","5850"
"100507","1005","21017","6800"
"100508","1005","21006","7900"
"100509","1005","21003","8850"
"100601","1006","21016","900"
"100602","1006","21006","1800"
"100603","1006","21003","2800"
"100604","1006","21003","3850"
"100605","1006","21007","4850"
"100606","1006","21010","5900"
"100607","1006","21017","6850"
"100608","1006","21014","7800"
"100609","1006","21015","8900"
"100701","1007","20015","1150"
"100702","1007","20003","2550"
"100703","1007","20001","3500"
"100704","1007","20003","4550"
"100705","1007","20003","5550"
"100706","1007","20003","6550"
"100707","1007","21008","7000"
"100708","1007","21004","8000"
"100709","1007","21003","9000"
"100801","1008","21003","1100"
"100802","1008","20003","2650"
"100803","1008","20003","3750"
"100804","1008","20003","4750"
"100805","1008","20001","5700"
"100806","1008","21008","6200"
"100807","1008","20003","7650"
"100808","1008","21004","8100"
"100809","1008","20015","9300"
"100901","1009","20015","1300"
"100902","1009","21004","2200"
"100903","1009","20001","3600"
"100904","1009","20003","4700"
"100905","1009","20003","5700"
"100906","1009","21003","6150"
"100907","1009","21008","7150"
"100908","1009","20003","8700"
"100909","1009","20003","9750"
"101001","1010","21016","1000"
"101002","1010","21004","2000"
"101003","1010","21016","3000"
"101004","1010","21001","4000"
"101005","1010","20001","5500"
"101006","1010","21003","6000"
"101007","1010","21012","7500"
"101008","1010","20009","8300"
"101009","1010","21012","9500"
"101010","1010","20009","10300"
"101101","1011","21004","900"
"101102","1011","21001","1800"
"101103","1011","21016","2800"
"101104","1011","21012","4350"
"101105","1011","20009","5100"
"101106","1011","21012","6400"
"101107","1011","21016","6850"
"101108","1011","20009","8100"
"101109","1011","20001","9350"
"101110","1011","21003","9850"
"101201","1012","21016","800"
"101202","1012","20001","2400"
"101203","1012","20009","3200"
"101204","1012","21012","4300"
"101205","1012","20009","5150"
"101206","1012","21004","5850"
"101207","1012","21012","7300"
"101208","1012","21016","7850"
"101209","1012","21001","8900"
"101210","1012","21003","9800"
"101301","1013","21003","1000"
"101302","1013","21003","2000"
"101303","1013","21003","3000"
"101304","1013","20009","4300"
"101305","1013","20009","5300"
"101306","1013","20009","6300"
"101307","1013","21015","7000"
"101308","1013","21017","8000"
"101309","1013","21015","9000"
"101310","1013","21017","10000"
"101401","1014","21003","1100"
"101402","1014","20009","2400"
"101403","1014","21015","3200"
"101404","1014","21003","4150"
"101405","1014","21017","5200"
"101406","1014","21017","6200"
"101407","1014","20009","7400"
"101408","1014","20009","8450"
"101409","1014","21015","9150"
"101410","1014","21003","10150"
"101501","1015","20009","1500"
"101502","1015","21017","2200"
"101503","1015","21003","3150"
"101504","1015","21015","4200"
"101505","1015","21003","5100"
"101506","1015","20009","6450"
"101507","1015","21015","7150"
"101508","1015","21017","8200"
"101509","1015","21003","9200"
"101510","1015","20009","10400"
"101601","1016","20001","1500"
"101602","1016","20001","2500"
"101603","1016","20001","3500"
"101604","1016","21012","4500"
"101605","1016","20015","5150"
"101606","1016","21012","6500"
"101607","1016","21003","7000"
"101608","1016","21004","8000"
"101609","1016","21003","9000"
"101610","1016","21002","10000"
"101701","1017","21012","1350"
"101702","1017","21012","2350"
"101703","1017","20001","3350"
"101704","1017","20001","4400"
"101705","1017","20001","5300"
"101706","1017","21003","5850"
"101707","1017","21004","6900"
"101708","1017","20015","7950"
"101709","1017","21002","8900"
"101710","1017","21003","9850"
"101801","1018","20001","1400"
"101802","1018","21003","1900"
"101803","1018","21004","2800"
"101804","1018","20001","4300"
"101805","1018","21003","4900"
"101806","1018","21012","6400"
"101807","1018","21002","6800"
"101808","1018","20015","8000"
"101809","1018","20001","9300"
"101810","1018","21012","10300"
"101901","1019","21010","1000"
"101902","1019","21002","2000"
"101903","1019","21010","3000"
"101904","1019","21004","4000"
"101905","1019","21015","5000"
"101906","1019","21017","6000"
"101907","1019","21008","7000"
"101908","1019","21007","8000"
"101909","1019","21014","9000"
"101910","1019","21015","10000"
"102001","1020","21010","1200"
"102002","1020","21007","2150"
"102003","1020","21002","3100"
"102004","1020","21017","4200"
"102005","1020","21010","5100"
"102006","1020","21004","6150"
"102007","1020","21008","7100"
"102008","1020","21015","8100"
"102009","1020","21015","9100"
"102010","1020","21014","10150"
"102101","1021","21004","1150"
"102102","1021","21017","2100"
"102103","1021","21008","3200"
