7e262aa3166dec23a2e5a7a5001254fca11d3abebbfbca95f4ffe0f13f99ee03,314ed04e81d8575fc6acffa18d76794c5820bcdafa7ebfe33d8eed9a17310e77,3bc4f97e1a938f043b49a9f4adcb8a8102a7650b9377e42425c77055c0524dfd,dcd4aad1b959d385a91251651d6233afee93beae3543bfc34664deb72ada184a,12309b6f38821dec4fceb25e661799a984494309657f42b903b83df1601ff88c,c30aa771e5c6dfb7494f4ddb59dafa62aec53bc11b097330f0ed810d9270356a,50e06c5f810e343ab170dc00ecff159fd2c1b753acc94a3094bb28e13d7cbad1,806435d973cf4e24b7e4e72f39055f1e4cfdf95f8e77a498397dca4bb4322515,76f26d3d7d7e7115e3411825a1d68b51a8c3144077ed0375147a2e922fd1f7eb,9cc122fa8a65c6ab00b8d4e49b343dea00c821a8c17c4d5044fb237f638053d6
"102231","1","75000001","bgm_M301","0","-100","記憶領域第1層","0","bgm_M301","102231"
"81002102","1","75000002","bgm_M248","0","0","記憶領域第2層","0","bgm_M248_02","81002102"
"102241","1","75000003","bgm_M301","0","-100","記憶領域第3層","0","bgm_M301","102241"
"81002502","1","75000004","bgm_M268","0","0","記憶領域第4層","0","bgm_M268","81002502"
"102881","1","75000005","bgm_M502","0","-100","記憶領域第5層","0","bgm_M502","102881"
"81004602","1","75000006","bgm_M397","0","0","記憶領域第6層","0","bgm_M397","81004602"
"102871","1","75000007","bgm_M503","0","-100","記憶領域第7層","0","bgm_M503","102871"
"81009002","1","75000008","bgm_M577","0","0","記憶領域第8層","0","bgm_M577","81009002"
"102251","1","75000009","bgm_M301","0","-100","記憶領域第9層","0","bgm_M301","102251"
"102861","1","75000010","bgm_M505","0","-100","記憶領域第10層","0","bgm_M505","102861"
"81010002","1","75000011","bgm_M621","0","0","記憶領域第11層","0","bgm_M621","81010002"
"81000605","1","75000012","bgm_M504","0","-100","記憶領域第12層","0","bgm_M504","81000605"
