399855311c674ec2694463d5c655df19ee368e9665a738cda78a4f24eb61c4cc,4815afee37ee398a1e6682eb72b8253b2e6d86eece98c5304501f3c4ae8f00b3,99febe7f464df62ff81784ad96110e7fd05eb36b9c17bf6d0901f6ffb6f93835,5da99a8a567c0df5f87d3ed5f1d4cf98dcf09ff2f2fda5b935aa169c61b7df1e,be34394d62ae8ef816e140580af04c9c7128968d9c1fb86b93f31d0c76190307,863a487657563945e0f2b4ade60bcf6cb41e6b1a90a5a03ca3bb2ce29356fc07,d07ffde8be93e214bd587fa4f5cf49ebfa2c2528e2bfe4b0d99f08c85b4d9be1,07ee630a81fe9fede9c584d94b6fd595c330e1a32918a8a0365e507a86fbcf5e,2ca56f0fea446cc0c3ce998af44c0784056bfb4fdf9b5d552c124b4e79b1f9fc,184f9a7c9412dc27a8350798ab2149b4859997c61ef4a0dccd13c884731eb2e5,2ae74e39bac5dd1a933d14b2651caffd4d35455ec3d8e03a0000db15f50046a2,04c23bc2c9f360a46f2db3a805acec25124c8eb3f183da865dee6d45884a46ea,78f224a5df2a52bb880b3d63b4d0adc5af0a69056d78fa1bd44399f1376216cc,f9124156884779865020be9b2119886e1b08e752be5025c4d3da765eb182cc57,412b919abb00115a4011d6a913023d22c6104058f1842d45d44df4c17ade8b32,35e49c03cd6f902312c5f11ec5ece5d6fd522f3ebfa8c98e3a88b48ff234ac27,2ea1f13bafedf04d13b7e05075bc1722a0b3b3e667c5eb4483ec1f3dd0c1a30a,49a3136982fa68a6441d26102853c55841a269869f727345ff6359ca36f6fd85,68a503fda29d6151f861efcf0da09c6bb6930b8a42e3e6f94a2fb284376fcf94,89079ae315d61742acb72012018383bcc8270389baedcf5c167771ae2a3f840a,6dc1544e7f00690f8d3772f158a7b6fcd77508cc10725faf251d515154a14bde
"1","1","2","5000","1","30","5000","91002","0","0","1001","2","30","90006","31043","0","0","0","0","8","0"
"2","31","2","4500","1","100","4500","91002","0","0","1001","2","25","90006","31043","0","0","0","0","8","0"
"3","101","2","4000","1","300","4000","91002","0","0","1001","2","20","90006","31043","0","0","0","0","8","0"
"4","301","2","3500","1","1000","3500","91002","0","0","1001","2","18","90006","31043","0","0","0","0","8","0"
"5","1001","2","3000","1","2000","3000","91002","0","0","1001","2","16","90006","31043","0","0","0","0","8","0"
"6","2001","2","2000","1","5000","2000","91002","0","0","1001","2","14","90006","31043","0","0","0","0","8","0"
"7","5001","2","1500","1","10000","1500","91002","0","0","1001","2","12","90006","31043","0","0","0","0","8","0"
"8","10001","2","1000","1","20000","1000","91002","0","0","1001","2","10","90006","31043","0","0","0","0","8","0"
"9","20001","2","500","1","-1","500","91002","0","0","1001","2","5","90006","31043","0","0","0","0","8","0"
"10","1","2","5000","1","1","20000","91002","0","0","1002","2","30","90006","31022","0","0","0","0","8","0"
"11","2","2","5000","1","2","15000","91002","0","0","1002","2","30","90006","31022","0","0","0","0","8","0"
"12","3","2","5000","1","3","12000","91002","0","0","1002","2","30","90006","31022","0","0","0","0","8","0"
"13","4","2","5000","1","20","10000","91002","0","0","1002","2","30","90006","31022","0","0","0","0","8","0"
"14","21","2","4500","1","50","8000","91002","0","0","1002","2","25","90006","31022","0","0","0","0","8","0"
"15","51","2","4500","1","100","6000","91002","0","0","1002","2","25","90006","31022","0","0","0","0","8","0"
"16","101","2","4000","1","250","4000","91002","0","0","1002","2","20","90006","31022","0","0","0","0","8","0"
"17","251","2","3500","1","500","3500","91002","0","0","1002","2","18","90006","31022","0","0","0","0","8","0"
"18","501","2","3000","1","1000","3000","91002","0","0","1002","2","16","90006","31022","0","0","0","0","8","0"
"19","1001","2","2500","1","2000","2500","91002","0","0","1002","2","14","90006","31022","0","0","0","0","8","0"
"20","2001","2","2000","1","3000","2000","91002","0","0","1002","2","12","90006","31022","0","0","0","0","8","0"
"21","3001","2","1500","1","5000","1500","91002","0","0","1002","2","10","90006","31022","0","0","0","0","8","0"
"22","5001","2","1000","1","10000","1000","91002","0","0","1002","2","8","90006","31022","0","0","0","0","8","0"
"23","10001","2","500","1","-1","500","91002","0","0","1002","2","5","90006","31022","0","0","0","0","8","0"
"24","1","2","5000","1","1","20000","91002","0","0","1003","2","30","90006","31042","0","0","0","0","8","0"
"25","2","2","5000","1","2","15000","91002","0","0","1003","2","30","90006","31042","0","0","0","0","8","0"
