2ee36b009db87a1f0fe18c7bb2948d3ef753f4d303024afb6124c9aa6c7b3297,7175bf9004fdc71935f390011c61eb36db64b5a1fb5a18cf94e1e6004effa68c,baf2717976e37c179845691a775e2d1eba0f9e3f5ee65e8339a32f19f38b02b2
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","1","全角色 強化ＨＰ"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","2","全角色 強化物理攻擊力"
"[3C404E]所有角色的普通攻擊強化能力提升[-][FFBB00,CE4F00]20[-][3C404E][-]","3","全角色 強化普通攻擊"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","4","全角色 強化魔法攻擊力"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","5","全角色 強化物理防禦力"
"[3C404E]所有角色的恢復強化能力提升[-][FFBB00,CE4F00]10[-][3C404E][-]","6","全角色 強化恢復"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","7","全角色 強化魔法防禦力"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","8","全角色 強化物理暴擊率"
"[3C404E]所有角色的狀態異常命中能力提升[-][FFBB00,CE4F00]20[-][3C404E][-]","9","全角色 強化狀態異常命中"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","10","全角色 強化魔法暴擊率"
"[3C404E]挑戰開始時，可以多持有[-][FFBB00,CE4F00]1000[-][3C404E]始源盧幣出發[-]","11","增加挑戰開始時的始源盧幣"
"[3C404E]所有角色的物理暴擊傷害提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","12","全角色 強化物理暴擊傷害"
"[3C404E]所有角色的增益強化能力提升[-][FFBB00,CE4F00]10[-][3C404E]（※目標的強化效果與職階專精共通）[-]","13","全角色 強化增益"
"[3C404E]所有角色的魔法暴擊傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","14","全角色 強化魔法暴擊傷害"
"[3C404E]所有角色物理造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","15","全角色 強化物理造成的傷害"
