52e09dabfea4c54f6e5a77996f82a50b8760bb06f4f63b7d40a5375d37a562c2,09b3139764a52870dbce46f4fb6384efd0d0e57c0773690234e27af3c11f608c,1dc534c2f83445143fff6461d520728cb1536fe940807d185ab652171e1c22fa,fe9c7dad6772a1e60a3b6e0881c3a33229827bea1658ea19e1dca1d613b3383d,fd87c802e785636d018b551a3f296f9e6a406b0589b464373cf33b9095d7c7eb,cb6a388eb8a8744a39cb678e473a4fb9ca52ae33ab19f51347ea0b6ae0dc1673,eeac60f919ef50f5311cb555ed7f231fa4e80c07d5c52ffb825c6e23d349ded1,c6f2aa51df510e1c3af84962270abd327629a5762e7ebeaff6f1f34ecc135f2c,0da7559560683e0edbf8a29ebaec14ad75a4ba5ae785d3af840b6297429751c8,ef6908e37a57cc7fcb667bed0f78c79ae82b93cdfffee6a292839c9797a3ac7c,ba86ab9fa72315ed6ab0c001aad09728455297cc932e05ebbe664315e93c2180,1d0c1f3db660fbd0eb7b4802cf6ee48e57a4afa0092613f840b2f2655dd14b9e
"0","0","0","0","0","1","0","0","0","0","0","0"
"0","2","0","1","0","11002","1","800","0","0","3","0"
"0","1","0","1","0","12001","1","500","0","0","1","0"
"0","1","0","1","0","12002","1","700","0","0","1","0"
"0","2","0","1","0","13001","1","600","0","0","1","0"
"0","2","0","1","0","13002","1","700","0","0","1","0"
"0","2","0","1","0","14002","1","600","0","0","1","0"
"0","2","0","2","0","21001","1","900","0","0","3","0"
"0","0","0","8000","0","22001","2","0","0","0","0","0"
"0","1","0","5","1","23001","3","1","0","0","99","0"
"0","1","0","7","1","23002","3","1","0","0","99","0"
"0","4","0","0","1","25001","5","3","0","0","0","0"
"0","1","0","0","0","25002","5","0","0","0","0","1"
"0","4","0","1","1","25003","5","3","0","0","0","0"
"0","1","0","1","0","25004","5","0","0","0","0","1"
"0","0","0","76","0","26001","6","37","0","0","0","40"
"0","0","0","2","0","27001","7","1","0","0","0","1"
"0","0","0","3","0","27002","7","1","0","0","0","1"
"0","0","0","0","0","28001","8","0","0","0","0","0"
