5afd05b74d0077f1b243353590b6648a7f8a876f52d5f213d19c6f87aa2bdaf7,53bbcc9305040c5c426703cd5fac994e52228b6f12e6ab63dd05856cd07101d2,cc12403af1a2214450995d7b6678427b03be6977da6c68fe100c40f5ce5a4543,99a26b23b4ba023936c4dd313b725c8590f98695fc60ceab3ab2816e39a54248,d08704ecf62deb536528e2b13d285e2b9f78cc31523af149d7fdd193111339e2,441f84a4538079dfa0773dc76f91983bbd07565a79e01df15461d6e3de13411d,ad091eb3f489899be36d7fd84d247ebfaeaca18808d8b82519ff3b9284a37f46,1e6784e02d3fa125ef3b7984e5554b92afcb35507b9791ec1cd4fe223a93f7eb,ede949b62fd79bc56fe7c26d3ff0c36d24f840bda3aac2ed2f7802f78ccb15df,14a757f71a53328e5910a3d890085b382fd40c4256465d177b6e2ec05f8ece71,c70d64abda28ddd6465359fc91e79d1bb3c20042b7d19934ac2d1fe41c8157d6,af4d54adc04047db23af7d6b5ab75fdc0338370de9eb407ce3f95720ea79c946,8ad015a8a8d83e618f9bf1241a901204f0176c7373d3a66bdae4375e614479b4,7359745bfcbd15102e9c040d4ac1b7c4d8b6bf27b76214b9db8a7d0045bfbd7f,385ce4c4aa9204b5583299ca45ed55e3aa75adf8542b52b3907779634f9f2d20,1b7a6f0622061ee4b3c2a8b2a7d4285eea4038c5779d4d617372b1bae8b449f8
"破曉之星","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","東山奈央","最愛幫助別人！　正向思考的格鬥少女","獸人族","0","日和","27","155","助人、打氣加油","A","2","8","100101","16"
"破曉之星","47","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","種田梨沙","擅長支援戰鬥，心地善良的少女","人族","0","優衣","5","158","料理、觀察人類","O","2","4","100201","17"
"破曉之星","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","早見沙織","冷酷又率直的劍士","魔族","0","怜","12","163","讀書、騎馬、茶","B","2","1","100301","18"
"小小甜心","27","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","諸星すみれ","愛好冒險的搗蛋鬼","人族","0","禊","10","128","惡作劇、探險","O","5","8","100401","9"
"王宮騎士團","40","？？？","下田麻美","仰慕英雄的見習騎士少女","獸人族","0","茉莉","25","146","英雄扮演遊戲","O","8","11","100501","12"
"惡魔偽王國軍","42","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","浅倉杏美","愛撒嬌又受大家喜歡","魔族","0","茜里","22","150","薩克斯風","O","7","11","100601","13"
"惡魔偽王國軍","32","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","雨宮天","最愛布丁的幽靈少女","魔族","0","宮子","23","130","吃布丁","B","7","1","100701","14"
"純白之翼 蘭德索爾分部","40","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","大空直美","我比任何人都還要美麗","精靈族","0","雪","10","150","欣賞鏡中的自己","AB","15","10","100801","14"
"暮光流星群","45","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","髙野麻美","相信前世的中二病患「疾風之冥姬」","魔族","0","杏奈","5","159","寫小說","A","13","7","100901","17"
"哞哞自衛隊","42","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","内田真礼","真步真步王國的公主","獸人族","0","真步","22","155","幻想、蒐集玩偶","O","10","9","101001","16"
"拉比林斯","44","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","阿澄佳奈","親人又多話的妹系少女","人族","0","璃乃","25","156","裁縫","A","3","8","101101","15"
"森林守衛","46","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","大橋彩香","為了大家使用超能力的睡美人","精靈族","0","初音","24","156","和妹妹一起玩、回籠覺、午睡、早睡","A","6","12","101201","17"
"暮光流星群","55","","佳村はるか","宅宅暴走的魔法少女","魔族","0","七七香","21","166","讀書、魔法","O","13","8","101301","18"
"哞哞自衛隊","41","test","水瀬いのり","頭腦聰明的美少女名偵探","獸人族","0","霞","3","152","讀書、推理","AB","10","11","101401","15"
"森林守衛","54","test","國府田マリ子","充滿母性又溫柔，大家的「美里老師」","精靈族","0","美里","5","165","製作繪本","O","6","9","101501","21"
"月光學院","48","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","上坂すみれ","天真浪漫的人氣超級名模","魔族","0","鈴奈","10","167","時尚","O","14","4","101601","18"
"哞哞自衛隊","53","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","高森奈津美","隨時都「船到橋頭自然直」的天真少女","獸人族","0","香織","7","158","跳舞、空手道","A","10","7","101701","19"
"月光學院","52","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","伊藤静","魅惑眾多男性的純潔女老師","魔族","0","伊緒","14","162","看戀愛小說、戀愛劇、戀愛漫畫","B","14","8","101801","23"
"小小甜心","21","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","日高里菜","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","獸人族","0","美美","3","117","蒐集可愛的東西","O","5","4","102001","10"
"咲戀育幼院","40","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","植田佳奈","愛哭又膽小，令人想去保護的女孩","人族","0","胡桃","9","150","看戲、扮家家酒","B","9","6","102101","12"
"惡魔偽王國軍","40","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","原紗友里","怕生的任性女孩","魔族","0","依里","22","150","所有遊戲","O","7","11","102201","13"
"咲戀育幼院","38","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","芹澤優","永遠跟噗吉在一起！","人族","0","綾音","10","148","能在房間裡玩的遊戲","B","9","5","102301","14"
