75945b9040d8760767abf40afc2bac06ba9c13ebda5630437db0253a10e80280,a837f5e725562d70c2201408819c4a259fbcc2ff9314f90051b8919cc7fdb1a7,db91d76becb268c2d39614df137f752ed96eb1cc1df379f2a882f566b30b2d56,b1b88780643685da5c1dabf41827e4b934f671d19e3e85786b54f71a2ef86ed4,f69d4834f99dcc7b08b2b7f247a3d5506b4d7cc19d88b0ffcb65de5826557e8e,38db7da939a821c3869b9e7dd033538fa13687baa2f765fa1ba7bf1d50c156f1,6a26a17ce7b39408a47450db4659b678f2d93ab12afa1805a2fb463c9909eb30,3a6f1e6291576e0ecf7b10300ccb0f033da16e4741f7932dcd5c855734860f1f
"1000001","2030-04-01 14:00:00","0","2020-06-22 16:00:00","13","準備了各式各樣的\n小遊戲哦！\n要遊玩哪個小遊戲呢？","190801","1000"
"1000002","2030-04-01 14:00:00","0","2020-06-22 16:00:00","13","介紹你有趣的小遊戲！\n你要遊玩哪個\n小遊戲呢？","190801","1000"
"1001001","2030-04-01 14:00:00","0","2020-06-22 16:00:00","13","這個賣\n{0}盧幣！\n請務必購買\n遊玩哦！","190801","1001"
"1002001","2030-04-01 14:00:00","0","2020-06-22 16:00:00","12","請點擊動來動去的愛心！\n來幫忙\n靜流和惠理子\n製作巧克力蛋糕吧！","190801","1002"
"1003001","2030-04-01 14:00:00","0","2020-06-22 16:00:00","11","請拉空花，\n讓她飛得越遠越好吧！\n利用各種事件讓空花\n得到絕頂體驗吧！","190801","1003"
"1004001","2030-04-01 14:00:00","0","2020-06-22 16:00:00","3","點擊左邊右邊，\n打倒奄美魔物吧！\n釋放！\n琉球犬大迴旋踢擊！","190801","1004"
"1005001","2030-04-01 14:00:00","0","2020-06-22 16:00:00","7","要不要點擊面板，\n和龍族巢穴的大家一起\n進行接龍對決？\n用韻腳把字詞連接起來吧！","190801","1005"
"1006001","2030-04-01 14:00:00","0","2020-09-01 16:00:00","2","配合老鼠靈敏的動作，\n點擊擊退牠吧！\n和充滿幹勁的鈴一起\n保護重要的起司吧！","190801","1006"
"1007001","2030-04-01 14:00:00","0","2021-01-06 16:00:00","4","這是美里與社員們的\n打擊特訓喔！\n以全壘打為目標，\n看準擊球時機把球打出去吧。","190801","1007"
"1008001","2030-04-01 14:00:00","0","2022-01-03 16:00:00","6","使用慈樂之音代幣\n來獲得加油道具吧！\n代幣可以用盧幣來交換喔。\n","190801","1008"
"1009001","2030-04-01 14:00:00","0","2022-04-25 16:00:00","13","試著在布丁筆記本中確認\n吃掉的布丁吧！\n布丁的材料可以使用\n盧幣購買喔。","190801","1009"
"1010001","2030-04-01 14:00:00","0","2022-08-01 16:00:00","4","小隊一起來挑戰謎題看看吧！\n看是要單獨試試自己的實力，還是要和多\n位夥伴一起遊玩，請選擇\n喜歡的模式吧♪","190801","1010"
"1011001","2030-04-01 14:00:00","0","2022-11-25 16:00:00","6","在3個回合內盡情奔馳，\n以綜合排名第１名為目標吧！\n各參加角色與GP的特徵，\n也是值得注目喔♪","190801","1011"
"1012001","2030-04-01 14:00:00","0","2024-01-17 16:00:00","6","跟凱留同學、鈴奈同學一起\n用猜謎來學習吧！\n放學後兩個人單獨待在教室……\n總覺得很令人怦然心動呢♪","190801","1012"
"1013001","2030-04-01 14:00:00","0","2024-08-15 16:00:00","6","開始行軍，出發討伐魔物！\n惠理子小姐和真琴小姐她們\n那可靠的背影，\n真是令新兵們十分景仰呢♪","190801","1013"
"1014001","2030-04-01 14:00:00","0","2025-03-15 16:00:00","6","跟蠻賊三姊妹一起\n挑戰戰車戰鬥！\n依照零件跟成員不同的搭配組合\n機器的特徵也會改變唷♪","190801","1014"
