7e949f6846d7605dfaae69cf32717a1d0a966582024dface80f739bb8541f6d0,a3af6a5e8299ec87ba979468c10059808c35a8e84fbd592763dab27ff00f133d,7efaa55e3062a8d26d9839df90c93339cb18d395705391c29349c966a5873b7a,884fd268c19c56f7ab6b04f45094d928c9c246f3e5c444e2bd9d84e18036e01d,fff2ad7ce7f6dcd6419e53246a1d867d49d56cbca34af78be670ef9bb3d57758,c5a33fe9ee132223195f0cb1d0b0f1c953c732da0e57b51d0a4db0aab8a02ed2,50ca44a1516df4e95f6aa3a3347b227d8e71c0e229bd5c88ee77026764f80aa9,6066a2dd5a1b31f1585b934f9107754e8e2b4baf45134e2cb8de748b39334d07,e93861edc92970c23f0e41fb512ef4360204107221b4a35183a57af5bb4a3727,9bac9fff1fb2ee54140c77add84a29a281c1dfe91510290e980c2b7c592dab10,28a86cbfbb47c5f335b530b277f38c425f6cf52e7b934bf8ce1e9e7ef60804b5,8965f1683f2c713669ebf72447cc6eca628864b7a74c1ee620efea7cebc4d83a
"4","101","0","0","2","0","1","11041","0","0","104","1"
"2","201","0","0","3","0","2","10141","0","1","14","2"
"2","301","0","0","2","0","3","11031","0","2","103","3"
"1","401","0","0","1","0","4","11021","0","3","102","4"
"4","501","0","0","2","0","5","11041","0","4","104","5"
"1","601","0","0","3","0","6","10011","0","5","1","6"
"3","701","0","0","4","0","7","11011","0","6","101","7"
"1","801","0","0","3","0","8","11001","0","7","100","8"
"4","901","0","0","2","0","9","11041","0","8","104","9"
"2","1001","0","0","3","0","10","10011","0","9","1","10"
"1","1101","0","0","4","0","11","10511","0","10","51","11"
"2","1201","0","0","3","0","12","10521","0","11","52","12"
"4","1301","0","0","2","0","13","11041","0","12","104","13"
"1","1401","0","0","1","0","14","11031","0","13","103","14"
"1","1501","0","0","2","0","15","11021","0","14","102","15"
"1","1601","0","0","3","0","16","10011","0","15","1","16"
"4","1701","0","0","2","0","17","11041","0","16","104","17"
"2","1801","0","0","3","0","18","10501","0","17","50","18"
"3","1901","0","0","4","0","19","11011","0","18","101","19"
"2","2001","0","0","3","0","20","11001","0","19","100","20"
"4","2101","0","0","2","0","21","11041","0","20","104","21"
"3","2201","0","0","1","0","22","10011","0","21","1","22"
"2","2301","0","0","3","0","23","11001","0","22","100","23"
"2","2401","0","0","2","0","24","11011","0","23","101","24"
"4","2501","0","0","3","0","25","11041","0","24","104","25"
"3","2601","0","0","4","0","26","10501","0","25","50","26"
"3","2701","0","0","3","0","27","10521","0","26","52","27"
"1","2801","0","0","1","0","28","10501","0","27","50","28"
"4","2901","0","0","2","0","29","11041","0","28","104","29"
"3","3001","0","0","1","0","30","10511","0","29","51","30"
"2","3101","0","0","2","0","31","11001","0","30","100","31"
"1","3201","0","0","3","0","32","11011","0","31","101","32"
"4","3301","0","0","4","0","33","11041","0","32","104","33"
"3","3401","0","0","3","0","34","11001","0","33","100","34"
"4","3501","0","0","2","0","35","11041","0","34","104","35"
"2","3601","0","0","3","0","36","11031","0","35","103","36"
"1","3701","0","0","2","0","37","11021","0","36","102","37"
"2","3801","0","0","1","0","38","10501","0","37","50","38"
"3","3901","0","0","3","0","39","11021","0","38","102","39"
"4","4001","0","0","4","0","40","11041","0","39","104","40"
"1","4101","0","0","3","0","41","11001","0","40","100","41"
"3","4201","0","0","2","0","42","10521","0","41","52","42"
"4","4301","0","0","1","0","43","11041","0","42","104","43"
"1","4401","0","0","2","0","44","11031","0","43","103","44"
"4","4501","0","0","1","0","45","11041","0","44","104","45"
"3","4601","0","0","3","0","46","11011","0","45","101","46"
"1","4701","0","0","4","0","47","11021","0","46","102","47"
"4","4801","0","0","2","0","48","11041","0","47","104","48"
"2","4901","0","0","3","0","49","11031","0","48","103","49"
"4","5001","0","0","2","0","50","11041","0","49","104","50"
"2","5101","0","0","1","0","51","11011","0","50","101","51"
"3","5201","0","0","2","0","52","11021","0","51","102","52"
"4","5301","0","0","3","0","53","11041","0","52","104","53"
"1","5401","0","0","4","0","54","10521","0","53","52","54"
"3","5501","0","0","3","0","55","11031","0","54","103","55"
"4","5601","0","0","4","0","56","11041","0","55","104","56"
"1","5701","0","0","2","0","57","11001","0","56","100","57"
"3","5801","0","0","3","0","58","11011","0","57","101","58"
"2","5901","0","0","4","0","59","11031","0","58","103","59"
"4","6001","0","0","3","0","60","11041","0","59","104","60"
"1","6101","0","0","1","0","61","11021","0","60","102","61"
"3","6201","0","0","2","0","62","10501","0","61","50","62"
"4","6301","0","0","1","0","63","11041","0","62","104","63"
"2","6401","0","0","2","0","64","11031","0","63","103","64"
"1","6501","0","0","3","0","65","11021","0","64","102","65"
"4","6601","0","0","2","0","66","11041","0","65","104","66"
"1","6701","0","0","3","0","67","10521","0","66","52","67"
"2","6801","0","0","2","0","68","11021","0","67","102","68"
"4","6901","0","0","4","0","69","11041","0","68","104","69"
"2","7001","0","0","3","0","70","11031","0","69","103","70"
"3","7101","0","0","2","0","71","11011","0","70","101","71"
"2","7201","0","0","3","0","72","11001","0","71","100","72"
"4","7301","0","0","1","0","73","11041","0","72","104","73"
"1","7401","0","0","1","0","74","11031","0","73","103","74"
"3","7501","0","0","3","0","75","11021","0","74","102","75"
"1","7601","0","0","4","0","76","10501","0","75","50","76"
"4","7701","0","0","3","0","77","11041","0","76","104","77"
"2","7801","0","0","2","0","78","11011","0","77","101","78"
"3","7901","0","0","3","0","79","11001","0","78","100","79"
"4","8001","0","0","2","0","80","11041","0","79","104","80"
"3","8101","0","0","1","0","81","10521","0","80","52","81"
