401e14ec1570b49ba9ab3c3e4055b047610bf5c250c5b2f20042a0f205bc57d3,37e68b85b530881e1a577f9d7de876c6cd7fee51f2a3c9b64ec9e1669054f937,749da3b3788c11d86d589b343d0d8e695d67baa2c83d558700f49bb5c7c86a8f,c315f2b34207b4c6d849f035b8e1755893050fc09c8d71987f22a1b0ce6e8507,5c7bdfa22f7fed07461d63cc92a814dae019a79463d17e8f988ab272b8330924,4183fb2a81cb6efb7308f85f046ec3c0cde72bd733211e86be8b265586bbfe60,f31f3b6135e6c78e5ef61398b5b4ac2502e80004c9fdb3e6eed6ad67e74f02b0,f40824fba229b8c73674b72fb208e92069951fb8e49f9ee6c4eb2e9b21942200,981a5d78af90a89fac4d886e27f5d1f7ebb854f348ff2709f164691dd504f256,c790f4a41239e834c2d53e3fc00697ed423d0a07cc4ab5587f173984b107d75a
"10001","0","0","2019/08/01 15:59:59","0","0","2018/01/01 15:00:00","0","0","0"
"10002","1","1001","2020/02/14 15:59:59","1001","0","2019/08/01 16:00:00","1001","1","0"
"10003","1","0","2020/08/03 15:59:59","1001","0","2020/02/14 16:00:00","0","1","0"
"10004","1","1002","2020/08/31 23:59:59","1001","0","2020/08/03 16:00:00","1002","1","1002"
"10005","2","1002","2020/08/31 23:59:59","1002","2015009","2020/08/03 16:00:00","1002","2","1002"
"10006","1","0","2021/02/09 04:59:59","1001","0","2020/09/01","0","1","0"
"10007","2","0","2021/02/09 04:59:59","1002","2015009","2020/09/01","0","2","0"
"10008","1","0","2021/02/26 04:59:59","1001","0","2021/02/09 05:00:00","0","1","1003"
"10009","2","0","2021/02/26 04:59:59","1002","2015009","2021/02/09 05:00:00","0","2","1003"
"10010","1","0","2021/08/01 04:59:59","1001","0","2021/02/26 04:59:59","0","1","0"
"10011","2","0","2021/08/01 04:59:59","1002","2015009","2021/02/26 04:59:59","0","2","0"
"10012","1","1003","2021/08/31 23:59:59","1001","0","2021/08/01 05:00:00","1003","1","1004"
"10013","2","1003","2021/08/31 23:59:59","1002","2015009","2021/08/01 05:00:00","1003","2","1004"
"10014","1","0","2023/08/01 04:59:59","1001","0","2021/09/01","0","1","0"
"10015","2","0","2023/08/01 04:59:59","1002","2015009","2021/09/01","0","2","0"
"10028","1","1005","2023/08/31 23:59:59","1001","0","2023/08/01 05:00:00","1005","1","1008"
"10029","2","1005","2023/08/31 23:59:59","1002","2015009","2023/08/01 05:00:00","1005","2","1008"
"10030","1","0","2030/08/15 14:59:59","1001","0","2023/09/01","0","1","0"
"10031","2","0","2030/08/15 14:59:59","1002","2015009","2023/09/01","0","2","0"
