b6fc80ce3fe5797afcf93a46e48480486cf84c06a5bb2a6ff0a14bbfdf24eb02,5d7698e80017d7200b0d36e5e4ec85bd73d052ac69feaa913f2a5a4b7f62a896,9577f9338357996a04741fe808f6fe33bfcfde98abe77fa1b23e305263b9c0e2,fce9e37ac19e1b6fb2041773246fedaeca233bb93a97fbd4a4cb18c92c3f4ec9,331e780e3cd7da8c914492c8afc5b8616035140bebb0f478edf17801448c6b1d,ae510348a8918cae16e5567d9642c19532d5dac059d0da991a6a9f53fbef14c5,4828672f1cfcae4819bb039cb2e49a5fbd3244efeea7f0cc58727340ac17858c,763558d2e0f43a344786111b0ea22e8d7b00db44f8973d9ed38dfc33fc61ef0a,ba1c93f37a63cf2e7be4fa82707fa972085b3bc697df7c826107e0ca06761ba4,e334469c87e2cd22534f2e6ccece452bb9a767fe2d7990d93f7aeab9419f302f,df973ef562e131de80a62657ab58753d4f34ab92563e9d7475f833b689e19893,24bd855dd177c7a7c68fd6e90c74212837d08012694358e07718e21069f1036e,7cf1c43ebdea4a7732be1ea0d8b8abb012cf009e3070298f36997624f29e74bc,c8293bfac24a105190855dd62138e68a89b50843b344cc77ab2a996ec014f73c,6dce926eb75044fa4306ccd134ed7897d67b5360ccc9aa11a9925ba7f764ff8a,98b9612e456e665e3da139a3a1129fc288021111957d68030f922c673f3e3f24,886ee66dd14ecb76562531ec3529b13d2cd7cb17fb8e9b5d780434d54c155e1b,027f7647c83c27e45cbe8ac9659be62ab07d3cd2ca1f278803d805c8f5956513,ecf04da701a9af333aa9fe8112e6cea3f8ce20aea713dfc2049bfc978a1b8e11,b1b3c2a50f1b8e0f8df7df0d41b7e4ae93aeb0c9c0f0720f737ca6490209cf52,0fdf9bd0a18eefaa4db7afcb559b5efd02d09186bee1b86c55d33a12c11768e4
"NONE","SpeedTerritoryA","BeachJumpOverTrap","0","AccelBoardA","0","NONE","0","0","1800","0","SummerEnemyA","SummerEnemyC","1000","NONE","600","3100","NONE","2500","NONE","1000"
"NONE","WaterMelon","AccelBoardA","0","AccelBoardA","0","NONE","0","0","1300","0","SummerEnemyB","SpeedTerritoryA","800","NONE","500","3000","NONE","2000","NONE","1001"
"NONE","EnemyB_NoColl","BeachTrap_NoCall","0","SummerEnemyA_NoColl","0","NONE","0","0","1300","0","Balloon","SpeedTerritoryA_NoColl","1000","NONE","400","2000","NONE","1600","NONE","1002"
"NONE","BeachJumpOverTrap","AccelBoardA","0","AccelBoardA","0","NONE","0","0","2300","0","BeachJumpOverTrap","EnemyB","1500","NONE","700","3300","NONE","3000","NONE","1003"
"NONE","SpeedTerritoryA","NONE","0","SummerEnemyA","0","NONE","0","0","1900","0","BeachJumpOverTrap","BeachJumpOverTrap","1300","NONE","800","0","NONE","2700","NONE","1004"
"NONE","AccelBoardA","SummerEnemyB","0","SummerJumpOverEnemyC","0","NONE","0","0","2000","0","BeachJumpBoard","SpeedTerritoryA","1500","NONE","300","3300","NONE","2600","NONE","1005"
"NONE","BeachJumpOverTrap","AccelBoardA","0","BeachTrap","0","NONE","3700","0","1800","0","SummerEnemyA","BeachTrap","1300","NONE","700","3000","BeachTrap","2500","NONE","1006"
"NONE","SummerEnemyB","BeachJumpOverTrap","0","SummerEnemyB","0","NONE","0","0","1800","0","AccelBoardA","BeachJumpOverTrap","1300","NONE","500","3100","NONE","2400","NONE","1007"
"NONE","AccelBoardA","BeachJumpOverTrap","0","BeachJumpBoard","0","NONE","3700","0","2300","0","AccelBoardA","SummerEnemyB","1100","NONE","500","3400","SummerEnemyB","2700","NONE","1008"
"NONE","BeachJumpOverTrap","BeachJumpOverTrap","0","BeachTrap_NoCall","0","NONE","3700","0","2000","0","Balloon","SummerEnemyA_NoColl","1000","NONE","400","3300","SpeedTerritoryA","2900","NONE","1009"
"NONE","EnemyB","BeachJumpOverTrap","0","SpeedTerritoryA","0","NONE","0","0","2200","0","BeachJumpOverTrap","BeachJumpOverTrap","1400","NONE","400","3500","NONE","3000","NONE","1010"
"NONE","BeachJumpOverTrap","SummerEnemyA","0","SpeedTerritoryA","0","NONE","3300","0","1500","0","SummerEnemyD","BeachJumpBoard","900","NONE","400","2800","AccelBoardA","2400","NONE","1011"
"NONE","BeachJumpBoard","EnemyB","0","SpeedTerritoryA_NoColl","0","NONE","0","0","2200","0","Balloon","SpeedTerritoryA_NoColl","1200","NONE","300","3750","NONE","2850","NONE","1012"
"NONE","SummerEnemyD","BeachTrap","0","AccelBoardA","0","NONE","0","0","2100","0","SpeedTerritoryA","BeachTrap","1400","NONE","900","3300","NONE","2600","NONE","1013"
"NONE","SummerJumpOverEnemyB","BeachJumpOverTrap","0","SpeedTerritoryA","0","SummerJumpOverEnemyB","3000","0","1800","3500","WaterMelon","BeachTrap","1400","NONE","400","2600","AccelBoardA","2200","NONE","1014"
"NONE","BeachTrap_NoCall","SummerEnemyB","0","SummerEnemyA_NoColl","0","NONE","0","0","1900","0","Balloon","SpeedTerritoryA_NoColl","1100","NONE","600","3700","NONE","2500","NONE","1015"
"NONE","BeachTrap","NONE","0","EnemyB","0","NONE","0","0","2300","0","AccelBoardA","AccelBoardA","1400","NONE","600","0","NONE","3300","NONE","1016"
"NONE","AccelBoardA","BeachTrap","0","EnemyB","0","NONE","0","0","1600","0","AccelBoardA","WaterMelon","1200","NONE","400","3300","NONE","2500","NONE","1017"
"NONE","EnemyB_NoColl","SummerEnemyA_NoColl","0","BeachTrap","0","NONE","2900","0","1100","0","BeachTrap","Balloon","900","NONE","600","2400","EnemyB_NoColl","1900","NONE","1018"
"NONE","SummerEnemyA","AccelBoardA","0","BeachTrap","0","NONE","3800","0","2000","0","BeachTrap","BeachTrap","1200","NONE","500","3000","BeachTrap","2500","NONE","1019"
"NONE","BeachTrap","BeachTrap","0","BeachJumpBoard","0","SummerEnemyD","3100","0","1900","3700","AccelBoardA","BeachTrap","900","NONE","400","2700","SummerEnemyD","2300","NONE","1020"
"NONE","BeachTrap_NoCall","AccelBoardA","0","Balloon","0","NONE","0","0","1550","0","EnemyB","SummerEnemyA_NoColl","700","NONE","400","3400","NONE","2400","NONE","1021"
"NONE","AccelBoardA","SpeedTerritoryA","0","BeachTrap","0","NONE","0","0","1800","0","SummerEnemyB","BeachTrap","1200","NONE","800","3400","NONE","2500","NONE","1022"
