0e3de9641c7fc6d1242e90ab52ba71dcdd9632f52d363f371dd43a5563709eea,02fb1ac20d19710dca1045c07d07165730c20a653353e57f79bc784339d0d0ef,d0efd454de454d68d3ff30d0cdc985c167ce7385d7b178f66bee0742e29686f1,dc808f0215585e26ab05f68232786b080223326e683b279a9a2860674ddaf458,3305b8f896739c04bf2ba885e1b8958307cc9a40ac1c139ead8598f23570c503,c2eda6288d002665548482e6263f71c1e56a017c04dde0eb6aff2ede0316c2ae
"1","803100263","2146041","3001","212","211"
"1","803100263","2146042","3002","212","211"
"1","803100263","2146043","3003","212","211"
"1","803100263","2146044","3004","212","211"
"1","803100272","2147041","3006","212","213"
"1","803100272","2147042","3007","212","213"
"1","803100253","2145039","30011","313","202"
"0","803100253","2145040","30012","302","105"
"1","803100256","2145069","30021","311","204"
"1","803100256","2145070","30022","312","205"
"1","803100259","2145099","30031","310","212"
"0","803100259","2145100","30032","301","107"
"0","803100262","2146039","30041","307","110"
"0","803100262","2146040","30042","302","105"
"1","803100267","2146081","30051","314","203"
"1","803100269","2147019","30061","312","205"
"0","803100269","2147020","30062","303","106"
"1","803100271","2147039","30071","313","202"
"1","803100271","2147040","30072","310","212"
"0","803100251","2145011","300101","100","104"
"0","803100251","2145012","300102","100","104"
"0","803100251","2145013","300103","102","105"
"0","803100251","2145014","300104","100","104"
"0","803100251","2145015","300105","102","105"
"0","803100251","2145016","300106","103","106"
"0","803100251","2145017","300107","102","105"
"0","803100251","2145018","300108","103","106"
"1","803100251","2145019","300109","111","204"
"0","803100251","2145020","300110","100","104"
"0","803100252","2145021","300111","100","104"
"0","803100252","2145022","300112","102","105"
"0","803100252","2145023","300113","100","104"
"0","803100252","2145024","300114","102","105"
"0","803100252","2145025","300115","103","106"
"0","803100252","2145026","300116","102","105"
"0","803100252","2145027","300117","103","106"
"1","803100252","2145028","300118","111","204"
"0","803100252","2145029","300119","100","104"
"0","803100252","2145030","300120","100","104"
"0","803100253","2145031","300121","102","105"
"0","803100253","2145032","300122","100","104"
"0","803100253","2145033","300123","102","105"
"1","803100253","2145034","300124","112","208"
"1","803100253","2145035","300125","110","212"
"0","803100253","2145036","300126","100","104"
"0","803100253","2145037","300127","102","105"
"0","803100253","2145038","300128","103","106"
"0","803100254","2145041","300201","101","107"
"0","803100254","2145042","300202","101","107"
"0","803100254","2145043","300203","102","105"
"0","803100254","2145044","300204","103","106"
"1","803100254","2145045","300205","113","202"
"1","803100254","2145046","300206","114","203"
"0","803100254","2145047","300207","101","107"
"1","803100254","2145048","300208","113","202"
"1","803100254","2145049","300209","114","203"
"0","803100254","2145050","300210","101","107"
"0","803100255","2145051","300211","101","107"
"0","803100255","2145052","300212","102","105"
"0","803100255","2145053","300213","103","106"
"1","803100255","2145054","300214","113","202"
"1","803100255","2145055","300215","114","203"
"0","803100255","2145056","300216","101","107"
"1","803100255","2145057","300217","113","202"
"1","803100255","2145058","300218","114","203"
"0","803100255","2145059","300219","101","107"
"0","803100255","2145060","300220","101","107"
"0","803100256","2145061","300221","102","105"
"0","803100256","2145062","300222","103","106"
"0","803100256","2145063","300223","101","107"
