9b64d91b7a68842dffb848aa6413050339f3d98f52996909a443a5bf118c188c,14dc7d858406d8e35cbc5f655d79bd5add1fb8b74785ab8bf7bd0628b0c919a9,0eb603fbfb89e7854f474d68006a2be4096602eafc96396f784439deb98bd761,18ee720ed07487f76c1f494bea75394a265a85d393ea8ec979d8cd7cb85b7b6b,18527060db14e1345f15d093e684835c6a9b819b4c204d8544086cf15b56ac89,6b12e131b1cdfb0dfa4e4af32e9e97bb12253a08d798eb280bef49884fcf4ba9,3bb558619867c96822827ceb4eab60b241a98fbcd298524a6b08a2c18981f4fd,6edada3f08bc019892839d2d50b7d3d7784316867d991ad40548ac33e22c2d9c,60761375bd0f22c6b8191eb5849627b965aa85fd16ae172f29be26817acae4c2,0fe3cee09bd6fe3c8cab488f9ee89f78bcd3ebebc5563a576aefb648c58aa23d,6fc75d3dd17939fd85e5f305666fababe34842d7a1d9201c7c4fa36ea2fb8e35,8292fd5d95a46ac980445e3a99ead29035f19f1a2c83d0a1f5e2b0c7c6045b86
"5154062","0","1","0","0","0","4","0","0","1","0.8","515406201"
"5154062","0","0","0","vo_abd","0","2","0","vo_abd_0101","2","0","515406202"
"5154062","300","0","0","0","2","1","1","0","3","0","515406203"
"5154062","0","1","0","0","0","4","0","0","4","2.1","515406204"
"5154062","0","0","0","vo_abd","0","2","0","vo_abd_0102","5","0","515406205"
"5154062","400","0","0","0","2.05","1","2","0","6","0","515406206"
"5154062","0","1","0","0","0","4","0","0","7","3.2","515406207"
"5154062","0","0","0","vo_abd","0","2","0","vo_abd_0103","8","0","515406208"
"5154062","60","0","0","0","1","1","3","0","9","0","515406209"
"5154062","0","1","0","0","0","4","0","0","10","1.4","515406210"
"5154062","430","0","60","0","2.5","1","3","0","11","0","515406211"
"5154062","0","1","0","0","0","4","0","0","12","3.3","515406212"
"5154062","0","0","0","vo_abd","0","2","0","vo_abd_0104","13","0","515406213"
"5154062","39","0","0","0","0.2","1","4","0","14","0","515406214"
"5154062","0","1","0","0","0","4","0","0","15","0.5","515406215"
