53161a16080baed38fe8c8911dccccd5a5bf3cdd35ea1aa1e74481dd93f17702,bd89d37a75b24c518879f3c3f305fad1ae6d16dcea4ef0269337d9a7f0478378,2aa2071b7cd07e576311e56cd549f17186f0e7d17cfddff9a3540723debdf34c,5773857c8b0abbe24937bdc3d97ed5dca1e512c0944bca2681cf822150f4e4ec,44caaa52a62b937a5c2e959fb62c42a98365289520e1def4093b7c1bca17a0b9,dfaa364334ec9543284c42a99a4449cd4153a64edb2abdf8b4e21cdb4d7a9b67,30b48d1b58ea2f6b016e3169beabbfb8ac42fcf56e37986a1e896b55907d975e,7a0412b8fcef6f3b34022580885f2be68792fb2506e55bf68b1f604229bf5b4d
"1","0","10101020","3050100","0","1","24","1"
"2","0","0","4010200","0","1","24","2"
"3","0","10401020","3030200","0","1","24","3"
"4","0","10401020","3050200","0","1","24","4"
"5","0","10401020","3040200","0","1","24","5"
"6","0","10401020","3020200","0","1","24","6"
"7","0","0","4010300","0","1","24","7"
"8","0","10101020","3030100","0","1","24","101"
"9","0","0","3010201","0","1","24","102"
"10","0","0","3020201","0","1","24","103"
"11","0","0","3010301","0","1","24","104"
"12","0","0","3030301","0","1","24","105"
"13","0","0","3040301","0","1","24","106"
"14","0","0","3050301","0","1","24","107"
"15","0","0","3020301","0","1","24","108"
"16","0","10401050","3030300","0","1","24","109"
"17","0","10401050","3040300","0","1","24","110"
"18","0","10401050","3050300","0","1","24","111"
"19","0","10401050","3020300","0","1","24","112"
"20","0","10101020","3010100","0","1","24","201"
"21","0","10101020","3020100","0","1","24","202"
"22","0","10101020","3030100","0","1","24","203"
"23","0","10101020","3040100","0","1","24","204"
"24","0","10101020","3050100","0","1","24","205"
"25","0","10101020","3010200","0","1","24","206"
"26","0","10101020","3020200","0","1","24","207"
"27","0","10101020","3030200","0","1","24","208"
"28","0","10101020","3040200","0","1","24","209"
"29","0","10101020","3050200","0","1","24","210"
"30","112","0","1010301","0","1","24","401"
"31","203","0","1020301","0","1","24","402"
"32","306","0","1030301","0","1","24","403"
"33","401","0","1040301","0","1","24","404"
"34","508","0","1050301","0","1","24","405"
"35","209","20101050","1020301","0","1","24","406"
"36","306","20101050","1030301","0","1","24","407"
"37","407","20101050","1040301","0","1","24","408"
"38","501","20101050","1050301","0","1","24","409"
"39","0","0","0","11001337","1","15","600"
"40","0","0","0","91002","150","8","600"
"41","0","0","0","11001338","1","15","700"
"42","0","0","0","91002","150","8","799"
"43","0","0","0","11001339","1","15","800"
"44","0","0","0","0","1","24","999"
