434f266d59f7cc3c34ab242293e4c3c88c7082169c3f0060b5acb3d14a3f21e9,77d733cd5437682efd2ca2085b652c20fba001edf00a929030c91cbc36e9d699,74f45354f0700e88661ec8f432ce742a6fc8ef346608586803974f8ea47b90a3,e76ea56672572a0701f81df5d50e6e7140230b630f4dea33154b66c6a866a389,95d8ae39eeed22cb18651fed38da192abe75aa9f15846a5c849e2bfca9e8ce1e,b563e02498d284ae51f9d6d4298dddb5b9622c64c50a7ce7128d7ce8d24d06b4,dee62227be113916d8e66fe3fff3f9a3422481c317d556e2b97615f3a2ca0b3c
"1","1","1","0","1","0","1"
"4","2","1","0","2","0","1"
"5","1","1","12","3","0","1"
"2","2","1","0","4","0","1"
"8","1","1","0","5","0","2"
"1","1","2","0","1","0","1"
"1","2","2","0","2","0","1"
"6","1","2","0","3","0","1"
"1","2","2","0","4","0","1"
"1","3","2","0","5","0","1"
"3","1","2","11","6","0","3"
"1","2","2","0","7","0","1"
"3","1","2","0","8","0","1"
"1","1","2","0","9","0","2"
"1","1","3","0","1","0","1"
"10","2","3","0","2","0","1"
"11","1","3","0","3","0","1"
"5","2","3","0","4","0","1"
"6","3","3","0","5","0","1"
"3","3","3","0","6","0","1"
"3","4","3","9","7","0","2"
"7","4","3","0","8","0","1"
"1","4","3","0","9","0","1"
"9","1","3","8","10","0","3"
"4","2","3","0","11","0","1"
"1","1","3","0","12","0","1"
"3","4","3","0","13","0","1"
"3","3","3","11","14","0","2"
"4","1","4","10","1","0","1"
"12","1","4","12","2","0","1"
"1","2","4","10","3","0","1"
"11","1","4","4","4","0","1"
"1","2","4","0","5","0","1"
"4","1","4","13","6","0","1"
"2","2","4","6","7","0","1"
"8","1","4","0","8","0","1"
"8","2","4","10","9","0","1"
"1","1","5","10","1","0","1"
"11","2","5","5","2","0","1"
"1","1","5","7","3","0","1"
"5","2","5","12","4","0","1"
"1","1","5","11","5","0","1"
"3","2","5","4","6","0","1"
"5","2","5","12","7","0","1"
"2","1","5","6","8","0","1"
"11","2","5","4","9","0","1"
"8","1","5","8","10","0","1"
"4","1","5","10","11","0","1"
"5","2","5","10","12","0","1"
"8","1","6","7","1","0","1"
"4","2","6","10","2","0","1"
"1","1","6","11","3","0","1"
"8","2","6","8","4","0","1"
"11","1","6","6","5","0","1"
"2","1","6","7","6","0","2"
"5","1","6","4","7","0","1"
"4","2","6","10","8","0","1"
"10","1","6","13","9","0","2"
"8","1","7","7","1","0","1"
"12","2","7","10","2","0","1"
"4","2","7","12","3","0","1"
"11","1","7","7","4","0","1"
"1","1","7","10","5","0","1"
"5","2","7","12","6","0","1"
"5","2","7","11","7","0","1"
"8","2","7","10","8","0","1"
"2","1","7","8","9","0","1"
"8","1","7","7","10","0","1"
"4","2","7","9","11","0","1"
"1","1","8","10","1","0","2"
