taq_no,genre,taq_type,difficulty,word,chunk,detail,detail_2,assist_detail,image_id,char_no_1,char_no_2,char_no_3,char_no_4,char_no_5,input_type_1,input_type_2,input_type_3,input_type_4,input_type_5
"1001","1","1","1","พุดดิ้งล่","","สิ่งนี้เรียกว่าอะไร?","คำพูดสุดโปรดของ [มิยาโกะ]\nและเป็นท่า UB ด้วย","จับทำพุดดิ้งล่ะ","1001","พุ","ด","ดิ้","ง","ล่","7","7","7","7","7"
"1008","1","1","1","แนด์ซพ","แลนด์โซลคัพ","สิ่งนี้เรียกว่าอะไร?","กิจกรรมที่จัดขึ้นทุก 6 เดือน เพื่อทายตัวละครที่วิ่งเข้าเส้นชัยเป็นอันดับแรกจาก 4 คน","แลนด์โซลคัพ","0","แ","น","ด์","ซ","พ","7","7","7","7","7"
"1010","1","1","1","ลชทมพ","สแลชเทมเพสต์","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [เรย์ (6★)] ระบำดาบดุจดังพายุ","สแลชเทมเพสต์","0","ล","ช","ท","ม","พ","7","7","7","7","7"
"1011","1","1","2","ลฮคิงอ","เมลเฮนคิงด้อม","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [มาโฮะ (6★)]\nอาณาจักรมาโฮะมาโฮะ อยู่ที่นี่รึเปล่านะ?","เมลเฮนคิงด้อม","0","ล","ฮ","คิ","ง","อ","7","7","7","7","7"
"1012","1","1","2","ชูตมีทีร์","ชูตติ้ง☆มีทีเออร์","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [ฮาสึเนะ (6★)]\nดาวตกที่สว่างไสวพาดผ่านท้องฟ้ายามค่ำคืน","ชูตติ้ง☆มีทีเออร์","0","ชู","ต","มี","ที","ร์","7","7","7","7","7"
"1013","1","1","2","ะลิเอร์","นานากะ ∞ กลิตเตอร์~","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [นานากะ (6★)] เวทมนต์ที่ไม่มีใครเหมือน","นานากะ ∞ กลิตเตอร์~","0","ะ","ลิ","เ","อ","ร์","7","7","7","7","7"
"1014","1","1","1","คริมินัล","","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [คาสึมิ] กรงเวทมนต์กักขังคนร้าย","คริมินัลพริซัน","0","ค","ริ","มิ","นั","ล","7","7","7","7","7"
"1015","1","1","2","ร์ลิซคน","ฮาร์ตเลิฟไซโคลน","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [อิโอะ (6★)]\nพายุหมุนแห่งเสน่ห์ที่แม้แต่ศัตรูยังต้องหลงใหล","ฮาร์ตเลิฟไซโคลน","0","ร์","ลิ","ซ","ค","น","7","7","7","7","7"
"1016","1","1","2","โวลูชั่น","","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [มิมิ (6★)]\nโดดดึ๋งสู่การเปลี่ยนแปลงครั้งใหญ่","คุณกระต่ายเรโวลูชั่น","0","โ","ว","ลู","ชั่","น","7","7","7","7","7"
"1017","1","1","2","จัดมท์ว","จัดจ์เมนท์จาเวลิน","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [โยริ (6★)]\nหอกสายฟ้าแห่งคำตัดสินที่ตัดผ่านฟากฟ้า","จัดจ์เมนท์จาเวลิน","0","จั","ด","ม","ท์","ว","7","7","7","7","7"
"1018","1","1","2","เด์ฟินิก","เอนด์ ออฟ ฟินิกส์","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [ซาเร็น (6★)]\nปีกแห่งฟินิกส์ นำพาสู่จุดจบ","เอนด์ ออฟ ฟินิกส์","0","เ","ด์","ฟิ","นิ","ก","7","7","7","7","7"
"1019","1","1","2","ลิซธคบิ","อลิซาเบธคอมบิเนชั่น","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [มาฮิรุ (6★)]\nการโจมตีอันทรงพลังพร้อมคู่หู","อลิซาเบธคอมบิเนชั่น","0","ลิ","ซ","ธ","ค","บิ","7","7","7","7","7"
"1020","1","1","2","อมลูพน็","คอสโมบลูแพลเน็ต","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [เคียวกะ (6★)]\nจักรวาลสีครามที่กลืนกินทุกสิ่ง","คอสโมบลูแพลเน็ต","0","อ","ม","ลู","พ","น็","7","7","7","7","7"
"1021","1","1","2","อท็สรีม","วอร์เท็กซ์สตรีม","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [มิฟุยุ (6★)]\nสายน้ำอันแหลมคมที่ทะลวงศัตรู","วอร์เท็กซ์สตรีม","0","อ","ท็","ส","รี","ม","7","7","7","7","7"
"1022","1","1","1","ดบั้หวค์","ดาบสะบั้นหอคอยสวรรค์","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [มุอิมิ] [จงออกมา .......!]","ดาบสะบั้นหอคอยสวรรค์","0","ด","บั้","ห","ว","ค์","7","7","7","7","7"
"1023","1","1","1","นัเบวล","นัมเบอร์สอวาลอน","สิ่งนี้เรียกว่าอะไร?","ท่า UB ของ [คริสทีน่า] [ปาร์ตี้เริ่มขึ้นแล้ว......!]","นัมเบอร์สอวาลอน","0","นั","เ","บ","ว","ล","7","7","7","7","7"
"1067","1","2","2","หลบหนี","","สิ่งนี้เรียกว่าอะไร?","ในการปีนเขาเป็นเส้นทางที่ใช้ในการเปลี่ยนแผนและลงจากภูเขา","เส้นทางหลบหนี","0","ห","ล","บ","ห","นี","7","7","7","7","7"
"1068","1","2","3","Crans","Crampons","สิ่งนี้เรียกว่าอะไร?","อุปกรณ์สวมใส่รองเท้าเพื่อเพิ่มความยึดเกาะบนพื้นผิวน้ำแข็งหรือหิมะ มีลักษณะเป็นแผ่นเหล็กที่มีหนามแหลมยื่นออกมา","Crampons","0","C","r","a","n","s","2","3","3","3","3"
"1070","1","2","1","เดินป่า","","สิ่งนี้เรียกว่าอะไร?","กิจกรรมที่คุณสามารถเดินเล่น พร้อมเพลิดเพลินกับธรรมชาติและทิวทัศน์โดยใช้อุปกรณ์เพียงเล็กน้อย","การเดินป่า","0","เ","ดิ","น","ป่","า","7","7","7","7","7"
"1071","1","2","2","พิชิตยอ","","สิ่งนี้เรียกว่าอะไร?","รูปแบบการปีนเขาเมื่อปีนเขาโดยมีเป้าหมายเพื่อให้ถึงยอดเขา","การพิชิตยอดเขา","0","พิ","ชิ","ต","ย","อ","7","7","7","7","7"
"1075","1","2","1","Bผีเสื้อ","Butterfly = ผีเสื้อ","สิ่งนี้เรียกว่าอะไร?","ท่าว่ายน้ำที่เคลื่อนไหวทั้งแขนและขาสองข้างพร้อมกัน คล้ายกับการเคลื่อนไหวของสัตว์บางชนิด","Butterfly = ผีเสื้อ","0","B","ผี","เ","สื้","อ","2","7","7","7","7"
"1076","1","2","1","Cเคิร์ล","Curling = เคิร์ลลิ่ง","สิ่งนี้เรียกว่าอะไร?","กีฬาฤดูหนาวที่ต้องใช้กลยุทธ์สูง จนได้ฉายาว่า\n[หมากรุกบนน้ำแข็ง]","Curling = เคิร์ลลิ่ง","0","C","เ","คิ","ร์","ล","2","7","7","7","7"
"1077","1","2","1","ศกรีฑา","","สิ่งนี้เรียกว่าอะไร?","การแข่งขันกีฬาประเภทหนึ่งที่รวมเอาการแข่งขันกรีฑา 10 รายการมาไว้ในคนเดียว","ทศกรีฑา","0","ศ","ก","รี","ฑ","า","7","7","7","7","7"
"1078","1","2","1","รเชียง","","สิ่งนี้เรียกว่าอะไร?","ท่าว่ายน้ำที่นอนหงายแล้วว่ายในลักษณะเคลื่อนที่ไปด้านหลัง ","Backstroke = กรรเชียง","0","ร","เ","ชี","ย","ง","7","7","7","7","7"
"1079","1","2","1","สไตรค์","","สิ่งนี้เรียกว่าอะไร?","หนึ่งในการตัดสินในกีฬาเบสบอล หากประกาศสามครั้งจะถือเป็นการเอาท์","สไตรค์","0","ส","ไ","ต","ร","ค์","7","7","7","7","7"
"1080","1","2","1","ลํ้าหน้า","","สิ่งนี้เรียกว่าอะไร?","กฎในกีฬาฟุตบอลที่ถูกสร้างขึ้นเพื่อห้ามไม่ให้ผู้เล่นไปรอรับบอลในเขตของฝ่ายตรงข้าม","ลํ้าหน้า","0","ลํ้","า","ห","น้","า","7","7","7","7","7"
"1081","1","2","1","Alley","","สิ่งนี้เรียกว่าอะไร?","รูปแบบการเล่นบาสเก็ตบอล ที่จ่ายบอลกลางอากาศแล้วยิงโดยไม่ต้องตกพื้น","Alley-oop","0","A","l","l","e","y","2","3","3","3","3"
"1082","1","2","1","Winni","","สิ่งนี้เรียกว่าอะไร?","ลูกที่ถูกตีหรือทำได้ในจังหวะสำคัญ ซึ่งเป็นลูกที่นำไปสู่การชนะเกมนั้นๆ","Winning Shot","0","W","i","n","n","i","2","3","3","3","3"
"1083","1","2","1","Duดังค์","Dunk = ดังค์","สิ่งนี้เรียกว่าอะไร?","การเล่นบาสเก็ตบอลโดยการจับลูกบาสยัดลงไปในห่วงระยะประชิด","Dunk = ดังค์","0","D","u","ดั","ง","ค์","2","3","7","7","7"
"1085","1","2","1","สตาร์ท","","สิ่งนี้เรียกว่าอะไร?","การเริ่มต้นการแข่งขันกีฬาทางน้ำหรือวิ่ง โดยการงอตัวลงต่ำและก้มตัวลงมากก่อนที่จะออกตัว","สตาร์ทแบบหมอบ","0","ส","ต","า","ร์","ท","7","7","7","7","7"
"1086","1","2","3","กระดา","","สิ่งนี้เรียกว่าอะไร?","ชื่อเรียกอย่างเป็นทางการของแผ่นที่ใช้เหยียบเพื่อกระโดด","กระดานกระโดด","0","ก","ร","ะ","ด","า","7","7","7","7","7"
"1095","1","2","2","าโลมา","","สิ่งนี้เรียกว่าอะไร?","ท่าว่ายน้ำที่ไม่กางขาออกจากกัน แต่เคลื่อนไหวขาทั้งสองข้างพร้อมกัน คล้ายการว่ายน้ำของสัตว์ชนิดหนึ่ง","ท่าโลมา","0","า","โ","ล","ม","า","7","7","7","7","7"
