id,training_id,mode,phase,map_data_id
"1","1038","0","1","150"
"2","1038","0","2","151"
"3","1038","0","3","152"
"4","1038","0","4","153"
"5","1038","0","5","154"
"6","1039","0","1","156"
"7","1039","0","2","157"
"8","1039","0","3","158"
"9","1039","0","4","159"
"10","1039","0","5","160"
"11","1040","0","1","162"
"12","1040","0","2","163"
"13","1040","0","3","164"
"14","1040","0","4","165"
"15","1040","0","5","166"
"16","1041","0","1","168"
"17","1041","0","2","169"
"18","1041","0","3","170"
"19","1041","0","4","171"
"20","1041","0","5","172"
