id,type,description
"101","1","คุณสามารถสนุกไปกับเนื้อเรื่องพิเศษในเนื้อเรื่องเสริมได้\nเนื้อเรื่องกิจกรรมจะปลดล็อกเมื่อเล่นเควสต์กิจกรรม"
"201","2","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"301","3","เมื่อท้าทายเควสต์กิจกรรมหรือบอส จะมีเรื่องราวระดับความเชื่อใจ\nปรากฏขึ้น ระดับความเชื่อใจจะเพิ่มขึ้นตามผลการสนทนา\nคุณจะได้รับรางวัลเมื่อเพิ่มถึงระดับความเชื่อใจที่กำหนด"
"20005","4","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20007","5","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20009","6","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20010","7","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20011","8","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20013","9","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20015","10","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20016","11","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20018","12","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20020","13","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20021","14","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20022","15","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
"20025","16","หากทำภารกิจสำเร็จจะมีตัวละครให้ปลดล็อก\nมาตั้งเป้าเคลียร์\nภารกิจกันเถอะ"
