enemy_id,name,child_enemy_parameter_1,child_enemy_parameter_2,child_enemy_parameter_3,child_enemy_parameter_4,child_enemy_parameter_5
"401021505","ทวินพิกส์ สเตจ 1","401021506","401021507","0","0","0"
"401021905","กลัตตอน สเตจ 1","401021906","401021907","401021908","0","0"
"401022105","ซาจิทาเรียส สเตจ 1","401022106","401022107","0","0","0"
"401022305","อควาเรียส 1 stage","401022306","401022307","0","0","0"
"401025905","กลัตตอน สเตจ 1 โหมดเดี่ยว","401025906","401025907","401025908","0","0"
"401026105","ซาจิทาเรียส สเตจ 1 โหมดเดี่ยว","401026106","401026107","0","0","0"
"401026305","อควาเรียส 1 stage Single mode","401026306","401026307","0","0","0"
"401031505","ทวินพิกส์ สเตจ 2","401031506","401031507","0","0","0"
"401031905","กลัตตอน สเตจ 2","401031906","401031907","401031908","0","0"
"401032105","ซาจิทาเรียส สเตจ 2","401032106","401032107","0","0","0"
"401032305","อควาเรียส 2 stage","401032306","401032307","0","0","0"
"401035905","กลัตตอน สเตจ 2 โหมดเดี่ยว","401035906","401035907","401035908","0","0"
"401036105","ซาจิทาเรียส สเตจ 2 โหมดเดี่ยว","401036106","401036107","0","0","0"
"401036305","อควาเรียส 2 stage Single mode","401036306","401036307","0","0","0"
"401041505","ทวินพิกส์ สเตจ 3","401041506","401041507","0","0","0"
"401041905","กลัตตอน สเตจ 3","401041906","401041907","401041908","0","0"
"401042105","ซาจิทาเรียส สเตจ 3","401042106","401042107","0","0","0"
"401042305","อควาเรียส 3 stage","401042306","401042307","0","0","0"
"401045905","กลัตตอน สเตจ 3 โหมดเดี่ยว","401045906","401045907","401045908","0","0"
"401046105","ซาจิทาเรียส สเตจ 3 โหมดเดี่ยว","401046106","401046107","0","0","0"
"401046305","อควาเรียส 3 stage Single mode","401046306","401046307","0","0","0"
"401304104","ไทรร็อกเกอร์ สเตจ 1","401304106","401304107","401304108","0","0"
"401304204","ไทรร็อกเกอร์ สเตจ 2","401304206","401304207","401304208","0","0"
"401304304","ไทรร็อกเกอร์ สเตจ 3","401304306","401304307","401304308","0","0"
"401304404","ไทรร็อกเกอร์ สเตจ 4","401304406","401304407","401304408","0","0"
"401304504","ไทรร็อกเกอร์ สเตจ 1 Single Mode","401304506","401304507","401304508","0","0"
"401304604","ไทรร็อกเกอร์ สเตจ 2 Single Mode","401304606","401304607","401304608","0","0"
"401304704","ไทรร็อกเกอร์ สเตจ 3 Single Mode","401304706","401304707","401304708","0","0"
"401305105","ทวินพิกส์ สเตจ 1","401305106","401305107","0","0","0"
