action_id,class_id,action_type,action_detail_1,action_detail_2,action_detail_3,action_value_1,action_value_2,action_value_3,action_value_4,action_value_5,action_value_6,action_value_7,target_assignment,target_area,target_range,target_type,target_number,target_count,description,level_up_disp
"100100101","1","1","1","0","0","30","30","2.4","0","0","0","0","1","1","-1","3","0","1","ดาเมจกายภาพ {0} แก่ศัตรูตนเดียว","ดาเมจกายภาพตนเดียว +{0}"
"100100102","1","3","3","0","0","50","0","500","0","0","0","0","1","1","-1","3","0","99","",""
"100100103","1","1","1","0","0","13.5","13.5","1.08","0","0","0","0","1","2","400","3","0","99","ดาเมจกายภาพ {0} แก่ศัตรูทุกตนในขอบเขต","ดาเมจกายภาพในขอบเขต +{0}"
"100100201","1","1","1","0","0","20","20","1.6","0","0","0","0","1","1","-1","3","0","1","ดาเมจกายภาพ {0} แก่ศัตรูตนเดียว","ดาเมจกายภาพ +{0}"
"100100301","1","1","1","0","0","8","8","0.6","0","0","0","0","1","1","0","1","0","1","ดาเมจกายภาพ {0} แก่ศัตรูตนเดียว","ดาเมจกายภาพ +{0}"
"100100302","1","10","10","1","0","1","11","11","12","0","0","1","2","1","0","7","0","1","เพิ่มพลังโจมตีกายภาพของตนเอง {0}","เพิ่มพลังโจมตีกายภาพ +{0}"
"100101101","1","1","1","0","0","60","60","4.8","0","0","0","0","1","1","-1","3","0","1","ดาเมจกายภาพ {0} แก่ศัตรูตนเดียว","ดาเมจกายภาพตนเดียว +{0}"
"100101102","1","1","1","0","0","45","45","3.6","0","0","0","0","1","2","600","3","0","99","ดาเมจกายภาพ {0} แก่ศัตรูทุกตนในขอบเขต","ดาเมจกายภาพในขอบเขต +{0}"
"100101201","1","1","1","0","0","20","20","1.6","0","0","0","0","1","1","-1","3","0","1","ดาเมจกายภาพ {0} แก่ศัตรูตนเดียว","ดาเมจกายภาพตนเดียว +{0}"
"100101202","1","1","1","0","0","9","9","0.72","0","0","0","0","1","2","400","3","0","99","ดาเมจกายภาพ {0} แก่ศัตรูทุกตนในขอบเขต","ดาเมจกายภาพในขอบเขต +{0}"
"100150101","1","90","2","0","0","1","15","15","1","0","0","0","0","0","0","0","0","0","เพิ่มพลังโจมตีกายภาพของตนเอง {0}","เพิ่มพลังโจมตีกายภาพ +{0}"
"100151101","1","90","2","0","0","1","240","15","1","0","0","0","0","0","0","0","0","0","เพิ่มพลังโจมตีกายภาพของตนเอง {0}","เพิ่มพลังโจมตีกายภาพ +{0}"
"100200101","1","4","2","0","0","1","6","6","0.45","0","0","0","2","3","2160","3","0","99","ฟื้นฟู HP {0} ให้เพื่อนทั้งหมด","ฟื้นฟู HP +{0}"
