id,name,name_group,score_from,score_to
"1","ลูกเจี๊ยบ","1","0","26999"
"2","เด็กน้อย","1","0","26999"
"3","ปลาจิ๋ว","1","0","26999"
"4","บีกินเนอร์รันเนอร์","3","0","26999"
"5","ทารก","1","0","26999"
"6","เบบี้","1","0","26999"
"7","ตัวน้อย","1","0","26999"
"8","มือใหม่","1","0","26999"
"9","มือสมัครเล่น","1","0","26999"
"10","ปลาตัวน้อย","1","27000","33999"
"11","ผู้เริ่มต้น","1","27000","33999"
"12","เอนจอยรันเนอร์","3","27000","33999"
"13","รุ่นใหม่","1","27000","33999"
"14","รุกกี้","1","27000","33999"
"15","สาวน้อย","1","27000","33999"
"16","ดาวรุ่ง","1","27000","33999"
"17","เพชรเม็ดงาม","1","27000","33999"
"18","นิวโฮป","2","27000","33999"
"19","จอมบุกเบิก","1","34000","50399"
"20","จอมก่อกวน","1","34000","50399"
"21","ทายาท","1","34000","50399"
"22","อัจฉริยะ","1","34000","50399"
"23","แนวหน้า","1","34000","50399"
"24","ธิดากิเลน","1","34000","50399"
"25","โฮป","1","34000","50399"
"26","ดาวรุ่งพุ่งแรง","1","34000","50399"
"27","โดดเด่น","1","34000","50399"
"28","เงือกสาว","1","50400","59999"
"29","รุ่นใหญ่","1","50400","59999"
"30","รุ่นกลาง","1","50400","59999"
"31","นักชิงธงชายหาด","3","50400","59999"
"32","ปลา","1","50400","59999"
"33","หัวหน้า","1","50400","59999"
"34","กัปตัน","1","50400","59999"
"35","คนเก่ง","1","50400","59999"
"36","เซมิโปร","1","50400","59999"
"37","นักกีฬารุ่นใหม่","1","50400","59999"
"38","ดาวตก","1","60000","69999"
"39","คุณครู","1","60000","69999"
"40","โลมา","1","60000","69999"
"41","กูรู","1","60000","69999"
"42","นักแข่ง","1","60000","69999"
"43","ทูนนุส","1","60000","69999"
"44","สายกลาง","1","60000","69999"
"45","บิ๊กเนม","2","60000","69999"
"46","พรสวรรค์","1","60000","69999"
"47","อีลีท","1","60000","69999"
"48","มืออาชีพ","1","60000","69999"
"49","เซียน","1","60000","69999"
"50","วาฬเพชฌฆาต","1","70000","83999"
"51","คนดัง","1","70000","83999"
"52","นักเวท","1","70000","83999"
"53","ผู้ชี้แนะ","1","70000","83999"
"54","ซับมารีน","1","70000","83999"
"55","สปรินเตอร์","2","70000","83999"
"56","ปรมาจารย์","1","70000","83999"
"57","เอซรันเนอร์","2","70000","83999"
"58","มือโปร","1","70000","83999"
"59","นักกีฬาดาวเด่น","1","70000","83999"
"60","อันดับหนึ่ง","1","70000","83999"
"61","ยอดผู้นำ","1","70000","83999"
"62","สปีดสตาร์","2","84000","99999"
"63","ยอดฝีมือ","1","84000","99999"
"64","ปริ้นเซส","1","84000","99999"
"65","เทพธิดา","1","84000","99999"
"66","มาสเตอร์","1","84000","99999"
"67","นัมเบอร์วัน","2","84000","99999"
"68","ขวัญใจ","1","84000","99999"
"69","ไวลด์กริฟฟอน","3","84000","99999"
"70","ไวเวิร์น","1","84000","99999"
"71","ผู้ชำนาญ","2","84000","99999"
"72","ท็อปรันเนอร์","2","84000","99999"
"73","เทพแห่งความเร็ว","1","100000","119999"
"74","ควีน","1","100000","119999"
"75","แชมป์เปี้ยน","2","100000","119999"
"76","นักวิ่งอัจริยะ","2","100000","119999"
"77","เจ้าของสถิติ","3","100000","119999"
"78","ขีดสุด","1","100000","119999"
"79","เนปเทอเรี่ยน","2","100000","119999"
"80","ซีเดรก","2","100000","119999"
"81","สตรีอัจฉริยะ","1","100000","119999"
"82","นักปฏิวัติ","1","100000","119999"
"83","บิ๊กสตาร์","2","100000","119999"
"84","แฟนตาซิสต้า","2","120000","999999"
"85","ซุปเปอร์สตาร์","2","120000","999999"
"86","เวิร์ดแชมป์","3","120000","999999"
"87","ตำนาน","1","120000","999999"
"88","ซุปเปอร์แมน","1","120000","999999"
"89","ตอร์ปิด้อน","1","120000","999999"
"90","การ์กินอส","1","120000","999999"
"91","อควาเรียส","2","120000","999999"
"92","สมบัติล้ำค่า","1","120000","999999"
"93","แกรนด์มาสเตอร์","3","120000","999999"
"94","ฮีโร่","1","120000","999999"
"95","ที่หนึ่งในโลก","1","120000","999999"
