music_id,name,total_playing_time,listen_start_time,detail,sheet_id,cue_id
"1","Lost Princess","01:33","00:58","เพลงตัวละคร\n\nความยาว / 01:33\nขับร้อง   / เปโกรีน (M.A.O)\n           คกโคโระ (MIKU ITO)\n           แคล (RIKA TACHIBANA)\nเนื้อเพลง / SHIHORI\nทำนอง   / TANAKA KOUHEI\nเรียบเรียง / NEGISHI TAKAYUKI","bgm_M152","bgm_M152"
"2","Connecting Happy!!","01:56","01:01","เพลงตัวละคร\n\nความยาว / 01:56\nขับร้อง   / เปโกรีน (M.A.O)\n           คกโคโระ (MIKU ITO)\n           แคล (RIKA TACHIBANA)\nเนื้อเพลง / HATA AKI\nทำนอง   / TAKAO SOUNOSUKE\nเรียบเรียง / NARA YUKI","bgm_M153","bgm_M153"
"3","Tabi no Hajimari","01:48","00:00","เควสต์หลัก\n\nความยาว / 01:48\nทำนอง   / HONDA AKIHIRO (Cygames)\nเรียบเรียง / ITO TSUBASA","bgm_M61","bgm_M61_juke"
"4","Mori wo Kakeru Kaze","01:35","00:00","เควสต์หลัก\n\nความยาว / 01:35\nทำนอง   / HONDA AKIHIRO (Cygames)\nเรียบเรียง / KAWAI HIDEHIRO","bgm_M62","bgm_M62_juke"
"5","Mesaltim","01:18","00:00","แคลนแบทเทิล\n\nความยาว / 01:18\nทำนอง   / NISHIKI YASUNORI\nเรียบเรียง / NISHIKI YASUNORI","bgm_M90","bgm_M90_juke"
"6","Hatsune no Present Daisakusen","01:02","00:00","เนื้อเรื่องกิจกรรม ธีม\n-<Smiley Contrast>Arrange-\n\nความยาว / 01:02\nทำนอง   / WATANABE CHERU\nเรียบเรียง / KATO KEI","bgm_M32","bgm_M32_juke"
"7","Ziz","02:34","00:00","เนื้อเรื่องกิจกรรม บอสแบทเทิล\n\nความยาว / 02:34\nทำนอง   / TADA AKIFUMI\nเรียบเรียง / TADA AKIFUMI","bgm_M47","bgm_M47_juke"
"8","Smiley Contrast","01:40","00:57","เพลงตัวละคร\n\nความยาว / 01:40\nขับร้อง   / ฮาสึเนะ (AYAKA OHASHI)\n           ชิโอริ (KOSHIMIZUI)\nเนื้อเพลง / ISOGAI YOSHIE\nเนื้อเพลง / WATANABE CHERU\nทำนอง   /  WATANABE CHERU","bgm_M149","bgm_M149"
"9","Minotaur","00:59","00:00","แคลนแบทเทิล\n\nความยาว / 00:59\nทำนอง   / HIGASHIOHJI KENTA\nเรียบเรียง / HIGASHIOHJI KENTA","bgm_M97","bgm_M97_juke"
"10","Little Lyrical Adventure","01:00","00:00","เนื้อเรื่องกิจกรรม ธีม\n-<Little Adventure>Arrange-\n\nความยาว / 01:00\nทำนอง   / IKEDA KENTO\nเรียบเรียง / NISHIMURA SHINGO","bgm_M98","bgm_M98_juke"
