id,login_bonus_id,start_time,end_time,count_key,adv_id,read_process_flag
"1","70000","2018/12/24 5:00:00","2018/12/25 4:59:59","0","400","0"
"2","70000","2018/12/25 5:00:00","2018/12/26 4:59:59","0","401","0"
"3","70001","0","0","1","410","0"
"4","70001","0","0","2","411","0"
"5","70001","0","0","3","412","0"
"21","70004","2023/04/17 5:00:00","2023/04/18 4:59:59","0","400","0"
"22","70004","2023/04/18 5:00:00","2023/04/19 4:59:59","0","401","0"
"23","70005","0","0","1","416","0"
"24","70005","0","0","2","417","0"
"25","70005","0","0","3","418","0"
