gacha_id,rarity,disp_rarity
"50183","1","101"
"50183","2","102"
"50183","3","103"
"50183","4","104"
"50183","5","1"
"50183","6","2"
"50183","7","3"
"50183","8","4"
"50183","9","5"
"50183","10","6"
"50217","1","105"
"50217","2","101"
"50217","3","102"
"50217","4","103"
"50217","5","104"
"50217","6","1"
"50217","7","2"
"50217","8","3"
"50217","9","4"
"50217","10","5"
"50217","11","6"
"50248","1","105"
"50248","2","101"
"50248","3","102"
"50248","4","103"
"50248","5","104"
"50248","6","1"
"50248","7","2"
"50248","8","3"
"50248","9","4"
"50248","10","5"
"50248","11","6"
