d48628063e561c35319432e343a90b86d0a7999793f650d5fa3809686d12f5de,890900d95d6a4b9478da2d82e9db6680011c8a36e75c57d47d36694994e4e346,99e50c11bcddb4f0e7c50c54d93037cb94e710102678bd8c52349cb816fa1d3a,27543bd99af00eacd89b53dcc41c69ae4b6fe83ca11bd135d64d249018a88560,9945381a3fcee6d5844f6ef627f88a7c3b9ce35474759cb042464b941806a245
"1","1","100901","1009","５文字の空欄が空けられたクイズに答えるクイズゲームでございます。\n５人チームで協力して、おひとり１文字ずつ答えましょう。\nクイズのジャンルには、さまざまなものがございますよ。"
"1","2","100902","1009","楽しみ方に合わせた、２つのプレイモードがございます。\nご自身の実力に挑戦されたい場合はＣＰＵと遊ぶソロモードを、\nお仲間と協力して遊ばれる場合はマルチモードを選んでくださいまし。"
"1","3","100903","1009","ランダムで、ヒントが明かされることがございます。\nさらにヒントが欲しい場合は、「ヒントボタン」を使いましょう。\n回数には限りがあるようですので、無駄遣いは『めっ』でございます。"
"1","4","100904","1009","出題されたクイズは、「アーカイブ」機能で振り返ることができます。\nアーカイブを埋めていくと、限定称号などの報酬がいただけますので、\nしっかり復習をしながら、どんどんクイズをプレイいたしましょう。"
"1","5","100905","1012","あたしに勉強を教えてほしい？　……しょうがないわね、クイズ形式で\n楽しく学力アップを目指すわよ！　あたしかスズナを選んで勉強会を\n始めなさい。スズナと挑むなら、あんたがちゃんと教えてあげるのよ？"
"1","6","100906","1012","問題は３つの出題形式からランダムで選ばれるわ。\n「四択問題」と「一問多答」では回数限定でヒントが使えるわよ！\nどのタイミングでヒントを使うかが成績を伸ばすカギになりそうね。"
"1","7","100907","1012","一度出題された問題は「アーカイブ」に記録されるらしいわ！　復習も\nこれでバッチリできるわね。アーカイブの中身を埋めると称号がもらえる\nみたいだから、張り切ってコンプリートを目指すわよ！"
"2","8","100908","1012","条件を満たすと解放される「やり込みモード」では、制限時間内にどれだ\nけたくさんの問題に正解できるか挑戦することができるわ！\n成長したあんたの実力を見せるチャンスね！頑張りなさい！"
"1","9","101401","1014","賞金獲得目指して『戦車バトル大会』とやらに乗り込むよ！\n最高のマシンを組み上げて他の連中を蹴散らしてやろうじゃないか。"
"1","10","101402","1014","マシン同士の戦いは全て自動で行われるみたいだね。\n……じゃあアタシらが乗り込む意味がない？　はん、何言ってんだい。\n搭乗者の持つスキルが勝負を左右するってこと、肝に銘じておくんだよ。"
"1","11","101403","1014","勝負が長引くと、左右から迫り来る壁でマシンがお陀仏になっちまうよ。\nそれから、画面の外にマシンが吹っ飛ばされても負けっつうルールさ。\nこのスリル、なかなか面白いじゃないか。"
"2","12","101404","1014","『クエスト』モードでは全50ステージのバトルに挑めるって噂だよ。\nへぇ……各世界の姫さんたちとも戦えるのかい。リベンジのついでに、\nマシンに使えそうなパーツでも巻き上げてやろうかねぇ。"
"3","13","101405","1014","え～なに～？　ザコお兄さん、マシンのパーツが欲しいんだ～？\nそ・れ・な・ら～、必死におねだりできたら考えたげちゃおっかな～♡\nジョジに頭下げてモノを恵んでもらうとか～、ダッサダサだけど～ｗ"
"3","14","101406","1014","ゆっとくけど～、いくらプライドのないザコお兄さんでも無限に媚び媚び\nってのはダ・メ♡　ちゃ～んとぼくの気が向くまでハウスしててよね♪\nあ、でもいらないパーツとか分解させてくれたら気が向いちゃうかも♡"
"4","15","101407","1014","ここでは～、持ってるパーツを組み合わせてマシンをカスタムできるって\nよ～？　ってことで、ザコお兄さんなりのザコザコ号を作ってみれば～？\nせーぜーカッコいいザコザコ号になるよーに、がんばれ♡　がんばれ♡"
"4","16","101408","1014","マシンってのは、ベースのボディに他のパーツを装着して完成するワケ。\nパーツが付けられる場所はボディごとに違うから、まずはそれぞれの\nボディに設定された装着可能位置を確認するといーんじゃなーい？"
"4","17","101409","1014","あ、そ～そ～。ボディには装着できるパーツのコスト上限があって～、\nそれを超えるようなウェポンやガジェットは付けらんないからね～？\nってザコお兄さんに計算なんてムリか～♡　ぼくが手伝ったげよっか？"
"4","18","101410","1014","マシンには～、リーダー１人とメンバー２人、合計３人まで乗せられるん\nだって。誰が乗るかによってマシンの力も変わるから、ちゃーんと\n選んだ方がいいっぽいよ～？　お兄さんは、ぼくを選んでくれるよね～？"
"5","19","101411","1014","『ライバルバトル』では、いろんな方のマシンに勝負を挑むことできる\nみたいです。たくさん勝ってポイントを集めると、ミッションから報酬を\nもらえるので、頑張らなきゃ……お夕飯のおかずのためにも……！"
"6","20","101412","1014","『仲間とバトル』では、フレンドやクランメンバーのみなさんと\n対戦できるそうです。お、お手柔らかにお願いしますね……\n……ってぇ～！？　フブキちゃん、わたしのこと狙わないで～っ！？"
