f21e6cbf5c532d6b69a21fdd4fbca26bc90f19e80a883d3789f09a5bbcb67627,0ea7fb8e09646d7f948e81693458481303a2463738dcd25bbe2ba615ff2310b9,86822efb6abeae1470c28a1a52e4eafb7f50d7485567b0f28eb2853df61c36c5,359eebc11156289d5b12609eb7995c18930ed81308405f5b9d1b1d478bb95e0c,6e5ba493e4d61d9940b00b030516f44df95fb9e63911dadfc3674769ec979890
"0","1","803100201","3","3001"
"0","2","803100202","3","3001"
"0","3","803100203","3","3001"
"0","1","803100204","3","3002"
"0","2","803100205","3","3002"
"0","3","803100206","3","3002"
"0","1","803100207","3","3003"
"0","2","803100208","3","3003"
"0","3","803100209","3","3003"
"0","1","803100210","3","3004"
"0","2","803100211","3","3004"
"0","3","803100212","3","3004"
"0","1","803100213","3","3005"
"0","2","803100214","3","3005"
"0","3","803100215","3","3005"
"0","1","803100216","3","3006"
"0","2","803100217","3","3006"
"0","3","803100218","3","3006"
"0","1","803100219","3","3007"
"0","2","803100220","3","3007"
"0","3","803100221","3","3007"
