1cb18fdb725421cfd96421cf8c554c61289becbb8a3c77bc7d8ca14fcbce9b48,13201fb6d2bb8c9fcad6fce4474608d01417fb083d90667b6f1c213d6917114a,26d4f2c3c02185f49c4cf92e94c92a90aeb372c29bfdc0ebf7d259236c155d0f,c0f0be295c5329fd983c89b7c627ff28f4329e1ea6f7102f2fc9b854f836dd5e,295cfde12d09ac05a9856345c514bd7540a27f25a811f82101cc31c7ffe067b9,7e59dd8d44af91eb63f0fb5f8711825ceb605f4fc445a7276aa9c20b6af2bbd7,67b23bee199f869207d90a179f612a222e1947c91fc29b82f81f0b9ae34f418c,f538523171a1b90776714e5f4fa0de2bf8b0190b6fab7b0fd8a8964b6080f801,ad33c416fa0ca8bb920fd53110c6e1f0ce95006373216fbdf4e0cc2cd2e9982b
"5000","0","0","0","0","50","30000","20000","100111"
"5000","0","0","0","0","50","30000","20000","100112"
"5000","0","0","0","0","50","30000","20000","100113"
"12500","0","0","0","0","125","45000","30000","100121"
"12500","0","0","0","0","125","45000","30000","100122"
"12500","0","0","0","0","125","45000","30000","100123"
"20000","0","0","0","0","200","60000","40000","100131"
"20000","0","0","0","0","200","60000","40000","100132"
"20000","0","0","0","0","200","60000","40000","100133"
"5000","0","0","0","0","50","30000","20000","100211"
"5000","0","0","0","0","50","30000","20000","100212"
"5000","0","0","0","0","50","30000","20000","100213"
"12500","0","0","0","0","125","45000","30000","100221"
"12500","0","0","0","0","125","45000","30000","100222"
"12500","0","0","0","0","125","45000","30000","100223"
"20000","0","0","0","0","200","60000","40000","100231"
"20000","0","0","0","0","200","60000","40000","100232"
"20000","0","0","0","0","200","60000","40000","100233"
"5000","0","0","0","0","50","30000","20000","100311"
"5000","0","0","0","0","50","30000","20000","100312"
"5000","0","0","0","0","50","30000","20000","100313"
"12500","0","0","0","0","125","45000","30000","100321"
"12500","0","0","0","0","125","45000","30000","100322"
"12500","0","0","0","0","125","45000","30000","100323"
"20000","0","0","0","0","200","60000","40000","100331"
"20000","0","0","0","0","200","60000","40000","100332"
"20000","0","0","0","0","200","60000","40000","100333"
"5000","0","0","0","0","50","30000","20000","100411"
"5000","0","0","0","0","50","30000","20000","100412"
"5000","0","0","0","0","50","30000","20000","100413"
"12500","0","0","0","0","125","45000","30000","100421"
"12500","0","0","0","0","125","45000","30000","100422"
"12500","0","0","0","0","125","45000","30000","100423"
"20000","0","0","0","0","200","60000","40000","100431"
"20000","0","0","0","0","200","60000","40000","100432"
"20000","0","0","0","0","200","60000","40000","100433"
"5000","0","0","0","0","50","30000","20000","100511"
"5000","0","0","0","0","50","30000","20000","100512"
"5000","0","0","0","0","50","30000","20000","100513"
"12500","0","0","0","0","125","45000","30000","100521"
"12500","0","0","0","0","125","45000","30000","100522"
"12500","0","0","0","0","125","45000","30000","100523"
"20000","0","0","0","0","200","60000","40000","100531"
"20000","0","0","0","0","200","60000","40000","100532"
"20000","0","0","0","0","200","60000","40000","100533"
"5000","0","0","0","0","50","30000","20000","100611"
"5000","0","0","0","0","50","30000","20000","100612"
"5000","0","0","0","0","50","30000","20000","100613"
"12500","0","0","0","0","125","45000","30000","100621"
"12500","0","0","0","0","125","45000","30000","100622"
"12500","0","0","0","0","125","45000","30000","100623"
"20000","0","0","0","0","200","60000","40000","100631"
"20000","0","0","0","0","200","60000","40000","100632"
"20000","0","0","0","0","200","60000","40000","100633"
"5000","0","0","0","0","50","30000","20000","100711"
"5000","0","0","0","0","50","30000","20000","100712"
"5000","0","0","0","0","50","30000","20000","100713"
"12500","0","0","0","0","125","45000","30000","100721"
"12500","0","0","0","0","125","45000","30000","100722"
"12500","0","0","0","0","125","45000","30000","100723"
"20000","0","0","0","0","200","60000","40000","100731"
"20000","0","0","0","0","200","60000","40000","100732"
"20000","0","0","0","0","200","60000","40000","100733"
"5000","0","0","0","0","50","30000","20000","100811"
"5000","0","0","0","0","50","30000","20000","100812"
"5000","0","0","0","0","50","30000","20000","100813"
"12500","0","0","0","0","125","45000","30000","100821"
"12500","0","0","0","0","125","45000","30000","100822"
"12500","0","0","0","0","125","45000","30000","100823"
"20000","0","0","0","0","200","60000","40000","100831"
"20000","0","0","0","0","200","60000","40000","100832"
"20000","0","0","0","0","200","60000","40000","100833"
"5000","0","0","0","0","50","30000","20000","100911"
"5000","0","0","0","0","50","30000","20000","100912"
"5000","0","0","0","0","50","30000","20000","100913"
"12500","0","0","0","0","125","45000","30000","100921"
"12500","0","0","0","0","125","45000","30000","100922"
"12500","0","0","0","0","125","45000","30000","100923"
"20000","0","0","0","0","200","60000","40000","100931"
"20000","0","0","0","0","200","60000","40000","100932"
"20000","0","0","0","0","200","60000","40000","100933"
