c22187627d64c10baa2c2ed4c103454803251047f81de40a045f68c1858eeddd,299d8a9f1f277ab4214ad187392763e910acc2b41a84f6d422360649625143af,dcf027666cececccf10d6386bfd48d1b65b6e3ef9254f0afb5e4dae2d15c833f,7183b66439a8fb3a1e4b613e5438a8df9606a315e625a1696da1e32dac28f226,5f37b3f6240ff1111a0b07786df3b0334aabd01c10447535085facda42200fae,814348afa1f21831252fa293060380b0d8974f4e5d28a77453cef519934ccee8,370ad4f956312cc30986203b155ec8ce518c918fad158557883b20a2cf906c61,02fe512aa46f779d5094884ccf8abaeae7f5a707b35e196c8fa827d91c378b86,9604a64406c8eef81d0fa7cb7a4c42ef8d9672006a85b0bc023b649fa195c478,df70fde4eee6dc9ae405441363e7df0fc4fec81580f24e13f1c40174143291bb,b4cd64e8ec901c0b2f63479d7c3a7abce02cfbbc04f697f0fe9ccad660b9199c
"","","1082","","イ","","","","","",""
"","","1107","","オ","","","","","",""
"","","1176","","","","","ツ","","",""
"","","1189","","ー","","ル","","","ホ",""
"","","1192","","ゥー","","","","","",""
"","","1245","","イ","","","","","",""
"","ゃさ","1250","","","","ちそ","","","",""
"ナイト","ア","2013","ナメア","ト","イトメ","メ","ナ","トメア","イ","ナイア"
"ランド","ル","2014","ドソル","ラ","ラドソ","","ン","ンドル","ソ","ランル"
"そるの","う","2015","そのう","と","そのと","","る","るのと","","そるう"
"るなう","の","2016","るのう","と","なのと","う","る","のとう","な","るなと"
"ひくう","","2017","ひてい","う","ひうて","い","く","くうて","","ひくて"
"ふゃ","ん","2019","ふん","ゃ","しん","し","ふ","","","ふゃ"
"むしわ","ぎ","2020","むゅわ","し","むぎし","む","ゅ","ぎしゅ","わ","ぎゅわ"
"","","2031","","","","","","S","","E"
"AE","","2032","","","","","","","",""
"","","2033","R","","","","","","","A"
"","","2034","I","","","","","","","E"
"","","2036","R","","","","","","","UA"
"Y","","2037","L","","E","","","","","E"
"I","","2038","L","","V","","","","","E"
"","","2040","I","","","","","","","L"
"","","2041","A","","","","","","",""
"","","2042","","","","","","Y","",""
"","","2043","A","","","","","K","",""
"","","2045","A","","","","","","",""
"","","2046","R","","","","","Q","",""
"","","2047","R","","","","","","","A"
"","","2048","A","","","","","KQ","",""
"","","2049","","","","","","","","B"
"T","","2050","A","","","","","","","U"
"P","","2052","C","","","","","","","EI"
"T","","2053","A","","","","","","","I"
"S","","2054","","","","","","","",""
"","","2055","R","","","","","","",""
"","","2056","","","","","","","","V"
"","","2058","WU","","","","","","",""
"","","2059","","","","","","R","",""
"","","2060","","","","","","R","",""
"","","2062","S","","","","","","",""
"S","","2063","E","","S","","","","","A"
"A","","2064","A","","","","","","",""
"S","","2065","","","","","","","","A"
"","","2066","","","","","","C","",""
"","","2067","","","","","","","","B"
"","","2068","","","","","","L","","I"
"","","2069","E","","","","","C","",""
"","","2070","","","D","","","","","E"
"I","","2071","","","N","","","","","A"
"A","","2074","C","","","","","","",""
"A","","2077","A","","","","","","",""
"","し","2092","","","","","ち","","",""
"ト","","2130","ァ","","ム","","","フ","","ン"
"","聞聴","2200","","聴言","","わ","か","","視",""
"","ビブ","2201","","","","","ー","","",""
"","ル","2202","","","","","","","",""
"","","2216","","飯","","鯉","","","麦",""
"","","2261","","ゅ","","う","","","し",""
"","","2264","","","","","ぅ","","",""
"","","2266","","ー","","","","","",""
"","き","2295","","ふ","","く","ん","","ひ",""
"","だ","2313","","","","","","","",""
"","","3020","ナ","","","","","ル","",""
"","","3066","","ェ","","","","","フ",""
"","","3068","","","","","","","く",""
"","","3073","","","","が","","","",""
"","生","3084","","","","","","","",""
"","ア","3158","","","","","","","",""
"","","3165","","","","ひ","","","",""
"","か","3187","","","","","","","",""
"","シス","3191","","","","デ","オ","","",""
"","さ","3193","","","","","ま","","",""
"","","3195","","","","","","ブ","",""
"","","3222","","","","ス","","","",""
"","ず","3238","","","","","","","",""
"","帰","3271","","","","","","","",""
"","","3277","","ク","","","","","",""
"","","3318","","","","ア","","","",""
"","し","4029","","","","","ち","","",""
"","","4049","","","","","X","","",""
"","た","4052","","","","","","","",""
"","さ","4077","","","","","","","",""
"","","4154","","","","","帯","","",""
"","","4157","","","","","","","","そ"
"","","4167","","","","","","","","い"
"","","4171","","","","","","二","",""
"倍","","4194","小","","","","","","",""
"約","","4195","大","","","","","","",""
"","","4196","","","","底","","","高",""
"","","4197","","","","","","半","",""
"","く","4203","","","","","","","",""
"","","4220","","","","ウ","","","",""
"","","4222","","ィ","","","","","",""
"","","4247","","","","","","","セ",""
"","","5010","","","","ー","","","",""
"","","5011","","","","ワ","","","",""
"ラモ","","5030","","","テカ","","","","",""
"オモ","","5031","","","レカ","","","","",""
"","","5051","","","","ー","","","",""
"","ら","5066","","お","","か","","","",""
"","","5100","","","","ぶ","","","",""
"じ","","5109","つ","","つ","","","み","",""
"タ","","5140","ウ","","ー","","","カ","","ン"
"","","5147","","","","","ロ","","",""
"","","5160","","","","と","","","",""
"戌酉子","","5193","戌酉卯","牛","卯戌子","虎","","卯辰戌","","戌卯辰"
"","","6060","","","","","ト","","",""
"","","6065","","","","ほ","","","",""
"","ィ","6157","","","","","","","",""
"","","6188","","","ト","","","","",""
"","","6203","","ン","","ド","","","イ",""
"","ジ","6216","","","","ク","ラ","","",""
"","","6227","ョ","","","","","チ","","ウ"
