f06a3203d7826ab8077ce599cf5c5d61256a92995fc9e57537da3ef4683bfac8,a92f856b087de1d4708acd2e6b7a7765fda795d34e5f314efd89c90349d492ab,64b28806e0d92cdc5ca17e43c46e721dd001803a5910cd9ea3b3bb29ceaef22a,1a27eb8d62c2bc09a25bbeb77f44efd170426822f68f98dced12859ad3e287b9,00595c25dc755ae86f4d0da8e18bb532d04768b5873400c535d93d28777063d9,4ddcb97e8fd7f5645c691f90e19193425ddcd1b5875dbc626ff1d2eb349c75dd,013cce0eb49bef0c8dff2cc33d3e30f9610797fae41b625fc178a425858173f9,1021abadd3b71c5833ef19f6c041bf92975ab827286880e6b5fa70a0b01b703f,02f08856aab9911b9ecd85f89d31f72294abd72cf13e97983ddff42fcd70c376,d7f861cb81a03d6f92e4dfb7dc38fd660668e53bcfd1056980ff5ccb5fa42e88,142feb089d924235d6425a06737cb1adf05a3d5e6fd37c603975a582691aabd9,4477a3a05760f4230f5170e6a47c8a0a506a0f4feebe2aa680cd40044974868a,6fc05e03519d64d6e0af23e455c1160fa27d35982dadb41b85504234b9aa2bbf
"ぶた","0","0","0","1","おおかみ","0","いぬ","3110001","いのしし","0","0","1"
"三","0","0","0","1","一","0","四","3110002","二","0","0","1"
"八","0","0","0","1","十","0","七","3110003","九","1","0","1"
"亭","0","0","0","1","花","0","也","3110004","要","0","0","1"
"がつがつ","0","0","0","1","めそめそ","0","もぐもぐ","3110006","ぱかぱか","0","0","1"
"針で縫う","0","0","0","1","犬の鳴き声","0","批判をする","3110007","ものがへこむ","0","0","1"
"木","0","0","0","0","田","0","口","3110009","十","1","0","1"
"それで","0","0","0","1","しかし","0","よって","3110010","だが","0","0","1"
"身長をはかる","0","0","0","1","服を身長する","0","身長が伸びる","3110011","身長な行動","0","0","1"
"地面（じめん）","0","0","0","1","身近（みじか）","0","自信（じしん）","3110012","鼻血（はなじ）","0","0","1"
"た","0","0","0","1","ま","0","さ","3110013","ば","0","0","1"
"月","0","0","0","1","土","0","火","3110015","金","0","0","1"
"ブレイド","0","0","0","1","プリンセス","0","クイーン","3111001","ストライク","0","0","1"
"アタック","0","0","0","1","ヒール","0","エクスプロージョン","3111002","オール","0","0","1"
"H","0","0","0","1","F","0","J","3120001","G","0","1","0"
"ふさい","0","0","0","1","ふうふ","0","ふじん","3120002","めおと","0","0","1"
"講","0","0","0","1","無","0","酒","3120006","礼","1","0","1"
"山","0","0","0","1","天","0","四","3120007","王","1","0","1"
"事","0","0","0","1","絵","0","想","3120008","空","1","0","1"
"アスパラガス","0","0","0","1","ナス","0","カボチャ","3120010","トマト","0","0","1"
"春","0","0","0","1","新年","0","夏","3120011","盆","1","1","0"
"東","0","0","0","1","瓜","0","南","3120012","西","0","0","1"
"馬の耳に念仏","0","0","0","1","猫に小判","0","鬼に金棒","3120013","豚に真珠","1","0","1"
"傍","0","0","0","1","自","0","全","3120014","半","1","0","0"
"がる","0","0","0","0","しい","0","ろす","3120015","る","1","1","1"
"申し上げる","0","0","0","1","存じ上げる","0","なさる","3120016","いらっしゃる","1","0","0"
"クソエルフ","0","0","0","1","ロリババア","0","クソ眼鏡","3121001","クソ猫","0","0","1"
"ミラー","0","0","0","1","オブジェクト","0","アヴァロン","3121002","クリエイション","0","0","1"
"暗","0","0","0","1","塩","0","倍","3130001","梅","0","0","1"
"秋","0","0","0","1","春","0","冬","3130002","夏","1","1","0"
"五里夢中","0","0","0","1","前代未聞","0","良妻嫌母","3130004","四面楚歌","0","0","1"
"自我自賛","0","0","0","1","無我夢中","0","一期一得","3130005","公明正大","0","0","1"
"危機一発","0","0","0","1","怪刀乱麻","0","単刀直入","3130006","山止水明","1","0","1"
"意気消沈","0","0","0","1","以心伝心","0","興味深々","3130007","三位一体","1","0","1"
"仁","0","0","0","1","朴","0","温","3130010","念","1","0","1"
"場","0","0","0","1","土","0","独","3130011","壇","1","0","1"
"多","0","0","0","1","我","0","雑","3130013","楽","1","0","1"
"りちぎ","0","0","0","1","ちゅうじつ","0","ただみ","3130014","まめ","0","0","1"
"たけのこ","0","0","0","1","わかめ","0","たまねぎ","3130016","もずく","0","0","1"
"戦記","0","0","0","1","煉獄","0","冥空","3131001","血盟","0","0","1"
"トリップ","0","0","0","1","エクスタシー","0","妄想","3131002","トランス","0","0","1"
"キュウリ","0","0","0","1","トマト","0","ダイコン","3210001","ナス","1","0","1"
"肝臓","0","0","0","1","肺","0","心臓","3210002","腎臓","0","0","1"
"循環器","0","0","0","1","呼吸器","0","消火器","3210003","排出器","1","0","1"
"ナマコ","0","0","0","1","イカ","0","イソギンチャク","3210005","タコ","0","0","1"
"イノシシ","0","0","0","1","カンガルー","0","ナマケモノ","3210006","コアラ","0","0","1"
"モイモイ","0","0","0","1","マイマイ","0","がんがんむし","3210008","でんでんむし","0","0","1"
"モンアオチョウ","0","0","0","1","モンキチョウ","0","モンアカチョウ","3210009","モンシロチョウ","0","0","1"
"人差し指","0","0","0","1","小指","0","親指","3210010","中指","0","0","1"
"C型","0","0","0","1","A型","0","D型","3210011","B型","0","0","1"
"ヤドカリ","0","0","0","1","アサリ","0","エビ","3210013","ハマグリ","0","0","1"
"ライオン","0","0","0","1","ウサギ","0","オオカミ","3210014","ウマ","0","0","1"
"クマ","0","0","0","1","サイ","0","コアラ","3210015","シカ","0","0","1"
"ミソギ","0","0","0","1","スズナ","0","サレン","3211001","ハツネ","0","0","1"
"イノリ","0","0","0","1","ホマレ","0","ミフユ","3211002","カヤ","1","0","1"
"アリ","0","0","0","1","ムカデ","0","アメンボ","3220001","クモ","0","0","1"
"カエル","0","0","0","1","バッタ","0","ヒト","3220002","ミミズ","0","0","1"
"トビウオ","0","0","0","1","カワハギ","0","チョウチンアンコウ","3220003","メバル","0","0","1"
"キンギョ","0","0","0","1","グッピー","0","メダカ","3220006","ベタ","0","0","1"
"ヒマワリ","0","0","0","1","チューリップ","0","タンポポ","3220007","ヒヤシンス","0","0","1"
"シロナガス","0","0","0","1","セミ","0","ジンベエ","3220009","マッコウ","1","0","1"
"ツキノワグマ","0","0","0","1","トキ","0","オコジョ","3220011","タンチョウ","0","0","1"
"イチゴ","0","0","0","1","スイカ","0","リンゴ","3220012","メロン","1","0","1"
"二酸化炭素","0","0","0","1","水","0","酸素","3220013","光","1","0","1"
"ボルボックス","0","0","0","1","アオミドロ","0","クツワムシ","3220014","ミジンコ","1","0","1"
"シーズー","0","0","0","1","チワワ","0","ソマリ","3220015","パグ","1","0","1"
"フナムシ","0","0","0","1","アオムシ","0","ミドリムシ","3220016","イモムシ","0","0","1"
"ユカリ","0","0","0","1","モニカ","0","キョウカ","3221001","ミミ","0","0","1"
"モニカ","0","0","0","1","トモ","0","ハツネ","3221002","シオリ","1","0","1"
"ねずみ","0","0","0","1","牛","0","獅子","3230001","羊","0","0","1"
"ライオン","0","0","0","0","ウミネコ","0","トラ","3230004","ヤマネコ","1","1","1"
"セメント質","0","0","0","1","象牙質","0","神経質","3230005","エナメル質","1","0","1"
"オオルリ","0","0","0","1","コマドリ","0","エトピリカ","3230006","ウグイス","1","0","1"
"一重咲き","0","0","0","1","アネモネ咲き","0","ロゼッタ咲き","3230007","カクタス咲き","1","0","1"
"イルカ","0","0","0","1","ワニ","0","ニホンザル","3230008","サンショウウオ","0","0","1"
"コンドル","0","0","0","1","モモンガ","0","ミミズク","3230010","コウモリ","0","0","1"
"ペンギン","0","0","0","1","ムササビ","0","ダチョウ","3230011","イルカ","0","0","1"
"コウモリ","0","0","0","0","ヤモリ","0","カタツムリ","3230012","イモリ","1","1","1"
"ハラ","0","0","0","1","アタマ","0","シリ","3230013","ムネ","1","0","1"
"マナヅル","0","0","0","1","ツバメ","0","スズメ","3230014","オオハクチョウ","1","0","1"
"コウモリ","0","0","0","1","ヘビ","0","ヒト","3230016","カメ","0","0","1"
"ペコリーヌ","0","0","0","1","コッコロ","0","キャル","3231001","シェフィ","0","0","1"
"ホマレ","0","0","0","1","コッコロ","0","ラビリスタ","3231002","レイ","1","0","1"
"1","0","0","0","1","2","0","3","3310001","4","0","0","1"
"銅","0","0","0","1","銀","0","金","3310003","アルミニウム","0","0","1"
"インチ","0","0","0","1","メートル","0","ファラッド","3310005","尺","1","0","1"
"タンジェント","0","0","0","1","サイン","0","ヒロイン","3310006","コサイン","1","0","1"
"長方形","0","0","0","1","正方形","0","おうぎ形","3310007","ひし形","1","0","1"
"827","0","0","0","1","405","0","112","3310008","215","0","0","1"
"D","0","0","0","1","L","0","A","3310009","E","1","0","1"
"金","0","0","0","0","鉄","0","銀","3310010","アルミニウム","1","1","1"
"蒸留水","0","0","0","1","石けん水","0","硝酸","3310012","水酸化ナトリウム水溶液","0","0","1"
"緑","0","0","0","1","赤","0","桃","3310013","藍","1","0","1"
"4","0","0","0","1","6","0","3","3310014","5","0","0","1"
"15:9","0","0","0","1","10:6","0","12:8","3310015","4:1","1","0","0"
"ランドソル","0","0","0","1","ソルの塔","0","キャッスル・オブ・パルフェ","3311001","オーマ","1","0","1"
"ソルの塔","0","0","0","1","ふぁんふぁんファーム","0","オーマ","3311002","キャッスル・オブ・パルフェ","0","0","1"
"うろこぐも","0","0","0","1","いわしぐも","0","じょろうぐも","3320001","にゅうどうぐも","1","0","1"
"ベガ","0","0","0","1","デネブ","0","アンタレス","3320002","アルタイル","1","0","1"
"作用点","0","0","0","1","支点","0","交点","3320003","力点","1","0","1"
"放射","0","0","0","1","伝導","0","反射","3320004","対流","1","0","1"
"111111","0","0","0","1","111","0","1111","3320005","11111","1","0","0"
"緑","0","0","0","1","赤","0","黄","3320007","青","1","0","1"
"海王星","0","0","0","1","地球","0","冥王星","3320008","天王星","1","0","1"
"こいぬ座","0","0","0","1","はくちょう座","0","おおいぬ座","3320010","わし座","0","0","1"
"塩水","0","0","0","1","レモンの果汁","0","アンモニア水","3320011","塩酸","0","0","1"
"酸素","0","0","0","1","塩素","0","二酸化炭素","3320014","臭素","0","0","1"
"水色である","0","0","0","1","酸素と混ぜて燃やすと音が出る","0","ツンとする臭いがある","3320015","最も軽い気体である","0","0","1"
"1","0","0","0","1","3","0","0","3320016","2","0","0","1"
"メルクリウス財団","0","0","0","1","リトルリリカル","0","王宮騎士団","3321001","ルーセント学院","0","0","1"
"美肌効果","0","0","0","1","清涼効果","0","保温効果","3321002","のど・鼻の保湿効果","0","0","1"
"おおぐま座","0","0","0","1","おおいぬ座","0","おおやぎ座","3330001","おおかみ座","1","0","1"
"アルタイル","0","0","0","1","ベテルギウス","0","シリウス","3330002","リゲル","0","0","1"
"安山岩","0","0","0","1","流紋岩","0","閃緑岩","3330003","玄武岩","1","0","1"
"アルミニウム","0","0","0","1","カルシウム","0","カリウム","3330004","マグネシウム","0","0","1"
"二素","0","0","0","1","酸素","0","化素","3330007","炭素","0","0","1"
"ルート1000","0","0","0","1","10の2乗","0","6！","3330010","2×2×5×5","0","0","1"
"2×3×4","0","0","0","1","4＋5＋6","0","112÷7","3330011","ルート225","0","0","1"
"酸素","0","0","0","1","炭素","0","窒素","3330012","水素","1","0","1"
"硫酸","0","0","0","1","塩酸","0","水酸化ナトリウム","3330013","硝酸","0","0","1"
"薄雲","0","0","0","1","雪","0","天気雨","3330014","霧","1","0","1"
"ケイ素","0","0","0","1","フッ素","0","窒素","3330015","塩素","0","0","1"
"フラーレン","0","0","0","1","黒鉛","0","オゾン","3330016","ダイヤモンド","1","0","1"
"ケレス森林","0","0","0","1","カスタリア樹林","0","イリス樹海","3331001","ペテロ大森林","0","0","1"
"イオカステ岩山","0","0","0","1","スィオネ樹林","0","アルバ浜堤","3331002","ヘリケ巨木","1","0","1"
"キッチン","0","0","0","1","風呂場","0","玄関","3410001","トイレ","1","0","1"
"弁護士","0","0","0","1","警察官","0","警備員","3410002","消防士","0","0","1"
