fa185cec578f62254e751f67857a92f8687bea0876095bbd2e5ffd66fd89ab08,0956dea8fe0ce6fcf4aa9985c07cf5bd983da4af1cc51d64d3b2588806e2db93,6cf1697856e51e148ad3210e05f64b49ec1a0308b546c7b45366eb832cd5ba8b,85c4c6e1a0898f9dabea60b519b4c066e4a996f4af13627af173fe3f0818ad2f,2c311ff09f1f38ff6e167fe254b32609a39952f9284e13037bf05202be1ae5e9,a66412761b0733a88b5fde8399ab2cd49e85a55c64823528a01a754a8f570f42,6cb6a5cb1cda0f867cf2e2c57cf83112f7e4f35a06bfa3e374e7fd249ba655e3,fe22e630573907ee6278d8cf58e183bf832e5cf5e97ef1d2e3ee358f112d88f6
"0","0","短時間、障害物バリアを展開！","0","2001","3","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","101"
"0","5","中時間、スピードとジャンプ小アップ！","5","3","5","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","102"
"0","6","短時間、スピード中アップ！","0","1","4","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","103"
"0","0","中時間、障害物バリアを展開！","0","2001","5","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","104"
"0","3","中時間、スピード小アップ！","0","1","6","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","105"
"0","4","中時間、対戦相手のスピード小ダウン！","0","1001","6","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","106"
"0","17","中時間、スピードとジャンプ特大アップ！","16","3","5","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","107"
"0","8","ラウンド中、スピード中アップ！","0","1","40","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","108"
"0","30","短時間、スピード特大アップ！","0","1","4","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","109"
"0","10","ラウンド中、対戦相手が大きく減速！","0","1001","40","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","110"
"0","0","ごく短時間、障害物バリアを展開！","0","2001","1","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","111"
"0","15","短時間、先頭の対戦相手が大きく減速！","0","1004","4","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","112"
"0","5","中時間、スピード小アップ！","0","1","6","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","113"
"0","5","中時間、ジャンプ小アップ！","0","2","5","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","114"
"0","0","長時間、バリアで能力ダウンを防ぐ！","0","2002","7","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","115"
"0","3","累積で、スピード小アップ！","0","1","25","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","116"
"0","3","累積で、対戦相手が小さく減速！","0","1001","25","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","117"
"0","30","長時間、スピードとジャンプ特大アップ！","20","3","7","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","118"
"0","15","短時間、先頭の対戦相手が大きく減速！","0","1004","4","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","119"
"0","0","長時間、バリアで能力ダウンを防ぐ！","0","2002","7","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","120"
"0","30","長時間、ジャンプ特大アップ！","0","2","12","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","121"
"0","15","累積で、先頭の対戦相手が大きく減速！","0","1004","30","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","122"
"8","11","短時間大きく加速した後、ごく短時間減速！","2","4","4","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","123"
"0","9","長時間、スピード中アップ！","0","1","8","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","124"
"0","0","短時間、障害物バリアを展開！","0","2001","4","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","125"
"0","3","累積で、対戦相手が小さく減速！","0","1001","30","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","126"
"0","22","長時間、スピード特大アップ！","0","1","10","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","127"
"0","30","短時間、ジャンプ特大アップ！","0","2","4","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","128"
"0","20","短時間、対戦相手のスピード特大ダウン！","0","1001","3","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","129"
"0","30","短時間、スピード特大アップ！","0","1","4","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","130"
