fc9a6c7e5db3d5ab8322657a4b810ebd875a35ca9c1fc828efe2865e251068df,73649aa47cc45fed773deb70bc6b8bcd76b440a0282d14c92534c9393cc68463,8c9d9b6bb078b5d48061ab10f001056b0d0a14eee4731857bb949d64119becd6,aa45c22633de606560f2c779cb1ec296b1e3a5837ecb85daf93a1344ced4f2e2,5abaddc0906a7b50ee4b9a483188cd30a6f5f448f8b1a6d1d94a965f7e6a5f7e,e5854dedb918ab4c74a192ca5197f5e9d004926805d73025c79503435f5d00d0,9885d6dce9d09d3eff3db3a5d99ce9e6ba4f0b5945cabf19123a03fc3892b370,85de66f1ead7e9205604719a41db4f7aaa0ca5d02645c143a324bc81ac3dd028,42d186ea262800ef92e89a368d85ea4f51513b23b3f817ec1a74a4944aef0a7c,c5cfc6741cfc9559bd846027a8834e183a4d13b255232dc592f78fa031216f1c,b47801f93ebf08aa049d7f5903860d2ca5500d6752b682ebe5f2d2baf6ec5d2d,149b14e7c505749d0b2bd6f1df6ca018af3b7af22b0a3d604279570dd51b1517,6523ca200b37d08272545ff5211c10b1550231befa40c7229f4a3e90bbb303f8,d6702a08cdc0971c84975d24b48af7bf70d3e729fbe826205f4e8eda2e709225
"1","4","30","1","7","-1","6","1","30","1","1","1","1","1001"
"1","31","60","1","11","-1","6","1","60","1","1","1","1","1002"
"1","61","90","1","15","-1","6","1","90","1","1","1","1","1003"
"1","91","120","1","19","-1","6","1","120","1","1","1","1","1004"
"1","121","150","1","23","-1","6","1","150","1","1","1","1","1005"
"1","151","180","1","27","-1","6","1","180","1","1","1","1","1006"
"1","181","210","1","29","-1","6","1","210","1","1","1","1","1007"
"1","211","240","1","31","-1","6","1","240","1","1","1","1","1008"
"1","241","270","1","31","-1","6","1","270","1","1","1","1","1009"
"1","271","300","1","31","-1","6","1","300","1","1","1","1","1010"
"1","301","310","1","31","-1","6","1","-1","1","1","1","1","1011"
"1","4","30","1","7","-1","5","1","30","1","1","1","2","1101"
"1","31","60","1","11","-1","5","1","60","1","1","1","2","1102"
"1","61","90","1","15","-1","5","1","90","1","1","1","2","1103"
"1","91","120","1","19","-1","5","1","120","1","1","1","2","1104"
"1","121","150","1","23","-1","5","1","150","1","1","1","2","1105"
"1","151","180","1","27","-1","5","1","180","1","1","1","2","1106"
"1","181","210","1","29","-1","5","1","210","1","1","1","2","1107"
"1","211","240","1","31","-1","5","1","240","1","1","1","2","1108"
"1","241","270","1","31","-1","5","1","270","1","1","1","2","1109"
"1","271","300","1","31","-1","5","1","300","1","1","1","2","1110"
"1","301","310","1","31","-1","5","1","-1","1","1","1","2","1111"
"1","4","-1","1","7","-1","5","1","30","1","1","1","3","1201"
"1","31","-1","1","11","-1","5","1","60","1","1","1","3","1202"
"1","61","-1","1","15","-1","5","1","90","1","1","1","3","1203"
"1","91","-1","1","19","-1","5","1","120","1","1","1","3","1204"
"1","121","-1","1","23","-1","5","1","150","1","1","1","3","1205"
"1","151","-1","1","27","-1","5","1","180","1","1","1","3","1206"
"1","181","-1","1","29","-1","5","1","210","1","1","1","3","1207"
"1","211","-1","1","31","-1","5","1","240","1","1","1","3","1208"
