6e66dfda4bcdc8b3b8de1158852c415c1a9d756a5e69ddbaf93daa6ea9bae059,7f9845967baf4a156563729eb26e549ed440aafa3508f215e9c56ac7cf2fda5d,e619ea387d7d45d44aae08e357de022905094e2f3e1a0f946a5f5645d45f5166,c4ee5aa5d32464d9ac1a46effd4d69db8b38240d6d8414ce20a2c44074316bfc,5c9e1b26fa6389eadf49ec1aedb64450bad04b8a7d80f586b3a7d65c10ad340c,4979c62cca9c8f07aeeadb52901d0d0d67f62433dd4d0b6e118039db3e057266,a96cbd463251dc8933aa6d98ad5eb262a71cf05152717619dfeadf9665d2bbc1,56a8d2e38e40a1945eb16652c43dc3b073fa5f3d5a1cecdb5aef128c02978530,43be317bd55c0d40ceac8d834dbbe8140185e400c358c92dbbc18f21c6608349
"1","1","1","唯一無二の","0","3","2","1","1"
"1","1","1","完全無欠の","0","3","2","1","2"
"1","1","1","ランドソル最速の","1","3","2","1","3"
"1","1","1","明鏡止水の","0","3","2","1","4"
"1","1","1","史上最速の","0","3","2","1","5"
"1","1","1","最強最速の","0","3","2","1","6"
"1","1","1","アルティメット","2","3","2","1","7"
"1","1","1","百点満点","0","3","2","1","8"
"1","1","1","最優秀","0","3","2","1","9"
"1","1","1","一騎当千の","0","3","2","1","10"
"1","1","1","唯一無二の","0","3","2","1","11"
"1","1","1","天下無双の","0","3","2","1","12"
"1","1","0","泰然自若の","0","3","2","1","13"
"1","1","0","ハイパー","0","3","2","1","14"
"1","1","0","光速の","0","3","2","1","15"
"1","1","0","稀代の","0","3","2","1","16"
"1","1","0","極限の","0","3","2","1","17"
"1","1","0","至高の","0","3","2","1","18"
"1","1","0","煌めく","0","3","2","1","19"
"1","1","0","百戦錬磨の","0","3","2","1","20"
"1","1","0","疾風迅雷の","0","3","2","1","21"
"1","1","0","電光石火の","0","3","2","1","22"
"1","0","1","変幻自在の","0","3","2","1","23"
"1","0","1","空前絶後の","0","3","2","1","24"
"1","0","1","レペゼン","0","3","2","1","25"
"1","0","1","音速の","0","3","2","1","26"
"1","0","1","常識外れの","0","3","2","1","27"
"1","0","1","獅子奮迅の","0","3","2","1","28"
"1","0","1","勇猛果敢なる","2","3","2","1","29"
"1","0","1","威風堂々たる","2","3","2","1","30"
"1","0","1","急がば回れ","0","3","2","1","31"
"1","0","1","心頭滅却","0","3","2","1","32"
"1","0","0","夢見る","0","3","2","1","33"
"1","0","0","ナイス","0","3","2","1","34"
"1","0","0","そこそこの","0","3","2","1","35"
"1","0","0","若葉マークの","2","3","2","1","36"
"1","0","0","未来ある","0","3","2","1","37"
"1","0","0","新米","0","3","2","1","38"
"1","0","0","駆け出しの","0","3","2","1","39"
"1","0","0","ぼちぼちの","0","3","2","1","40"
