bb1eaea8216c2aa0747eb94591d5bc7f73650ea5d01097e004d79cda19673779,4b9ac9cd59159c3f62e25495d4c9005b57ee8a28dcf4c05acfd618c93a39f790,6dd2c430fea4d68a95558e18d4544a72035a60d0601b35bb157a28276b581a93,4fd5a3b252cf2ba708f306752e3ff1e8d5c8c18ca4a1a883301a4795d7cd0e4e,36525803e68b4b5d7cda618a13b151255b2081c8e24ebe4b41b4f500a3cd9a8b
"0","0","1","1","1001"
"0","0","2","1","1002"
"0","0","3","1","1003"
"0","0","4","1","1004"
"0","0","1","2","2001"
"0","0","2","2","2002"
"0","0","3","2","2003"
"0","0","4","2","2004"
"0","1","1","2","2101"
"0","1","2","2","2102"
"0","1","3","2","2103"
"0","1","4","2","2104"
"10001","2","11","2","2111"
"10001","2","12","2","2112"
"10001","2","13","2","2113"
"0","0","1","3","3001"
"0","0","2","3","3002"
"0","0","3","3","3003"
"0","0","4","3","3004"
"0","0","1","4","4001"
"0","0","2","4","4002"
"0","0","3","4","4003"
"0","0","4","4","4004"
"0","0","100","4","4005"
"0","1","10101","5","5010"
"1","2","10201","5","5020"
"2","2","10202","5","5021"
"0","3","10301","5","5030"
"1","3","10301","5","5031"
"0","4","10302","5","5040"
"0","5","10303","5","5050"
"0","6","10304","5","5060"
"0","1","90001","6","6001"
"0","2","90001","6","6002"
"1","2","90001","6","6003"
"0","3","90001","6","6006"
"1","3","91101","6","6007"
"2","3","91201","6","6008"
"3","3","91301","6","6009"
"0","4","90001","6","6010"
"1","4","91101","6","6011"
"2","4","91201","6","6012"
"3","4","91301","6","6013"
"0","5","90001","6","6014"
"1","5","91101","6","6015"
"2","5","91201","6","6016"
"3","5","91301","6","6017"
"0","6","90001","6","6018"
"1","6","91101","6","6019"
"2","6","91201","6","6020"
"3","6","91301","6","6021"
"0","7","92001","6","6022"
"1","7","92101","6","6023"
"2","7","92201","6","6024"
"3","7","92301","6","6025"
"4","7","92401","6","6026"
"0","8","92001","6","6027"
"1","8","92101","6","6028"
"2","8","92201","6","6029"
"3","8","92301","6","6030"
"4","8","92401","6","6031"
"0","9","92001","6","6032"
"1","9","92101","6","6033"
"2","9","92201","6","6034"
"3","9","92301","6","6035"
"4","9","92401","6","6036"
"0","10","90001","6","6037"
"1","10","90101","6","6038"
"2","10","90201","6","6039"
"3","10","90301","6","6040"
"4","10","90401","6","6041"
"0","0","90002","7","7000"
"1","0","90002","7","7001"
"2","0","90003","7","7002"
"1","2","90002","7","7003"
"2","2","90003","7","7004"
"1","3","91102","7","7005"
"2","3","91103","7","7006"
"1","4","91102","7","7007"
"2","4","91103","7","7008"
"1","5","91102","7","7009"
"2","5","91103","7","7010"
"1","6","91102","7","7011"
"2","6","91103","7","7012"
"1","7","92102","7","7013"
"2","7","92103","7","7014"
"1","8","92102","7","7015"
"2","8","92103","7","7016"
"1","9","92102","7","7017"
"2","9","92103","7","7018"
"1","10","90102","7","7019"
"2","10","90103","7","7020"
"0","0","20101","9","9001"
"0","0","20201","10","10001"
"0","1","20202","10","10002"
"0","8","10501","101","10180"
"0","1","1","100","100001"
"0","2","1","100","100002"
"0","3","2","100","100003"
"0","4","2","100","100004"
"0","5","2","100","100005"
"0","6","2","100","100006"
"0","7","3","100","100007"
"0","8","3","100","100008"
"0","9","3","100","100009"
"0","10","1","100","100010"
"0","98001","10301","101","980001"
"2","98001","10402","101","980002"
"1","98011","10401","101","980011"
"2","98012","10402","101","980012"
