6bb1ebf0b578d9f5fd7023e44afb9f233abbaad6bb8e2dc5ca13094d0d876bf5,262a1ba2490d14af0921a09e88398b5eaf6439bf2cd7cb7a26fd86f41a8b4387,13cadd27b587fad601d6ca3c7e7b0a9f510c8571de92203a0de56e8d15249c75,4096736470d41d45bd8f402f70e1fb8bb5d2a7254c61c19f7b097e48811a61e0,e3711f4577ba8c563549f8f9eeb75fc8b8a5beaafc1de9f359d4f6f9dcf3b604,e846ebc9277b358ae6ed893c86b1f1f126265634d9dc0d17f2f7e3a9f870bb05,befdc7d5e930b26124600f3cd2a3450d0502937f03dc9bcc57b8e3817b424922,388b5e5db63c7992f66e53d50e3da9a5677dbd405c281e21305d55ff8feca23c,35fe879f1424f7e2c89991203290adbb1f36e255e323c65559821d8ece03e84e
"11","320010106","1","1","502001102","0.7","43.5","0","1"
"67","320010106","3","2","502001103","0.65","13","0","2"
"49","320010106","2","3","0","0.65","-74","0","3"
"13","320010107","1","1","502001108","0.7","-49","0","4"
"62","320010107","3","2","502001109","0.85","-4","0","5"
"50","320010107","2","3","0","0.65","59","0","6"
"-10","320010108","1","1","0","1.05","0","0","7"
"-10","320010109","1","1","0","1.05","-15","0","8"
"-45","320010110","1","1","0","0.43","-85","0","9"
"-45","320010110","2","2","0","0.43","85","0","10"
"11","320010206","1","1","502001202","0.7","43.5","0","11"
"67","320010206","3","2","502001203","0.65","13","0","12"
"49","320010206","2","3","0","0.65","-74","0","13"
"13","320010207","1","1","502001208","0.7","-49","0","14"
"62","320010207","3","2","502001209","0.85","-4","0","15"
"50","320010207","2","3","0","0.65","59","0","16"
"-10","320010208","1","1","0","1.05","0","0","17"
"-10","320010209","1","1","0","1.05","-15","0","18"
"-45","320010210","1","1","0","0.43","-85","0","19"
"-45","320010210","2","2","0","0.43","85","0","20"
"11","320010306","1","1","502001302","0.7","43.5","0","21"
"67","320010306","3","2","502001303","0.65","13","0","22"
"49","320010306","2","3","0","0.65","-74","0","23"
"13","320010307","1","1","502001308","0.7","-49","0","24"
"62","320010307","3","2","502001309","0.85","-4","0","25"
"50","320010307","2","3","0","0.65","59","0","26"
"-10","320010308","1","1","0","1.05","0","0","27"
"-10","320010309","1","1","0","1.05","-15","0","28"
"-45","320010310","1","1","0","0.43","-85","0","29"
"-45","320010310","2","2","0","0.43","85","0","30"
"11","320010406","1","1","502001402","0.7","43.5","0","31"
"67","320010406","3","2","502001403","0.65","13","0","32"
