592b14e4a4104f579a87b44384dcb946b06ac96669c3381f0e878cbada31556d,5d34c46debd061527e26990fd6cc3a3df06d05b0b99c9cebb807af4576ea42d3,3cd467974e28440ff2c6bf27143b02416289d96d8657a31ef44a12f156b78c30,15e91f844393a814df7601fe7b2e2f4787d5d4ccbf71b79da326abddcb81f1bd,e29ac1d02c29d919c0e7ce781f82a7d05be3cb9451c3e96489fb1890970a393c,e2d25df5fb8b99a3681ec927f953dfd9498b3658e864d7d2b5849368882e0314,b27b1a7301154de0b6c6bcdf50ed0a13f98489d841a39064b8b3e58700c75b52,805374ed026a2a19017d29e9484ee2be04a06c9232f9cdbd7c0eb146aa646c91,f412cc9058c1aa964a76b80a5e750192e1baf4f99119befde34aa62a2ec7b6a4,4fdc37485ebb891cac9f21f545adb751298107fed4c5eb0beac7807b7067c3c4
"1","最大50％割引確定のショップを開く（1品100％割引あり）","0","10001","1001","","1","126501","","ライラエル"
"2","最大1000マイルを入手する","0","10001","1002","","2","105301","","モニカ"
"3","料理を{0}つ入手する","0","1","1003","","1","126401","","クローチェ"
"4","ダイスの目を{0}回振りなおせる","0","1","1004","ダイスの目を{0}回振りなおせる\n（あと{1}回）","3","100501","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","マツリ"
"4","ダイスの目を{0}回振りなおせる","0","2","1005","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","101301","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ナナカ"
"5","出目が{0}のダイスを同時に振って\nどちらか選択できる","0","4","1006","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","104301","","マコト"
"5","出目が{0}のダイスを同時に振って\nどちらか選択できる","0","3","1007","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","102701","","エリコ"
"6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","7","1008","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","100901","","アンナ"
"1","最大50％割引確定のショップを開く（1品100％割引あり）","0","10001","1009","","1","105101","","ミツキ"
"2","最大1000マイルを入手する","0","10001","1010","","2","101801","","イオ"
"8","ダイスの表と裏\nどちらを適用するか選択できる","0","0","1011","ダイスの表と裏\nどちらを適用するか選択できる","2","129701","","ネフィ＝ネラ"
"4","ダイスの目を{0}回振りなおせる","0","1","1012","ダイスの目を{0}回振りなおせる\n（あと{1}回）","3","101601","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","スズナ"
"4","ダイスの目を{0}回振りなおせる","0","2","1013","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","105601","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ルカ"
"5","出目が{0}のダイスを同時に振って\nどちらか選択できる","0","3","1014","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","102001","","ミミ"
"6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","7","1015","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","129601","","アネモネ"
"10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1","1","1016","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","2","100401","","ミソギ"
"13","出たダイスの目が{0}だった場合、\n+{1}進める","1","2","1017","出たダイスの目が{0}だった場合、\n+{1}進める","3","127701","","リンド"
"10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1","1","1018","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","2","127801","","ヴルム"
"1","最大50％割引確定のショップを開く（1品100％割引あり）","0","10001","1019","","1","104801","","ミフユ"
"4","ダイスの目を{0}回振りなおせる","0","2","1020","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","104701","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ジュン"
"6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","7","1021","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","105001","","ミサキ"
"2","最大2000マイルを入手する","0","10002","1022","","1","103201","","アキノ"
"12","福引券を{0}枚入手する","0","1","1023","","1","130901","","クルル"
"3","料理を{0}つ入手する","0","1","1024","","1","102501","","スズメ"
"8","ダイスの表と裏\nどちらを適用するか選択できる","0","0","1025","ダイスの表と裏\nどちらを適用するか選択できる","2","100801","","ユキ"
"5","出目が{0}のダイスを同時に振って\nどちらか選択できる","0","4","1026","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","123301","","ネア"
"1","最大50％割引確定のショップを開く（1品100％割引あり）","0","10001","1027","","1","104601","","タマキ"
"4","ダイスの目を{0}回振りなおせる","0","2","1028","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","118101","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ランファ"
"6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","0","7","1029","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","103401","","ユカリ"
"2","最大2000マイルを入手する","0","10002","1030","","1","118001","","クレジッタ"
"12","福引券を{0}枚入手する","0","1","1031","","1","102801","","サレン"
"3","料理を{0}つ入手する","0","1","1032","","1","100201","","ユイ"
