5c6750dbade925d43f57e2403b8a647c5cbdc133db2ba213e805601897486262,71f2694a72e473ca5574034e8c5c1269b5b7e2a5fb50ff203961c516094b6360,fcbc324874f3cdf36928580724ed9de5e6677372b22c61ac91f7e81071ce8646,e9936d495bc3b903bbfdad83d4d5e28025979189f3916ab1c2f4caa1ee9f786d,8206d11ef8d60fbbfc5325231f77d83c0bb36b68868edceea753a25ed34a6066,0006ec7be3e9c1802c5714ae13d647a2dcb1abf0fba005d132955e9e8ef4fd2f,45e25c42adba9fb12998105912d18e9756c792ba8e70ec7de35750bae90560cd,1f2a12369d5a1c873a499bccc401269942d659fea6b77892580e3f3895418f14,2d16d6f92573da8d0965aa1c4cf6157d35efe7fb4dda930dd89f48db2e94b01d,372cb940e834a3a428713b249091af51f0a30a0872f5af99ff77d3267da63dde,7dec29e878210fcb38d0b40a551e0b42097178b89034aaecbc617cecf3708a2b,3f6fc0785a6478031d589801057e2eacc63b990dfd052ef280f8eed03dc9e41b,0771c4359b0ccad1517abfef47e7c2d2b485ebf8cfee236445523d78c28aeec8,ddec39731bda19ff0919add1f29fcc3ad8721e606e7a82a51d13816cb8d9f8b6,68bcd0619f136c8fb1ddea09a739e84048e6f75f45f2ab4612c3f07d8df3976c,4b37202d9abfd46976f01b08f0cb559d14bbc5b6edec6a11ea32eaef4451317a,5b5a055eed9402cead5987a607ea14b4a2f832ae358b07f27a03c59015574f47,69c7c0dee27fccf425c79c36a7bd661a44ae46a23be8b04b9e52013575e9b246,789a9c03309c5a76b4dd7f84aaddb0fe1fcb24e2f4bc90753a1aa15b6c2d1a50,bc17545f787bd3fbcb0d2eaff910a3611d84648f45952e674ca5ecb434a080bf,d12f0d7fd751987204d12f31d4b193ed2ee367d863497814f3b7d86e3762ffdf,8e83b915d4cdd855da1c271c072e74531d46ecad297d944701d9866098942263,3e2a6b4638643d801dc529c83f25771331148ca4ec58426031e09225b8a5d983,a24fc712048cd33a1b13cff9a6405c9073f49ea63b92de867e4751fdbe837209,5ec4bcc510de7354a961e86aba5728bc29bc7917df3dad610b0276fe18744f8c,9d976aab044dc2dcf839ae7d8dbfce1c38fb98fc7ee9e6023b6a5d1f9510a4e6,b935cd2c52fab2ba2d03c8d8d788b48fcfe6e871175afaae9d5ae38c5dc1bd57,4ddebf36bf57af2cbcb79ff52769b90cb34ea5229c0792a0db96ef4fed6d1590,7bd707c01cdd012896194243002b948d5c18d979e1904014fb864faaff9d3fec,34e277a07d653cfae78caee8f37f7ab960a54cec30c7010a9b0dbf8746df74e0,2ae42e548204484ddb24ab29552bf0f34c625e2d6b522cc4546bd891f38917fd,6ad2ddb23655df182a48af7bb27f814e62ebe8e7257af5e35ee36f62ccb8dd47,2953e189e98b334f58581728fe9b73833a9d198eb906c5f15a35819f78cde6ce,bad5314d2b66017f7b81b88522e3e36c753ce4e9798d3481469ca6516c2d30e5
"270","0.6","0","-76","650001011","20001101","1","0","81000105","1.5","0","1","0","1","2000101","0","20001","1","0","340","-40","796","81000105","bgm_M47","770","90","660001001","-50","0","0","bgm_M47","200010","ボスバトル（NORMAL）","1"
"270","0.6","0","-180","650001021","20001201","1","0","81000106","1.5","0","1","0","1","2000102","0","20001","1","0","341","-210","70","81000106","bgm_M47","60","90","660001002","-50","0","0","bgm_M47","200010","ボスバトル（HARD）","2"
"270","0.6","0","10","650001031","20001201","1","0","81000106","1.5","0","1","0","1","2000103","0","20001","1","0","344","-40","520","81000106","bgm_M47","470","90","660001003","-50","0","0","bgm_M47","200010","ボスバトル（VERYHARD）","3"
"40","0.6","0","20","650002011","20002101","1","0","81000205","1.3","0","1","0","1","2000201","0","20002","1","0","5002301","-30","850","81000205","bgm_M102","750","90","660002001","0","0","0","bgm_M102","510021","ボスバトル（NORMAL）","1"
"40","0.6","0","125","650002021","20002201","1","0","81000207","1.3","0","1","0","1","2000202","0","20002","1","0","5002302","20","-250","81000207","bgm_M102","140","90","660002002","0","0","0","bgm_M102","510022","ボスバトル（HARD）","2"
"40","0.6","0","10","650002031","20002201","1","0","81000207","1.3","0","1","0","1","2000203","345","20002","1","0","344","-40","500","81000207","bgm_M102","450","90","660002003","0","0","0","bgm_M102","510022","ボスバトル（VERYHARD）","3"
"20","0.6","0","10","650003011","20003101","1","0","81000305","1.1","0","1","0","1","2000301","0","20003","1","0","5003302","-40","830","81000305","bgm_M109","730","90","660003001","30","0","0","bgm_M109","510031","ボスバトル（NORMAL）","1"
"20","0.6","0","90","650003021","20003201","1","0","81000306","1.1","0","1","0","1","2000302","0","20003","1","0","5003301","20","210","81000306","bgm_M109","180","90","660003002","30","0","0","bgm_M109","510032","ボスバトル（HARD）","2"
"20","0.6","0","10","650003031","20003201","1","0","81000306","1.1","0","1","0","1","2000303","345","20003","1","0","344","-40","500","81000306","bgm_M109","450","90","660003003","30","0","0","bgm_M109","510032","ボスバトル（VERY HARD）","3"
"20","0.6","0","10","650004011","20004101","1","0","81000405","1.1","0","1","0","1","2000401","0","20004","1","0","5004301","-40","870","81000405","bgm_M116","770","90","660004001","30","0","0","bgm_M116","510041","ボスバトル（NORMAL）","1"
"20","0.6","0","10","650004021","20004201","1","0","81000406","1.1","0","1","0","1","2000402","0","20004","1","0","5004302","-40","-30","81000406","bgm_M116","450","90","660004002","30","0","0","bgm_M116","510042","ボスバトル（HARD）","2"
"20","0.6","0","-10","650004031","20004201","1","0","81000406","1.1","0","1","0","1","2000403","0","20004","1","0","5004308","-40","500","81000406","bgm_M116","450","90","660004003","30","0","0","bgm_M116","510042","ボスバトル（VERYHARD）","3"
"90","0.6","0","10","650005011","20005101","1","0","81000505","1.3","0","1","0","1","2000501","0","20005","1","0","5005301","-40","870","81000505","bgm_M124","770","90","660005001","90","0","0","bgm_M124","510051","ボスバトル（NORMAL）","1"
"90","0.6","0","-100","650005021","20005201","1","0","81000506","1.3","0","1","0","1","2000502","0","20005","1","0","5005302","-40","380","81000506","bgm_M124","450","90","660005002","90","0","0","bgm_M124","510052","ボスバトル（HARD）","2"
"90","0.6","0","58","650005031","20005201","1","0","81000506","1.3","0","1","0","1","2000503","0","20005","1","0","5005308","-40","520","81000506","bgm_M124","450","90","660005003","90","0","0","bgm_M124","510052","ボスバトル（VERYHARD）","3"
"120","0.6","0","14","650006011","20006101","1","0","81000605","1.5","0","1","0","0.8","2000601","0","20006","1","0","5006301","-40","888","81000605","bgm_M131","770","90","660006001","0","0","0","bgm_M131","510061","ボスバトル（NORMAL）","1"
"120","0.6","0","14","650006021","20006201","1","0","81000606","1.5","0","1","0","0.8","2000602","0","20006","1","0","5006302","-40","42","81000606","bgm_M131","450","90","660006002","0","0","0","bgm_M131","510062","ボスバトル（HARD）","2"
"120","0.6","0","-60","650006031","20006201","1","0","81000606","1.5","0","1","0","0.8","2000603","0","20006","1","0","5006308","-40","500","81000606","bgm_M131","450","90","660006003","0","0","0","bgm_M131","510062","ボスバトル（VERY HARD）","3"
"140","0.6","0","10","650007011","20007103","1","0","81000705","1.3","0","1","0","1","2000701","0","20007","1","0","5007301","-40","482","81000705","bgm_M138","770","90","660007001","-50","0","0","bgm_M138","510071","ボスバトル（NORMAL）","1"
