f4b69c9d298a94891c9807bcd9674db8df1a0424bdf3a8a561421e750f33d875,52a4321f7a46178e1d914c9c07d1671156398f91047ca1d302ead65371aed603,22b9fba15d1662c08f1d6f8ed787c7a53656a82adb2652c6ee1476c987ae804d,1078aae9fa8bad42f23e25b2f661fdcca02c32edd6cc7308493656a0f856f009,04e85f4c0d9772f6df0ff845eb2d916360bcec8dae3af8655799d41792d9f13e,87439c8e2085de053b44506df5326f01717fc05c22898bdcd9516be88f85eea6,5f74c2f694aeaf3b2f605de345c3b19f6da7ff0e69c53f927f2106db5c1c7b49,5504dfb18350e3ba1576f2112dd1e5df4c5ad1b09054869c8f6c5efa2643128c,a60075c38081aadcd38f2d7c06fdc71f704de19105aae84e41aa35d98089dca7,978fcd0a6f0bf67c65ef41215952d5a4f77b7da72c564acd943b4bdea78b0a0c,91101c6a5f7a2a9f9b5ade51eec1fe70fa1efb47a80aba8b02367e975d292672,e22fdb4836d27785edb57d3dcd3b37370efbbc321c9dd64f2e5d5b4ea44c5204,5e73c4796c762fa47d5d7dc5d0e85ff5927dbea1ae0e15869b5ed885097191fe,3a6ba4869700de2a64f65d651960df3e33be7bae2c8cacc50cfc0b94a319d348,86600dcc354044bcc39ebf65feab4be0079d722351d813a1ac9cfa6e1c89e96e,db1d868361e74a9fdd61aaa8e64acf8ddc99519d65aa4edd0e90f07b838bcc39,a863a10ffc24eed19ee1990d06084038518d58b883772c4fdcef0e6a1134f453,95a8b74b35d2337fd91da49c3bb5e622a24b4517bbbce5e20fd5284555e92c41
"0","0","累計スコアを10000pt 獲得しよう","0","0","0","1","12","0","0","0","0","100000","0","10000","0","94002","0"
"0","0","累計スコアを20000pt 獲得しよう","0","0","0","2","8","0","0","0","0","50","0","20000","0","91002","0"
"0","0","累計スコアを30000pt 獲得しよう","0","0","0","3","12","0","0","0","0","100000","0","30000","0","94002","0"
"0","0","累計スコアを50000pt 獲得しよう","0","0","0","4","8","0","0","0","0","50","0","50000","0","91002","0"
"0","0","累計スコアを80000pt 獲得しよう","0","0","0","5","12","0","0","0","0","100000","0","80000","0","94002","0"
"0","0","累計スコアを100000pt 獲得しよう","0","0","0","6","12","0","0","0","0","100000","0","100000","0","94002","0"
"0","0","累計スコアを120000pt 獲得しよう","0","0","0","7","8","0","0","0","0","100","0","120000","0","91002","0"
"0","0","累計スコアを150000pt 獲得しよう","0","0","0","8","12","0","0","0","0","200000","0","150000","0","94002","0"
"0","0","累計スコアを200000pt 獲得しよう","0","0","0","9","12","0","0","0","0","200000","0","200000","0","94002","0"
"0","0","累計スコアを250000pt 獲得しよう","0","0","0","10","8","0","0","0","0","100","0","250000","0","91002","0"
"0","0","累計スコアを300000pt 獲得しよう","0","0","0","11","12","0","0","0","0","200000","0","300000","0","94002","0"
"0","0","累計スコアを350000pt 獲得しよう","0","0","0","12","12","0","0","0","0","200000","0","350000","0","94002","0"
"0","0","累計スコアを400000pt 獲得しよう","0","0","0","13","8","0","0","0","0","100","0","400000","0","91002","0"
