7621bbdbe0d621f290a527db0c5e0540bbda93fc86b65a4e386869c9b70c2827,8332488f60bce556797e7093f244b38edb1b5062cb8f61fe03aed1389b7b3b75,8ee82d1b7f0d59db59137c9e0da3ebadd13ca1ef8c8ca620858674171641d695,8b6a06fc4f9b9e33762930b7428c8c9b40327239161e3bad5a6e8704faf06a1f,b6c4cfb4482a3e74b6f2e21a18dab695f7c7767342cb1813b7e51eabc8cab274,0409c3d1f6640d85e1ff838f6f8ca2d829c0ee89fc9e3112315c86ac25cc73a8,71f294c663fe7c3c5f63045ef9f1f2a7ef78cc2df07196fe2cc995ea6a5af2c4,2803c6f087a9b39df18e987476c14c0cbd24d3993ec50c3258badf925c04a456,5eb1e63091935e6011e2d5defc18f5e95a0df84e0b80cece30f2cde7b6626000,52e4438aad3c35b3a0bdd0f0bbc52e6b4b3ac0d2cdfb711a507ea49db1f21ccf,8e3d800d956ebb02d99889f076108ae952121c82480f998e22d4524e545b9893,34ef0fdd98ea615e843ff59124c9a8a0ccca4dfb89ae4261e0e93d72644f48be
"1","0","4","0","2","1","0","104","0","0","101","11041"
"2","0","2","0","3","2","0","14","0","1","201","10141"
"3","0","2","0","2","3","0","103","0","2","301","11031"
"4","0","1","0","1","4","0","102","0","3","401","11021"
"5","0","4","0","2","5","0","104","0","4","501","11041"
"6","0","1","0","3","6","0","1","0","5","601","10011"
"7","0","3","0","4","7","0","101","0","6","701","11011"
"8","0","1","0","3","8","0","100","0","7","801","11001"
"9","0","4","0","2","9","0","104","0","8","901","11041"
"10","0","2","0","3","10","0","1","0","9","1001","10011"
"11","0","1","0","4","11","0","51","0","10","1101","10511"
"12","0","2","0","3","12","0","52","0","11","1201","10521"
"13","0","4","0","2","13","0","104","0","12","1301","11041"
"14","0","1","0","1","14","0","103","0","13","1401","11031"
"15","0","1","0","2","15","0","102","0","14","1501","11021"
"16","0","1","0","3","16","0","1","0","15","1601","10011"
"17","0","4","0","2","17","0","104","0","16","1701","11041"
"18","0","2","0","3","18","0","50","0","17","1801","10501"
"19","0","3","0","4","19","0","101","0","18","1901","11011"
"20","0","2","0","3","20","0","100","0","19","2001","11001"
"21","0","4","0","2","21","0","104","0","20","2101","11041"
"22","0","3","0","1","22","0","1","0","21","2201","10011"
"23","0","2","0","3","23","0","100","0","22","2301","11001"
"24","0","2","0","2","24","0","101","0","23","2401","11011"
"25","0","4","0","3","25","0","104","0","24","2501","11041"
"26","0","3","0","4","26","0","50","0","25","2601","10501"
"27","0","3","0","3","27","0","52","0","26","2701","10521"
"28","0","1","0","1","28","0","50","0","27","2801","10501"
"29","0","4","0","2","29","0","104","0","28","2901","11041"
"30","0","3","0","1","30","0","51","0","29","3001","10511"
"31","0","2","0","2","31","0","100","0","30","3101","11001"
"32","0","1","0","3","32","0","101","0","31","3201","11011"
"33","0","4","0","4","33","0","104","0","32","3301","11041"
"34","0","3","0","3","34","0","100","0","33","3401","11001"
"35","0","4","0","2","35","0","104","0","34","3501","11041"
"36","0","2","0","3","36","0","103","0","35","3601","11031"
"37","0","1","0","2","37","0","102","0","36","3701","11021"
"38","0","2","0","1","38","0","50","0","37","3801","10501"
"39","0","3","0","3","39","0","102","0","38","3901","11021"
"40","0","4","0","4","40","0","104","0","39","4001","11041"
"41","0","1","0","3","41","0","100","0","40","4101","11001"
"42","0","3","0","2","42","0","52","0","41","4201","10521"
"43","0","4","0","1","43","0","104","0","42","4301","11041"
