05c892729918b9bea4597a069b9149c931f0e2ced1099f887a4d155a8f75d9d1,494af3c62d48fb90082828cb3b49c7c4bd03b01b4fab11f49296db65e4bbde8c,d5ff486f546a3581ad4da08890e1b255671df97d09b2573132ccad747bd110d2,ae89cff3ec32daf6c10707bea1d5ef3cddc2626de42b3cc283fded27c9a231f7,f6f465d9acd651353285457c8dcea560783a765c47c4e2929e719fa484a49a04,4b1d8e857f5a380faba2956712fc31230a8daf564515b0101a0165a281d550d5,7287cbe430ef2185ce5cf47cf411018e519e0e811859691af4396db633f4ab86,6965856763a3509ba5a33cf49c7be90daf4fd7fdaa6342db350a7d90c6b2d5f8,f987d30b72611b62274a8e7004d4e1c6d5c7cc91426d0199b047ede5e7a73a89,3540884930a1a60fe3e5aa7ebcd4ecb835ddb4b78905b1d794dab923f9049d3e,c6c47d4203134574493825f8ab56aa15942b2a80da4cf88e1d2e2098fb953bde
"25014","31","2","2","8","1","25021","91002","10","284001001","8"
"25014","31","2","2","8","2","25021","91002","10","284001002","8"
"25014","32","2","2","8","3","25021","91002","10","284001003","8"
"25014","32","2","2","8","4","25021","91002","10","284001004","8"
"25014","33","2","2","8","5","25021","91002","10","284001005","8"
"25014","33","2","2","8","6","25021","91002","10","284001006","9"
"25014","34","2","2","8","7","25021","91002","10","284001007","9"
"25014","35","2","2","8","8","25021","91002","10","284001008","9"
"25014","35","2","2","8","9","25021","91002","10","284001009","9"
"25014","37","2","2","8","10","25021","91002","30","284001010","10"
"25014","41","2","2","8","11","25021","91002","10","284001011","10"
"25014","43","2","2","8","12","25021","91002","10","284001012","11"
"25014","46","2","2","8","13","25021","91002","10","284001013","11"
"25014","48","2","2","8","14","25021","91002","10","284001014","12"
"25014","50","2","2","8","15","25021","91002","10","284001015","12"
"25014","53","2","2","8","16","25021","91002","10","284001016","13"
"25014","55","2","2","8","17","25021","91002","10","284001017","14"
"25014","58","2","2","8","18","25021","91002","10","284001018","14"
"25014","60","2","2","8","19","25021","91002","10","284001019","15"
"25014","62","2","2","8","20","25021","91002","30","284001020","15"
"25014","68","2","2","8","21","25021","91002","10","284001021","16"
"25014","70","2","2","8","22","25021","91002","10","284001022","16"
"25014","72","2","2","8","23","25021","91002","10","284001023","16"
"25014","75","2","2","8","24","25021","91002","10","284001024","17"
"25014","77","2","2","8","25","25021","91002","10","284001025","18"
"25014","79","2","2","8","26","25021","91002","10","284001026","18"
"25014","82","2","2","8","27","25021","91002","10","284001027","19"
"25014","84","2","2","8","28","25021","91002","10","284001028","19"
"25014","86","2","2","8","29","25021","91002","10","284001029","19"
"25014","89","2","2","8","30","25021","91002","30","284001030","20"
"25014","94","2","2","8","31","25021","91002","10","284001031","20"
"25014","96","2","2","8","32","25021","91002","10","284001032","21"
"25014","99","2","2","8","33","25021","91002","10","284001033","21"
"25014","101","2","2","8","34","25021","91002","10","284001034","22"
"25014","103","2","2","8","35","25021","91002","10","284001035","22"
"25014","106","2","2","8","36","25021","91002","10","284001036","23"
"25014","108","2","2","8","37","25021","91002","10","284001037","23"
"25014","111","2","2","8","38","25021","91002","10","284001038","24"
"25014","113","2","2","8","39","25021","91002","10","284001039","25"
"25014","115","2","2","8","40","25021","91002","30","284001040","25"
"25014","121","2","2","8","41","25021","91002","10","284001041","26"
"25014","123","2","2","8","42","25021","91002","10","284001042","27"
"25014","125","2","2","8","43","25021","91002","10","284001043","28"
"25014","128","2","2","8","44","25021","91002","10","284001044","28"
"25014","130","2","2","8","45","25021","91002","10","284001045","29"
"25014","132","2","2","8","46","25021","91002","10","284001046","30"
"25014","135","2","2","8","47","25021","91002","10","284001047","30"
"25014","137","2","2","8","48","25021","91002","10","284001048","31"
"25014","139","2","2","8","49","25021","91002","10","284001049","31"
"25014","142","2","2","8","50","25021","91002","30","284001050","31"
