cc7b6c1d1748ea6fbcdf45095d56748b953ee7c28b7abf7922c9f3d87d11bedc,419b608157de588373fefc46b99018e42b06fe1c66d49ead6a5a659e83b00fe9,d1d2e2b846089358756874246ae732e81d4e8811ad2aa148291e73166813b52e,689bdbc143bebfd038320f681fdedb24950a7256c734e38c6ff0ea1944bc838b,d31e61ed41becc1693e5c1a566dec5d87901aad61dbdad28082c128714dcbc65,e0b49402ef80d032b5af76355be7f43e4bfaa041c7842a9de9bb0135c5aef3a2,4c9f4c202f86e78346e3e2271254792a3da07c13bc325fc3c5939c060a0988b7,214b3a93d89e48d49280f786af69a01a59c51f6fe7fc1ae0f9222bbb43a4941d,efba51914fa1a2f625a1d24bc72f67f6b91abdccb30aea872ebd4fe8f22ee66d,c836db830b0941226c28095f4934feb1ed2c397471184df7bda0e78be7c1b29a,66212e2ee9271b88243fe20156bf05baf1b963fb75d5cac3b47dd68867d7ab13
"1.3","1","-250","1001","<weapon>_idle","55","0","2","110010001","-100","1000001"
"1","31","1","1001","","0","","100","110010002","0","100"
"0","31","1","1001","","0","","101","110010003","0","101"
"1","31","1","1001","","0","","4","110010004","0","4"
"1","31","1","1001","","94.5","","5","110010005","0","5"
"","91","","1001","","","","0","110010006","","0"
"","93","","1001","","","","0.4","110010007","","0"
"0.2","3","","1001","","0","","1000001","110010008","","<weapon>_joy_short"
"","93","","1001","","","","1.3","110010009","","0"
"0","3","","1001","","1","","1000001","110010010","","<weapon>_run"
"","2","0","1001","","-250","","1000001","110010011","1","800"
"","93","","1001","","","","0.7","110010012","","0"
"","32","","1001","","","","101","110010013","","1"
"","93","","1001","","","","0.7","110010014","","0"
"1.3","1","-250","1101","<weapon>_run","55","0","2","111010001","-640","1000001"
"1","31","1","1101","","0","","100","111010002","0","100"
"0","31","1","1101","","0","","101","111010003","0","101"
"1","31","1","1101","","0","","4","111010004","0","4"
"","35","","1101","","","","4","111010005","","0"
"1","31","1","1101","","0","","5","111010006","0","5"
"1","31","1","1101","","0","","10","111010007","0","10"
"","91","","1101","","","","0","111010008","",""
"","35","","1101","","","","100","111010009","","1"
"","2","0","1101","","-250","","1000001","111010010","2.1","640"
"","93","","1101","","","","1.7","111010011","","0"
"","32","","1101","","","","101","111010012","","1"
"","93","","1101","","","","0.7","111010013","","0"
"1.3","1","-240","2001","look_loop","55","0","1","120010001","0","1000001"
"0","31","1","2001","","0","0","1","120010002","0","1"
"","35","","2001","","","","1","120010003","","0"
"","32","","2001","","","","1","120010004","","1"
"1","31","1","2001","","345.4","0","2","120010005","0","2"
"","35","","2001","","","","2","120010006","","0"
"0","31","1","2001","","345.4","0","3","120010007","0","3"
"","35","","2001","","","","3","120010008","","0"
"","32","","2001","","","","3","120010009","","1"
"1","31","1","2001","","-345.4","","31000001","120010010","0","31000001"
"1","31","1","2001","","345.4","","31000002","120010011","0","31000002"
"1","31","1","2001","","0","","100","120010012","0","100"
"0","31","1","2001","","0","","101","120010013","0","101"
"","91","","2001","","","","0","120010014","",""
"","35","","2001","","","","100","120010015","","1"
"0","3","1","2001","","0","0","1000001","120010016","look_loop","look_in"
"","93","","2001","","","","1.3","120010017","","0"
"0","31","1","2101","","0","","12","121010001","0","998"
"0","31","1","2101","","0","","14","121010002","0","997"
"0","31","1","2101","","0","","16","121010003","0","996"
"","32","","2101","","","","31000001","121010004","","0"
"","32","","2101","","","","31000002","121010005","","0"
"0","121","0","2101","","-1","","0","121010006","1","0"
"","35","","2101","","","","1","121010007","","1"
"","35","","2101","","","","3","121010008","","1"
"0","3","","2101","","0","","1000001","121010009","","pointing"
"","93","","2101","","","","1","121010010","","0"
"0","121","2","2101","","-1.47","","505","121010011","1.47","100"
"0.2","3","","2101","","1","","1000001","121010012","","run_talk1"
"","2","0","2101","","-240","","1000001","121010013","1","100"
"","23","","2101","","0","","se_travel","121010014","","se_travel_treasure_cha_run"
"","93","","2101","","","","1","121010015","","0"
"0","31","1","2201","","0","","11","122010001","0","998"
"0","31","1","2201","","0","","13","122010002","0","997"
"0","31","1","2201","","0","","15","122010003","0","996"
"","32","","2201","","","","31000001","122010004","","0"
"","32","","2201","","","","31000002","122010005","","0"
"","35","","2201","","","","1","122010006","","1"
"","35","","2201","","","","3","122010007","","1"
"0","3","","2201","","0","","1000001","122010008","","pointing"
"","93","","2201","","","","1","122010009","","0"
"0","121","2","2201","","1.47","","-505","122010010","1.47","100"
"0.2","3","","2201","","1","","1000001","122010011","","run_talk1"
"","2","0","2201","","-240","","1000001","122010012","1","100"
"","23","","2201","","0","","se_travel","122010013","","se_travel_treasure_cha_run"
"","93","","2201","","","","1","122010014","","0"
"0","31","1","3000","","345.4","","300000","130000001","0","300000"
"","91","","3000","","","","0","130000002","",""
"0","123","7.4","3000","","1.05","","1.05","130000003","1.05","1.05"
"0.2","3","","3000","","0","","1000001","130000004","","wait"
"","35","","3000","","","","2","130000005","","1"
"","93","","3000","","","","4.9","130000006","","0"
"0","123","0.4","3000","","0.95","","0.95","130000007","0.95","0.95"
"","32","","3000","","","","300000","130000008","","1"
"","93","","3000","","","","0.1","130000009","","0"
"","32","","3000","","","","2","130000010","","0"
"","93","","3000","","","","0.1","130000011","","0"
"","32","","3000","","","","996","130000012","","1"
"0","3","","3000","","0","","1000001","130000013","","joy_from_wait"
"","93","","3000","","","","1.9","130000014","","0"
"0","3","","3000","","0","","1000001","130000015","","glad_from_joy"
"","93","","3000","","","","1.5","130000016","","0"
"0.2","3","","3000","","1","","1000001","130000017","","run_gatein"
"","23","","3000","","","","se_travel","130000018","","se_travel_treasure_cha_run"
"","2","0","3000","","-195","","1000001","130000019","1","450"
"","93","","3000","","","","0.5","130000020","","1"
"0.4","6","0","3000","","1","0","1000001","130000021","1","1"
"","93","","3000","","","","0.4","130000022","","0"
"","113","","3000","","","","1","130000023","",""
"0","31","1","3001","","345.4","","300100","130010001","0","300100"
"1","31","1","3001","","345.4","","990001","130010002","0","990001"
"","91","","3001","","","","0","130010003","",""
"0","123","7.4","3001","","1.05","","1.05","130010004","1.05","1.05"
"0.2","3","","3001","","0","","1000001","130010005","","wait"
"","35","","3001","","","","2","130010006","","1"
"","93","","3001","","","","5.4","130010007","","0"
"0","123","0.4","3001","","0.95","","0.95","130010008","0.95","0.95"
"0.2","3","","3001","","0","","1000001","130010009","","glad"
"","32","","3001","","","","300100","130010010","","1"
"","32","","3001","","","","996","130010011","","1"
"","93","","3001","","","","0.1","130010012","","0"
"","32","","3001","","","","2","130010013","","0"
"","32","","3001","","","","3","130010014","","0"
"","93","","3001","","","","1.5","130010015","","0"
"0.2","3","","3001","","0","","1000001","130010016","","joy"
"","93","","3001","","","","1.7","130010017","","0"
"0","3","","3001","","1","","1000001","130010018","","run_gatein"
"","2","0","3001","","-195","","1000001","130010019","1","450"
"","93","","3001","","","","0.5","130010020","","1"
"0.4","6","0","3001","","1","0","1000001","130010021","1","1"
"","93","","3001","","","","0.4","130010022","","0"
"","113","","3001","","","","1","130010023","",""
"0","31","1","3002","","345.4","","300100","130020001","0","300100"
"1","31","1","3002","","345.4","","990002","130020002","0","990002"
"","91","","3002","","","","0","130020003","",""
"0","123","7.4","3002","","1.05","","1.05","130020004","1.05","1.05"
"0.2","3","","3002","","0","","1000001","130020005","","wait"
"","35","","3002","","","","2","130020006","","1"
"","93","","3002","","","","5.4","130020007","","0"
"0","123","0.4","3002","","0.95","","0.95","130020008","0.95","0.95"
"0.2","3","","3002","","0","","1000001","130020009","","glad"
"","32","","3002","","","","300100","130020010","","1"
"","32","","3002","","","","996","130020011","","1"
"","93","","3002","","","","0.1","130020012","","0"
"","32","","3002","","","","2","130020013","","0"
"","32","","3002","","","","3","130020014","","0"
"","93","","3002","","","","1.5","130020015","","0"
"0.2","3","","3002","","0","","1000001","130020016","","joy"
"","93","","3002","","","","1.7","130020017","","0"
"0","3","","3002","","1","","1000001","130020018","","run_gatein"
"","2","0","3002","","-195","","1000001","130020019","1","450"
"","93","","3002","","","","0.5","130020020","","1"
"0.4","6","0","3002","","1","0","1000001","130020021","1","1"
"","93","","3002","","","","0.4","130020022","","0"
"","113","","3002","","","","1","130020023","",""
"0","31","1","3011","","345.4","","6","130110001","0","6"
"0","31","1","3011","","345.4","","8","130110002","0","8"
"0","31","1","3011","","345.4","","301100","130110003","0","301100"
"","91","","3011","","","","0","130110004","",""
"0","123","7.4","3011","","1.05","","1.05","130110005","1.05","1.05"
"0.2","3","","3011","","0","","1000001","130110006","","wait"
"","35","","3011","","","","2","130110007","","1"
"","93","","3011","","","","4.9","130110008","","0"
"0","123","0.3","3011","","0.95","","0.95","130110009","0.95","0.95"
"","23","","3011","","0","","se_travel","130110010","","se_travel_treasure_ghost_success"
"","32","","3011","","","","8","130110011","","1"
"","35","","3011","","","","8","130110012","","0"
"","32","","3011","","","","6","130110013","","1"
"","93","","3011","","","","0.1","130110014","","0"
"","32","","3011","","","","2","130110015","","0"
"","32","","3011","","","","3","130110016","","0"
"","3","","3011","","0","","1000001","130110017","","dotEyes"
"","93","","3011","","","","0.87","130110018","","0"
"0.2","3","","3011","","0","","1000001","130110019","","glad"
"","32","","3011","","","","301100","130110020","","1"
"","35","","3011","","","","8","130110021","","1"
"","93","","3011","","","","0.6","130110022","","0"
"","32","","3011","","","","996","130110023","","1"
"","93","","3011","","","","0.5","130110024","","0"
"","3","","3011","","0","","1000001","130110025","","joy"
"","93","","3011","","","","1.67","130110026","","0"
"0","3","","3011","","1","","1000001","130110027","","run_gatein"
"","2","0","3011","","-195","","1000001","130110028","1","450"
"","93","","3011","","","","0.5","130110029","","1"
"0.4","6","0","3011","","1","0","1000001","130110030","1","1"
"","93","","3011","","","","0.4","130110031","","0"
"","113","","3011","","","","1","130110032","",""
"0.2","3","","3012","","1","","1000001","130120001","","idle"
"0","31","1","3012","","0","","301200","130120002","0","13"
"0","31","1","3012","","0","","101","130120003","0","14"
"0","31","1","3012","","260","","301204","130120004","-150","16"
"0","31","1","3012","","0","","301205","130120005","0","17"
"0","31","1","3012","","345.4","","6","130120006","0","18"
"0","31","1","3012","","345.4","","301201","130120007","0","20"
"0","31","1","3012","","345.4","","301202","130120008","0","21"
"1","5","-234","3012","round_monster_walk","55","0","1","130120009","9340","3"
"","91","","3012","","","","0","130120010","",""
"0","6","0","3012","","1","0","3","130120011","1","1"
"0","2","0","3012","","-234","0","3","130120012","0","345"
"0","123","7.4","3012","","1.05","0","1.05","130120013","1.05","1.05"
"0.2","3","","3012","","0","","1000001","130120014","","wait"
"","35","","3012","","","","2","130120015","","1"
"0","31","1","3012","","0","","301203","130120016","0","15"
"0.89","1","-250","3012","<weapon>_run","57","0","2","130120017","9340","1000002"
"","93","","3012","","","","4.3","130120018","","0"
"0","123","0.4","3012","","0.95","","0.95","130120019","0.95","0.95"
"","32","","3012","","","","21","130120020","","1"
"","35","","3012","","","","21","130120021","","0"
"","23","","3012","","","","se_travel","130120022","","se_travel_treasure_success_monster_helper_1"
"","32","","3012","","","","18","130120023","","1"
"","93","","3012","","","","0.1","130120024","","0"
"","32","","3012","","","","2","130120025","","0"
"0.3","6","1","3012","","1","0","3","130120026","1","1"
"","32","","3012","","","","13","130120027","","1"
"","3","","3012","","0","","3","130120028","","round_monster_appear"
"","3","","3012","","0","","1000001","130120029","","back"
"","93","","3012","","","","0.67","130120030","","0"
"0.2","3","","3012","","0","","3","130120031","","round_monster_walk"
"","2","0","3012","","-234","","3","130120032","1.4","220"
"","32","","3012","","","","20","130120033","","1"
"","93","","3012","","","","0.1","130120034","","0"
"","32","","3012","","","","18","130120035","","0"
"","93","","3012","","","","0.5","130120036","","0"
"","4","","3012","","","","1000002","130120037","","1"
"","2","0","3012","","-240","","1000002","130120038","0","1445"
"","93","","3012","","","","0.5","130120039","","0"
"0.3","3","","3012","","0","","3","130120040","","round_monster_attack"
"","93","","3012","","","","0.5","130120041","","0"
"","32","","3012","","","","17","130120042","","1"
"0.1","3","","3012","","0","","1000001","130120043","","back_loop"
"","93","","3012","","","","0.5","130120044","","0"
"","2","0","3012","","-240","","1000002","130120045","0","950"
"","2","0","3012","","-240","","1000002","130120046","0.16","650"
"0.2","3","","3012","","0","","1000002","130120047","","<weapon>_run"
"","93","","3012","","","","0.16","130120048","","0"
"0.2","3","","3012","","0","","1000002","130120049","","<weapon>_attack_skipQuest"
"","93","","3012","","","","0.1","130120050","","0"
"","2","0","3012","","-234","","3","130120051","0","280"
"","4","","3012","","","","3","130120052","","1"
"0.2","3","","3012","","0","","3","130120053","","round_monster_die"
"","32","","3012","","","","16","130120054","","1"
"","93","","3012","","","","0.5","130120055","","0"
"","2","0","3012","","-240","","1000001","130120056","0","20"
"0","3","","3012","","0","","1000001","130120057","","back_origin"
"0.2","3","","3012","","0","","1000001","130120058","","surprise"
"0.2","3","","3012","","1","","1000002","130120059","","<weapon>_idle"
"","93","","3012","","","","0.66","130120060","","0"
"","32","","3012","","","","15","130120061","","1"
"","32","","3012","","","","996","130120062","","1"
"0.6","6","0","3012","","1","","3","130120063","1","1"
"0.2","3","","3012","","0","","1000001","130120064","","joy_short"
"","32","","3012","","","","18","130120065","","1"
"","93","","3012","","","","0.02","130120066","","0"
"","32","","3012","","","","20","130120067","","0"
"","32","","3012","","","","21","130120068","","0"
"","93","","3012","","","","1.5","130120069","","0"
"0.2","3","","3012","","0","","1000001","130120070","","smile"
"0","3","","3012","","1","","1000002","130120071","","<weapon>_run"
"","4","","3012","","","","1000002","130120072","","0"
