a4c118bbb5bc32b301341e01aedd2f02811b304281421f34420873949a8997c5,0c3cfeb42474a5caea7bc3ff9dd3b65d6001517f1dc3c9b05b2413951a4fef84,ffd9eb0e14e14f4f55eb860c698826a1502d9fc2d00b64d2e09b9072155c174e,b525e34420b984964a05d858414b07e57e654f377194d76481f29bb262f6aac2,ed84801301d46cd457b67f01fa8d6874c9f0517f58c7c1f133e0ec755b4348ae,25f15642b9e2eb46d4469591181796f02c60547d8a9afa797de071041bf5f713,e7f773828d410d7f6ae4d2ab8b27713261661650af40320eb09e5218a169446a,26919ed156cc27a5d4be31038ba7ffbcbe1fd5a726fa764969087064b1e11492,a97dad4d8e3ecbaf1c882c7d31f3fa9cfd5c448060d05f11469d198e8a143fbe,8bec86c22d12d8a92b00a854e2c07d50df61fb9a1ff1dcaf363b8c0daccd0c4b,b75db5d02559d4de4dffbddbac0e30bcabf05f277412f939323662182f73a7f2,4222c94b06509927f61473c518055437720d2997b81c52e1cc333a861d2c7752,392f17d0cacef68f24d7731b4839cb5250a5f7592984e180cb95336faa812216,199ca372b3b7d2391dd2ddeb1ff049c4146c2f30b20f235fd0821ca176b44957,af24979ff9a519f9a7b14187bfaac1ec25dc1928fb124d23a1d7e993d12c01fc,7029932c37fed0696ff0d35a0360d7fd2314f589ea32040891fcb7b40638585b,6683595674f305d861dc7359121b3b18e3db57cc97d872cabae61ad1810abfbc,40b9ba9efbdd5bf15540c8a6bd3f013271e48b1d9877c48692385fe49ddae322
"5","94002","0","20003","150000","1","0","22003","8","12","5","20","2","91002","2","1","0","150"
"2","94002","0","20003","100000","6","0","22003","8","12","9","15","2","91002","2","2","0","145"
"5","94002","0","20003","80000","10","0","22002","8","12","19","11","2","91002","2","3","0","140"
"5","94002","0","20003","80000","20","0","22002","8","12","29","10","2","91002","2","4","0","130"
"4","94002","0","20003","70000","30","0","22002","8","12","39","9","2","91002","2","5","0","120"
"4","94002","0","20003","70000","40","0","22002","8","12","49","8","2","91002","2","6","0","110"
"3","94002","0","20003","60000","50","0","22002","8","12","99","7","2","91002","2","7","0","100"
"2","94002","0","20003","40000","100","0","22002","8","12","499","2","2","91002","2","8","0","80"
"1","94002","0","20002","20000","500","0","22002","8","12","999","7","2","91002","2","9","0","50"
"3","94002","0","20002","16000","1000","0","22001","8","12","4999","4","2","91002","2","10","0","20"
"2","94002","0","20002","9000","5000","0","22001","8","12","9999","3","2","91002","2","11","0","15"
"1","94002","0","20001","4000","10000","0","22001","8","12","11999","8","2","91002","2","12","0","10"
"1","94002","0","20001","3000","12000","0","22001","8","12","13999","7","2","91002","2","13","0","5"
"1","94002","0","20001","2000","14000","0","22001","8","12","14999","6","2","91002","2","14","0","4"
"1","94002","0","20001","1800","15000","0","22001","8","12","30000","5","2","91002","2","15","0","3"
