729fc5f0daa21c2ac3a2ef2b2be1a5b79e99e831a54a146a1c2a225aaf2ccf24,9037319c78c33a8d9cce0890bb28fa934ce6e062f9493b7ffca045de27fe3251,97c8e3b5c3b68a3f48d5ba843d2463271cf3b9842ffcc70aac8c114f4228b853,8410f513e53ea9b1fa3f1f73a6712e951abed6d8b851f8b9f0fb16f5ec9c25ae,538a7ed0843b73451e59d803f154ffde6a59efe2d1946f1fbd9703b29d498919,70f78261a82532bc1eed8cd199b90e7bcbcde6bdbd83ba93d2edb835ae02c279,2b7d07deb7e339a7a2bb86bc8fbf002f919fc97986104a91d2f46fce5f57beae,bb0e491dd0c998bc750507a1051c1c526c5310e65fbf3244288967660158daea,5a3b9a52feed1dddcea1b962e0c569a4f8f8bec16acd4b8dd710bcbe4a733d3e,723d5590884447aae4755dab84b9a476b94d7fecb21970276d4ae51b3202909b,67663cbce5c32c5fe19574eb4eb85ca73c03d1fd00c5793480359a7b8a701ce3
"31","1","25011","2","10","2","8","281001001","8","25021","91002"
"31","2","25011","2","10","2","8","281001002","8","25021","91002"
"32","3","25011","2","10","2","8","281001003","8","25021","91002"
"32","4","25011","2","10","2","8","281001004","8","25021","91002"
"33","5","25011","2","10","2","8","281001005","8","25021","91002"
"33","6","25011","2","10","2","8","281001006","9","25021","91002"
"34","7","25011","2","10","2","8","281001007","9","25021","91002"
"35","8","25011","2","10","2","8","281001008","9","25021","91002"
"35","9","25011","2","10","2","8","281001009","9","25021","91002"
"37","10","25011","2","30","2","8","281001010","10","25021","91002"
"41","11","25011","2","10","2","8","281001011","10","25021","91002"
"43","12","25011","2","10","2","8","281001012","11","25021","91002"
"46","13","25011","2","10","2","8","281001013","11","25021","91002"
"48","14","25011","2","10","2","8","281001014","12","25021","91002"
"50","15","25011","2","10","2","8","281001015","12","25021","91002"
"53","16","25011","2","10","2","8","281001016","13","25021","91002"
"55","17","25011","2","10","2","8","281001017","14","25021","91002"
"58","18","25011","2","10","2","8","281001018","14","25021","91002"
"60","19","25011","2","10","2","8","281001019","15","25021","91002"
"62","20","25011","2","30","2","8","281001020","15","25021","91002"
"68","21","25011","2","10","2","8","281001021","16","25021","91002"
"70","22","25011","2","10","2","8","281001022","16","25021","91002"
"72","23","25011","2","10","2","8","281001023","16","25021","91002"
"75","24","25011","2","10","2","8","281001024","17","25021","91002"
"77","25","25011","2","10","2","8","281001025","18","25021","91002"
"79","26","25011","2","10","2","8","281001026","18","25021","91002"
"82","27","25011","2","10","2","8","281001027","19","25021","91002"
"84","28","25011","2","10","2","8","281001028","19","25021","91002"
"86","29","25011","2","10","2","8","281001029","19","25021","91002"
"89","30","25011","2","30","2","8","281001030","20","25021","91002"
"94","31","25011","2","10","2","8","281001031","20","25021","91002"
"96","32","25011","2","10","2","8","281001032","21","25021","91002"
"99","33","25011","2","10","2","8","281001033","21","25021","91002"
"101","34","25011","2","10","2","8","281001034","22","25021","91002"
"103","35","25011","2","10","2","8","281001035","22","25021","91002"
"106","36","25011","2","10","2","8","281001036","23","25021","91002"
"108","37","25011","2","10","2","8","281001037","23","25021","91002"
"111","38","25011","2","10","2","8","281001038","24","25021","91002"
"113","39","25011","2","10","2","8","281001039","25","25021","91002"
"115","40","25011","2","30","2","8","281001040","25","25021","91002"
"121","41","25011","2","10","2","8","281001041","26","25021","91002"
"123","42","25011","2","10","2","8","281001042","27","25021","91002"
"125","43","25011","2","10","2","8","281001043","28","25021","91002"
"128","44","25011","2","10","2","8","281001044","28","25021","91002"
"130","45","25011","2","10","2","8","281001045","29","25021","91002"
"132","46","25011","2","10","2","8","281001046","30","25021","91002"
"135","47","25011","2","10","2","8","281001047","30","25021","91002"
"137","48","25011","2","10","2","8","281001048","31","25021","91002"
"139","49","25011","2","10","2","8","281001049","31","25021","91002"
"142","50","25011","2","30","2","8","281001050","31","25021","91002"
"144","51","25011","2","10","2","8","281001051","32","25021","91002"
"146","52","25011","2","10","2","8","281001052","32","25021","91002"
"149","53","25011","2","10","2","8","281001053","32","25021","91002"
"152","54","25011","2","10","2","8","281001054","33","25021","91002"
"155","55","25011","2","10","2","8","281001055","33","25021","91002"
"157","56","25011","2","10","2","8","281001056","33","25021","91002"
"160","57","25011","2","10","2","8","281001057","34","25021","91002"
"163","58","25011","2","10","2","8","281001058","34","25021","91002"
"166","59","25011","2","10","2","8","281001059","34","25021","91002"
"169","60","25011","2","30","2","8","281001060","35","25021","91002"
"171","61","25011","2","10","2","8","281001061","35","25021","91002"
"174","62","25011","2","10","2","8","281001062","35","25021","91002"
"177","63","25011","2","10","2","8","281001063","36","25021","91002"
"180","64","25011","2","10","2","8","281001064","36","25021","91002"
"182","65","25011","2","10","2","8","281001065","36","25021","91002"
"185","66","25011","2","10","2","8","281001066","37","25021","91002"
"187","67","25011","2","10","2","8","281001067","37","25021","91002"
"190","68","25011","2","10","2","8","281001068","37","25021","91002"
"193","69","25011","2","10","2","8","281001069","38","25021","91002"
"196","70","25011","2","30","2","8","281001070","38","25021","91002"
"200","71","25011","2","10","2","8","281001071","39","25021","91002"
"204","72","25011","2","10","2","8","281001072","39","25021","91002"
"208","73","25011","2","10","2","8","281001073","40","25021","91002"
"212","74","25011","2","10","2","8","281001074","40","25021","91002"
"216","75","25011","2","10","2","8","281001075","41","25021","91002"
"220","76","25011","2","10","2","8","281001076","41","25021","91002"
"224","77","25011","2","10","2","8","281001077","42","25021","91002"
"228","78","25011","2","10","2","8","281001078","42","25021","91002"
"232","79","25011","2","10","2","8","281001079","43","25021","91002"
"236","80","25011","2","30","2","8","281001080","43","25021","91002"
"240","81","25011","2","10","2","8","281001081","44","25021","91002"
"244","82","25011","2","10","2","8","281001082","44","25021","91002"
"248","83","25011","2","10","2","8","281001083","45","25021","91002"
"252","84","25011","2","10","2","8","281001084","45","25021","91002"
"256","85","25011","2","10","2","8","281001085","46","25021","91002"
"260","86","25011","2","10","2","8","281001086","46","25021","91002"
"264","87","25011","2","10","2","8","281001087","47","25021","91002"
"268","88","25011","2","10","2","8","281001088","47","25021","91002"
"272","89","25011","2","10","2","8","281001089","48","25021","91002"
"276","90","25011","2","30","2","8","281001090","48","25021","91002"
