c89f54b3f0c88fd04fa4292f180cbde0a594a2205681b8ce13d5a60cf3637986,f5301e77ffdc764b02297b6d8dcdea22a578a756e28335f981876372b46e8044,863a62873280c8f972cfd6d4c3c6b948ca408c91d6b99061c05624d0a1dd2c28,9002492cec2040747657435f36377928fa17e1d3cb5aaf1dd69ab7d9184f23c9,6da61fdebb8a0092ef92d857820421654edadab34972725a6a7800b0c53ea8a1,de5935e39fe41224721ca9645d6b915025903ed012d5d314accdadc953924bfe,61ea755b34f7faa9cdabc98ece397524011a004ed18a104f80380fbb1441d0ea
"300900","100721","0.8","0.8","-10","0","31001"
"302300","100722","0.7","0.7","-40","0","31002"
"302400","100261","0.8","0.8","-40","0","31003"
"302500","100283","0.9","0.9","-20","0","31004"
"301700","101611","0.9","0.9","-10","0","31005"
"310100","102174","0.7","0.7","-40","0","31006"
"399800","102751","0.3","0.3","-60","-80","31007"
"314901","103001","0.9","0.9","20","-20","31008"
"318405","103232","0.7","0.7","-110","30","31009"
"320100","103371","1","1","-10","0","31010"
