9e45952e9abb0a2a9daf42c4171c8498d7faa748be4c64b2c80100f1602bfe08,c147a73899865122c953fb13b95860428b847b90f9af7f855bb7b428667afbd4,2be127f5000c4105dfbed19223173ee6411c19c6a42bf4078a52f0a81a11858d,0eba65afc356b1c89520bdc0ecf941a80fd3bdc96c045636d91af51efd217119,7417a7646bc331c85273d6e7bcb64641d95127819ec27872bef31afa5a506ffd,169c1f2e29dcafb10cbc4324c6d82ea296295fe12d9abfa1b6efb0109142a947
"5201009","102010201","0","10201","2","2"
"5201010","102010202","0","10201","2","3"
"0","102010301","0","10201","3","502510"
"0","102020201","0","10202","2","501220"
"0","102020301","0","10202","3","501201"
"0","102030201","0","10203","2","500801"
"0","102030301","0","10203","3","500031"
"0","102040201","0","10204","2","502360"
"0","102040301","0","10204","3","500030"
"0","102050201","0","10205","2","502170"
"0","102050301","0","10205","3","502080"
"0","102060201","0","10206","2","501030"
"0","102060301","0","10206","3","500160"
"0","102070201","0","10207","2","500690"
"0","102070301","0","10207","3","500163"
"0","102080201","0","10208","3","532300"
"0","102090201","0","10209","2","502460"
"0","102090301","0","10209","3","502290"
"0","102100201","0","10210","3","502080"
"0","102110201","0","10211","2","501460"
"0","102110301","0","10211","3","500037"
"0","102120201","0","10212","2","500341"
"0","102120301","0","10212","3","501470"
