daf36bb11d472a3bdeebe2a7a6fea34bd02eff919d4d74455e2de3c37bfe6725,479145f33ea3dbc22045d5a44587aed9db38b7f57127ad04a122a778cfa02cf3,d193b1435f1daaee6e87c14edf8e112c06f116faa91d0853d0d3966b8bb675f9,353c201c3829eae7d804659783041a3a850e783ac1aa27f446e1aa702e518502,a68bd147bb7c3ae8eaa3dd8bfa52974cb23e433560f14ba022bcf63ea06a5135,0d28aba723674cf75d3414d7aaa198886c51326f662721d3b0b4fbea0ad17a3b
"リンゴ","1","1","10001","1000100","赤くて甘酸っぱい果物。"
"アップル","2","1","10001","1000101","「リンゴ」の英語読み。"
"きんだんのかじつ","2","1","10001","1000102","知恵の樹になると言われる果物。実はリンゴじゃなかった説もあるとかないとか。"
"ゴリラ","1","1","10002","1000200","強くて黒くてムキムキ。バナナが大好きな生き物。"
"れいちょうるい","2","1","10002","1000201","動物の分類のうちのひとつ。"
"うほうほ","2","1","10002","1000202","ゴリラの猛々しい鳴き声をあらわした擬声語。"
"マスター・ウキキー","3","1","10002","1000203","「ルナの塔」に鎮座する強力な仙猿。ゴリラではなく猿だが、親戚みたいなものなので辛うじてセーフ。"
"ラッパ","1","1","10003","1000300","特定の金管楽器をひとまとめにした呼び方。"
"トランペット","2","1","10003","1000301","金管楽器のうちのひとつ。"
"かんがっき","2","1","10003","1000302","楽器の分類のうちのひとつ。なお「サックスのれんしゅう」などのプリコネ読みは、ありそうで無い。"
"パイナップル","1","1","10004","1000400","暖かい地域で育つ、黄色くて甘酸っぱい果物。"
"アナナス","2","1","10004","1000401","「パイナップル」のまた別の呼び方。"
"ルビー","1","1","10005","1000500","宝石の女王とも呼ばれる、鮮やかな赤色の宝石。"
"ほうせき","1","1","10005","1000501","装飾品に用いられる、美しく希少価値の高い鉱物。"
"ガーネット","2","1","10005","1000502","ワインレッド色の宝石。ザクロ石とも呼ばれる。"
"ジュエリー","2","1","10005","1000503","「ほうせき」の英語読み。"
"アキノのブローチ","3","1","10005","1000504","「ウィスタリア家」のご令嬢「アキノ」が身に着けている美しいブローチ。"
"こうきせきウィスタリア","3","1","10005","1000505","「アキノ」の専用装備。ウィスタリア家に代々伝わる輝石。"
"ビールっぽいもの","1","1","10006","1000600","「ビール」なる飲み物によく似た飲み物。"
"ジョッキ","1","1","10006","1000601","片っ方に取っ手のついた、飲み物用の容器。"
"むぎしゅわ","3","1","10006","1000602","「ユカリ」が「ビールっぽいもの」のことを、こう呼ぶ。飲ませすぎてはいけない。"
"エターナルジョッキ","3","1","10006","1000603","「ユカリ」の専用装備。飲んでも飲んでもエターナルに湧き出てくる。"
"ゆみや","1","1","10007","1000700","弓と矢からなる武器。"
"とびどうぐ","2","1","10007","1000701","遠くから飛ばして攻撃するタイプの武器のこと。"
"アロー","2","1","10007","1000702","「矢」の英語読み。"
"ボウ","2","1","10007","1000703","「弓」の英語読み。"
"おんぷ","1","1","10008","1000800","音楽において音を書き表すための記号。"
"リズム","1","1","10008","1000801","音楽における音の流れの構造。"
"ミュージック","2","1","10008","1000802","「音楽」のまた別の呼び方。"
"うた","2","1","10008","1000803","声を用いた音楽のこと。"
"ドレミ","2","1","10008","1000804","音の階名を低い順に３つ並べたもの。"
"えのぐ","1","1","10009","1000900","絵の色をつけるための材料。"
"チューブ","2","1","10009","1000901","ペースト上のものをつめる容器。"
"ブルー","2","1","10009","1000902","青色のこと。または憂鬱な様子。"
"あおいえのぐ","2","1","10009","1000903","青色の絵の具。"
"けん","1","1","10010","1001000","刃によって攻撃する武器の総称。"
"ソード","1","1","10010","1001001","「剣」の英語読み。"
"つるぎ","2","1","10010","1001002","もろ刃になっている剣。"
"はもの","2","1","10010","1001003","刃がついている道具や武器のこと。"
"プリンセスソード","3","1","10010","1001004","「ペコリーヌ」の専用装備。ペコリーヌに更なる力を与える、『王家の装備』の真なる姿。"
"めがね","1","1","10011","1001100","視力を補正するために、目の辺りに身に着ける道具。"
"レンズ","2","1","10011","1001101","眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。"
"ビンぞこめがね","2","1","10011","1001102","ビンの底のような厚いレンズの眼鏡。"
"ぐるぐるめがね","2","1","10011","1001103","変装に用いられたり、外すと美人だったりする眼鏡。"
"カリンのめがね","3","1","10011","1001104","ギルドハウスの管理人さん「カリン」がかけている眼鏡。"
"むしめがね","1","1","10012","1001200","小さいものを拡大して見るための道具。"
"レンズ","1","1","10012","1001201","虫眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。"
