2ec8f489418fbf4a0d91360ccae806fc51ab149a40e7640cf47332b802f00ca4,60b4b161f382b590e15b7c9f92a4728f4ed20dddcbfbd4664ff4d5b0b5534881,14f410fa4e2c98b6b25d384e6d7fe4bf8d342f3d456b3cc5d78e125b0ef2fe88,687b48287f08434be091716d105c961e82a03814bbd7b80fd7e58f6dabb9e8fb,03b6eb72b2378d8eb135ac01100e105619ec5a5adbb85a413c6e714b799d31d0,faff49b727758d5df1fc1a35993d946e07605045b120abce1b32ada6ee14d81e,f0f2bdad87f9a7f0e58dcba91aa5be86f777505c8bed88b4c30c30c1fa59dc25,5260172e655bb5e25a65125c66b989d2af91354fd510ed19b5efbc9082014c5e,609209ee4b56bf70dfe32effa5f18185ede96a47b7e9a9eec667a555a0660d16,34d8686735aeb435f833ef208363d683016b7f3f380fa721fb061b2b157f1431,c6630ae68ffd0e3f49fbc94e54597e03a700508e8a3182e70e32253d218de97f
"1","1","64","100","113511","1.65","1","-175","pkb_idle_normal","1","1010001"
"3","113511","","1","pkb_talk_wish","0.2","1","","","","1010002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_101","","1","","","","1010003"
"11","113511","0","8","今日も先生と一緒に\n頑張りましょうね～","0","1","0","0","0","1010004"
"91","0","","","","","1","","","","1010005"
"3","113511","","1","pkb_idle_normal","0.2","1","","","","1010006"
"1","1","64","100","113511","1.65","2","-175","pkb_idle_normal","1","1020001"
"3","113511","","1","pkb_talk_wish","0.2","2","","","","1020002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_102","","2","","","","1020003"
"11","113511","0","6","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","0","2","0","0.5","0","1020004"
"93","6","","","","","2","","","","1020005"
"3","113511","pkb_idle_normal","0","pkb_talk_fun","0.2","2","1","","","1020006"
"91","1020004","","","","","2","","","","1020007"
"3","113511","","1","pkb_idle_normal","0.2","2","","","","1020008"
"1","1","64","100","113511","1.65","3","-175","pkb_idle_normal","1","1030001"
"3","113511","pkb_idle_normal","0","pkb_smile","0.2","3","1","","0.2","1030002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_103","","3","","","","1030003"
"11","113511","0","6","ケガには気を付けてね\n無理は禁物ですよ～♪","0","3","0","0","0","1030004"
"93","2","","","","","3","","","","1030005"
"3","113511","","1","pkb_talk_wish","0.2","3","","","","1030006"
"91","1030004","","","","","3","","","","1030007"
"3","113511","","1","pkb_idle_normal","0.2","3","","","","1030008"
"5","3","64","100","3","57","4","-155","pkb_idle_normal_l","1","1040001"
"3","3","pkb_idle_arm_crossed_l","0","pkb_talk_arm_crossed_l","0.2","4","1","","0.2","1040002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_601","","4","","","","1040003"
"11","3","0","8","今日の練習も\n手加減しねえ！\nしっかりついてこい！","0","4","0","0","","1040004"
"91","0","","","","","4","","","","1040005"
"3","3","","1","pkb_idle_normal_l","0.2","4","","","","1040006"
"5","3","64","100","3","57","5","-155","pkb_idle_normal_l","1","1050001"
"3","3","pkb_idle_arm_crossed_l","0","pkb_talk_arm_crossed_l","0.2","5","1","","0.2","1050002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_602","","5","","","","1050003"
"11","3","0","8","おーし！\n気合いいれて\n練習すんぞー！","0","5","0","0","","1050004"
"93","2","","","","","5","","","","1050005"
"3","3","pkb_idle_normal_l","0","pkb_talk_handsup_l","0.2","5","1","","0.2","1050006"
"91","1050004","","","","","5","","","","1050007"
"3","3","","1","pkb_idle_normal_l","0.2","5","","","","1050008"
"5","3","64","100","3","57","6","-155","pkb_idle_normal_l","1","1060001"
"3","3","pkb_idle_arm_crossed_l","0","pkb_talk_arm_crossed_l","0.2","6","1","","0.2","1060002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_603","","6","","","","1060003"
"11","3","0","8","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","0","6","0","0","","1060004"
"93","3","","","","","6","","","","1060005"
"3","3","pkb_idle_guts_l","0","pkb_talk_guts_l","0.2","6","1","","","1060006"
"91","1060004","","","","","6","","","","1060007"
"3","3","","1","pkb_idle_normal_l","0.2","6","","","","1060008"
"1","1","64","100","113411","1.65","7","-175","pkb_idle_normal","1","1070001"
"3","113411","pkb_talk_joy1","0","pkb_talk_fun","0.2","7","1","","0.2","1070002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_201","","7","","","","1070003"
"11","113411","0","8","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","0","7","0","0","0","1070004"
"93","3.4","","","","","7","","","","1070005"
"3","113411","pkb_idle_normal","0","pkb_talk_handsup","0.2","7","1","","0.2","1070006"
"91","1070004","","","","","7","","","","1070007"
"3","113411","","1","pkb_idle_normal","0.2","7","","","","1070008"
"1","1","64","100","113411","1.65","8","-175","pkb_idle_normal","1","1080001"
"3","113411","","1","pkb_talk_joy2","0.2","8","","","","1080002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_202","","8","","","","1080003"
"11","113411","0","8","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","0","8","0","-1","0","1080004"
"93","3.6","","","","","8","","","","1080005"
"3","113411","","0","pkb_hatsune_kiran","0.2","8","","","","1080006"
"91","1080004","","","","","8","","","","1080007"
"3","113411","","1","pkb_idle_normal","0.2","8","","","","1080008"
"1","1","64","100","113411","1.65","9","-175","pkb_idle_normal","1","1090001"
"3","113411","","1","pkb_talk_joy2","0.2","9","","","","1090002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_203","","9","","","","1090003"
"11","113411","0","6","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","0","9","0","0","0","1090004"
"93","3","","","","","9","","","","1090005"
"3","113411","pkb_idle_surprise1","0","pkb_surprise","0.2","9","1","","0.2","1090006"
"93","1","","","","","9","","","","1090007"
"3","113411","","1","pkb_talk_joy3","0.2","9","","","","1090008"
"91","1090004","","","","","9","","","","1090009"
"3","113411","","1","pkb_idle_normal","0.2","9","","","","1090010"
"1","1","64","100","106531","1.65","10","-175","pkb_idle_normal","1","1100001"
"3","106531","pkb_idle_arm_crossed","0","pkb_talk_arm_crossed","0.2","10","1","","","1100002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_301","","10","","","","1100003"
"11","106531","0","8","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","0","10","0","0","0","1100004"
"93","2.8","","","","","10","","","","1100005"
"3","106531","","1","pkb_talk_joy1","0.2","10","","","","1100006"
"91","1100004","","","","","10","","","","1100007"
"3","106531","","1","pkb_idle_normal","0.2","10","","","","1100008"
"1","1","64","100","106531","1.65","11","-175","pkb_idle_normal","1","1110001"
"3","106531","","1","pkb_talk_normal","0.2","11","","","","1110002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_302","","11","","","","1110003"
