019cf62419ac629f6e6dfe78807bd046be5bab1841a6e555491bd46fed140e4d,f8d9dc5810eb5e28aa03dfe9543c7b8c06a0f9466df121c74acc55433fa21819,b160b5920e6de5e286999313125ae9566ed43f98317985dbc5561a5f263ebf4e,26f75a9d52213aa7482c65f2d047bae1612ff766ad4cecac1521971a54ccef04,cc2f4e8451caca347cfde3c681f7d45b0c7d4fb5983ede05e32443b60424ab88,85014110c629aad5caec70b5b73e3e4438594ba0b6a1f9f293729ff94b41e55a,fa2a20c486ee1d4f867b224368f9deaebf47fc05e7b809432ed516c6ffef83b8,a26ef9916f4ac6ff34bb0aa9201dbf21747bcdf0af563b9f6fa53ce7773067fe
"10001","10001101","10001","10001","bgm_M32","タルグム地方","bgm_M32","10001101"
"10002","10002101","10002","10002","bgm_M98","マシーナ地方","bgm_M98_2","10002101"
"10003","10003101","10003","10003","bgm_M106","ランドソル郊外","bgm_M106","10003101"
"10004","10004101","10004","10004","bgm_M112","タパスビーチ周辺","bgm_M112","10004101"
"10005","10005101","10005","10005","bgm_M121","イルシオンの孤島","bgm_M121","10005101"
"10006","10006101","10006","10006","bgm_M128","王都ランドソル","bgm_M128","10006101"
"10007","10007101","10007","10007","bgm_M135","ランドソル近郊","bgm_M135","10007101"
"10008","10008101","10008","10008","bgm_M121","ランドソル近郊","bgm_M121","10008101"
"10009","10009101","10009","10009","bgm_M171","クリスマス","bgm_M171","10009101"
"10010","10010101","10010","10010","bgm_M121","神殿への参道","bgm_M121","10010101"
"10011","10011101","10011","10011","bgm_M189","バレンタイン","bgm_M189","10011101"
"10012","10012101","10012","10012","bgm_M206","王都ランドソル","bgm_M206","10012101"
"10013","10013101","10013","10013","bgm_M215","マナリア","bgm_M215","10013101"
"10014","10014101","10014","10014","bgm_M32","タルグム地方","bgm_M32","10014101"
