5b9dfc17f371b5c179ec8d15a8b46e39f194aaf1639e93ac21da79fad3cc8614,e1a6df481b0e23941ee19b3ff76132f0c59d7f0a6e6db3e3478497ad067a228c,1b5eb4d77e6d6a49800965a95def8c6d0f04e8d74e5e1645cee13694c4ab640e,3c2f7b94d2b13641d3805aff367f7570e1eae4081134ff262b31ba2aa17e3f84,23ee196dd8711ce1fb5eba89b60d3f9da9b3fb33df93bf2a7cb789888c99b67c,c97586d8a34944c047435a4841a53b80a13962db802feffddee61f4bb1742beb,229908c0a18b370c213d0c84413de804f0d958649eb513453d1e31558cf07a52,df894f96f057cadf23b653ada3f09d91b745f1e552a4ba8fccf57f06b1e78c52,b45046cda2b5c836c3de1155e603c3d54426b8939846106830fe92e8003df65d,d074d53e93e3b6ee310a651d8adc43bc90882c5de3842bac729845c7e7d45bce,a885c90a5901f5629cadf470acaf63ec097c4dadc698b011db48d1343143c567,abf981e8547cf82beba5d3243e1fe6a31b3d0bf0b38ccef06714aee424d2a934
"0","0","0","0.05","27","0","0.025","31","288","0","23","1"
"0","0","0","0.05","26","0","0.025","30","279","0","22","2"
"0","0","0","0.05","25","0","0.025","29","270","0","21","3"
"0","0","0","0.05","24","0","0.025","28","261","0","20","4"
"0","0","0","0.05","23","0","0.025","27","252","0","19","5"
"0","0","0","0.05","22","0","0.025","26","243","0","18","6"
"0","0","0","0.05","21","0","0.025","25","234","0","17","7"
"0","0","0","0.05","20","0","0.025","24","225","0","16","8"
"0","0","0","0.05","19","0","0.025","23","216","0","15","9"
"0","0","0","0.05","18","0","0.025","22","207","0","14","10"
"0","0","0","0.05","17","0","0.025","21","198","0","13","11"
"0","0","0","0.05","16","0","0.025","20","189","0","12","12"
"0","0","0","0.05","15","0","0.025","19","180","0","11","13"
"0","0","0","0.05","14","0","0.025","18","171","0","10","14"
"0","0","0","0.05","13","0","0.025","17","161","0","9","15"
"0","0","0","0.05","12","0","0.025","16","152","0","8","16"
"0","0","0","0.05","11","0","0.025","15","143","0","7","17"
"0","0","0","0.05","10","0","0.025","14","134","0","6","18"
"0","0","0","0.05","9","0","0.025","13","125","0","5","19"
"0","0","0","0.05","8","0","0.025","12","116","0","4","20"
"0","0","0","0.05","7","0","0.025","11","107","0","3","21"
"0","0","0","0.05","6","0","0.025","10","101","0","2","22"
"0","0","0","0","0","0","0","0","1","0","0","23"
