5e184c099381ca76cb409a38eabffd9e4f6bbf4e89ca48f171b7857e3f25056e,6d9164bbef3f3c1a2538a47b07f5ce95dce6fdd5a13094029c92bd9c76281ba8,564f3bc53392377842cb4801800bf2ce75ea15d54f4ee5a1193ba99349bd1920,e9a38d34b05b99b58f77b46b5a229a1ec9c25daf7fc80be56a7c23bc0ace0331,670758852999f4c5dd293c46d8e2e31a34328ea22713ab3bf4ceee71b0e499d2,0323d8d8fe46708c5fd2b783d615b0f7892cc90af1f5570e3cd1f55734b40af3,b9896ab989f1676c701023b9d14cfeb648d379290646c533d0a14d1fb3ad3df0
"20004","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","10","107601","72004021"
"20005","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","12","108001","72005021"
"20007","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","15","108201","72007021"
"20009","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","17","108501","72009021"
"20010","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","19","108901","72010021"
"20011","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","21","109001","72011021"
"20013","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","22","109301","72013021"
"20015","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","23","110101","72015021"
"20016","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","24","110501","72016021"
"20018","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","25","111201","72018021"
"20020","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","26","111601","72020021"
"20021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","27","112101","72021021"
"20022","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","28","112301","72022021"
"20025","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","29","113001","72025021"
"20026","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","30","113201","72026021"
"20027","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","31","113501","72027021"
"20029","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","32","114101","72029021"
"20031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","33","114601","72031021"
"20032","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","34","114701","72032021"
"20033","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","35","115601","72033021"
"20035","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","36","115801","72035021"
"20038","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","37","116801","72038021"
"20040","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","38","117401","72040021"
"20042","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","39","117801","72042021"
"20044","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","40","119201","72044021"
"20045","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","41","120801","72045021"
"20047","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","42","121201","72047021"
"20051","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","43","122101","72051021"
"20052","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","44","122401","72052021"
"20053","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","45","122801","72053021"
"20055","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","46","123501","72055021"
"20057","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","47","124101","72057021"
"20058","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","48","124701","72058021"
"20059","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","49","124901","72059021"
"20063","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","50","125701","72063021"
"20065","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","51","126701","72065021"
"20066","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","52","127001","72066021"
"20067","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","53","128801","72067021"
"20073","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","54","128301","72073016"
